"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","25.112","24.067","22.319","22.98","21.321","20.937","19.801","18.817","18.277","17.984","18.153","19.273","19.698","19.305","18.983","17.878","17.325","16.751","16.123","15.529","15.007","15.021","13.966","14.5","14.53","14.256","13.553","13.769","13.235","13.048","12.678","12.268","11.685","10.805","10.245","11.275","11.488","11.134","10.6"
"Tangible Book Value per Share","13.523","11.037","10.655","10.325","9.81","9.629","8.491","8.496","8.386","8.291","8.293","8.22","8.149","7.87","8.879","7.998","7.873","7.748","8.236","8.756","7.966","7.707","7.479","7.353","7.449","6.844","6.677","6.792","6.927","6.715","6.53","6.259","6.126","6.025","5.644","6.577","6.76","6.672","6.281"
"FCF per Share","1.461","0.445","1.918","1.647","1.24","0.572","1.286","1.764","1.291","0.681","1.488","1.343","1.095","0.437","1.403","1.225","0.983","0.395","1.095","1.138","1.12","0.234","1.098","0.794","0.865","-0.025","1.024","0.426","0.671","-0.097","1.03","0.839","0.65","0.234","0.771","0.844","0.657","0.359","1.125"
"Interest Debt per Share","23.5436","22.2433","22.399","23.7908","24.7164","25.835","10.0059","11.2559","12.4865","12.758","12.5916","12.8373","12.7492","13.3934","11.8977","11.8766","12.443","13.4631","14.4345","8.0894","8.0532","8.1858","8.3117","8.5016","7.9927","8.2695","8.0096","8.1046","8.4877","9.0879","9.2961","8.4581","9.137","9.7464","9.5183","10.2596","10.3915","10.7029","10.5098"
"Cash per Share","3.3574","1.0267","1.0838","0.9331","0.8121","0.8148","0.786","0.9164","0.7099","0.7956","1.0586","0.9496","0.7516","0.8311","1.9464","1.0847","0.8669","0.8929","1.2244","2.2322","1.522","1.1058","1.0476","0.8374","0.8852","0.7077","0.9567","0.93","0.5577","0.6105","0.8163","0.6147","0.5036","0.4754","0.4543","0.5412","0.5628","0.6559","0.6182"
"Debt to Equity Ratio","0.9375","0.9242","1.0036","1.0353","1.1592","1.2339","0.5053","0.5982","0.6832","0.7094","0.6937","0.6661","0.6472","0.6938","0.6268","0.6643","0.7182","0.8037","0.8953","0.5209","0.5366","0.545","0.5952","0.5863","0.5501","0.5801","0.591","0.5886","0.6413","0.6965","0.7333","0.6894","0.7819","0.902","0.9291","0.9099","0.9045","0.9613","0.9915"
"Total Debt To Total Assets","0.4013","0.3932","0.401","0.4177","0.4437","0.4559","0.2638","0.2935","0.323","0.3315","0.3274","0.3303","0.3263","0.344","0.3176","0.3289","0.3442","0.3698","0.3829","0.2685","0.2751","0.2792","0.2879","0.2948","0.2813","0.2928","0.2908","0.2963","0.3109","0.3274","0.3307","0.3214","0.348","0.3748","0.374","0.3791","0.378","0.3907","0.3937"
"Interest Coverage","10.7724","9.0","8.5062","8.7407","9.4407","8.6468","11.6115","11.8291","10.6852","9.4658","9.9643","9.076","9.5517","8.5202","7.8793","8.4571","9.0795","9.3785","6.5315","9.6471","9.5693","9.2609","9.0432","8.7299","7.4745","7.7826","7.8406","8.8429","8.3759","7.3662","6.0567","7.2695","7.3655","7.1888","5.9943","6.3432","7.3295","6.335","5.7212"
"Current Ratio","0.745","0.587","0.534","0.51","0.652","0.364","0.93","0.843","0.754","0.74","0.717","0.718","0.729","0.66","0.979","1.584","1.364","1.078","0.833","1.861","1.76","1.741","1.252","1.25","1.461","1.408","1.356","1.432","1.279","1.041","0.847","0.666","0.603","0.632","1.113","1.089","0.998","1.353","0.777"
"Income Quality","1.3628","0.6765","2.2057","1.8449","1.4545","1.0588","1.8347","2.0967","1.682","1.1653","2.0694","2.0367","1.6466","0.8558","2.502","2.0874","1.5083","0.6558","3.1965","1.9384","1.9503","0.6755","2.0121","1.6792","3.5913","0.4031","2.3344","0.8954","1.4194","0.6649","2.485","2.0637","1.6963","0.818","1.875","1.9156","1.5975","1.1644","2.7656"
"Payout Ratio","0.285","0.305","0.32","0.297","0.3","0.384","0.312","0.29","0.309","0.392","0.309","0.325","0.329","0.362","0.71","0.319","0.293","0.262","0.462","0.554","0.286","0.3","0.262","0.291","0.571","0.34","0.32","0.065","0.07","0.089","0.083","0.085","0.085","0.093","0.08","0.07","0.073","0.078","0.078"
"Intangible Assets out of Total Assets","0.7695","0.8049","0.8093","0.8187","0.8239","0.8301","0.7761","0.7785","0.7831","0.7846","0.7844","0.7885","0.7914","0.7979","0.763","0.7785","0.7822","0.7872","0.7815","0.7093","0.7278","0.7372","0.7409","0.745","0.7379","0.7577","0.7576","0.7517","0.7463","0.7581","0.7677","0.7622","0.7667","0.7683","0.7782","0.757","0.7541","0.7564","0.7647"
