"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","32.998","31.75","30.882","30.065","29.593","28.441","26.52","26.079","25.32","23.162","23.632","26.158","25.838","24.458","24.662","23.263","21.247","20.168","19.189","21.775","15.389","14.781","13.592","13.597","13.415","12.841","11.279","12.527","11.583","10.825","10.405","11.319","10.841","10.497","10.704","11.912","13.196","11.887","12.847"
"Tangible Book Value per Share","61.882","60.325","58.105","57.355","57.34","57.18","56.605","58.387","58.086","57.815","58.447","51.036","50.958","49.67","48.252","47.277","47.286","46.832","47.057","53.504","59.163","42.21","41.264","41.118","40.342","39.796","38.896","38.842","37.455","36.802","35.76","35.973","34.628","33.585","34.159","34.061","36.086","34.406","35.13"
"FCF per Share","1.954","-0.553","0.974","2.092","2.503","-0.399","2.342","1.399","3.027","-0.229","2.013","2.729","1.91","-1.003","2.17","1.952","1.692","-0.539","1.767","1.678","1.645","-0.526","1.643","0.591","0.668","-1.731","1.151","1.779","1.105","-1.78","0.316","1.823","1.094","-0.207","1.061","0.393","-0.111","-1.179","0.901"
"Interest Debt per Share","47.186","46.9865","44.9333","44.7357","46.0238","47.8849","47.1578","48.9694","49.2607","51.4237","50.8256","30.5972","31.7687","30.4","27.6377","28.7152","30.2173","31.0674","31.1866","36.0625","27.7982","11.642","11.6153","11.3888","11.2621","11.3289","11.1191","11.1154","11.1267","11.0876","11.0305","9.9153","9.987","9.9935","10.0284","9.3988","9.4445","10.2128","9.9164"
"Cash per Share","1.5224","1.3448","1.2334","1.4014","1.6234","1.3666","1.9716","2.0785","1.8028","1.3186","1.4408","1.4216","1.1648","1.2134","1.5398","1.4393","1.5112","1.1562","1.6236","1.7145","21.7457","4.1532","4.194","3.1909","4.4598","4.5231","3.577","4.4434","3.0044","3.3325","5.4534","4.5964","3.0973","2.3433","2.6674","2.2057","3.686","4.9716","5.4796"
"Debt to Equity Ratio","1.43","1.4799","1.455","1.488","1.5552","1.6836","1.7782","1.8777","1.9455","2.2202","2.1507","1.1697","1.2295","1.243","1.1207","1.2344","1.4222","1.5404","1.6252","1.6561","1.8064","0.7877","0.8545","0.8376","0.8395","0.8822","0.9859","0.8873","0.9606","1.0242","1.0601","0.876","0.9213","0.9521","0.9369","0.789","0.7157","0.8592","0.7719"
"Total Debt To Total Assets","0.431","0.4369","0.4266","0.4266","0.4367","0.4533","0.4498","0.4584","0.461","0.4828","0.4697","0.376","0.39","0.388","0.3591","0.3777","0.3978","0.4093","0.4085","0.4281","0.4477","0.2576","0.2584","0.2586","0.2619","0.2668","0.268","0.2682","0.2778","0.2845","0.2908","0.2595","0.2709","0.279","0.2755","0.2597","0.247","0.2806","0.2674"
"Interest Coverage","6.8525","6.6667","2.7344","5.5","6.1111","6.0469","2.7846","6.3182","7.0758","4.8636","0.4545","7.5778","9.8667","8.6429","12.9767","10.8409","9.2609","8.3191","-0.8333","5.5417","10.6429","13.7895","1.2632","13.7","18.8333","18.8947","1.0417","11.08","9.84","7.12","-1.1","9.9474","6.3","1.1053","0.4118","8.7895","9.5","11.6875","10.0667"
"Current Ratio","2.044","1.933","1.597","1.315","1.339","1.55","1.4","1.768","1.739","1.795","1.569","2.067","2.344","2.342","1.932","2.091","2.168","2.117","1.979","1.826","5.15","2.271","2.066","1.96","2.104","2.307","1.913","2.235","2.155","2.157","2.169","1.908","1.96","1.694","1.71","1.732","1.926","2.014","2.044"
