"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","12.36","12.411","11.999","11.76","12.281","11.961","11.391","12.297","13.091","13.015","13.715","14.499","15.419","14.904","15.258","14.814","14.072","14.586","14.47","14.155","14.339","14.312","13.85","13.964","14.427","14.116","13.512","13.014","11.85","11.768","11.688","11.383","11.525","10.876","10.953","11.744","12.493","12.062","11.654"
"Tangible Book Value per Share","18.989","19.404","19.806","26.294","21.767","21.279","20.6","26.331","22.383","21.319","21.82","21.931","21.988","20.855","20.475","21.735","19.894","19.365","19.202","19.185","18.717","18.153","17.435","17.619","17.369","16.555","15.865","15.998","20.396","18.726","18.403","15.355","17.763","17.714","18.207","18.659","19.83","18.821","18.113"
"FCF per Share","0.841","0.121","0.215","1.343","0.975","0.984","0.555","1.566","0.512","0.301","0.525","1.906","1.2","0.589","0.646","1.686","1.182","0.661","0.606","1.477","0.961","0.551","0.277","1.358","0.942","0.831","0.319","1.39","0.771","0.722","0.795","1.609","1.065","0.475","0.244","1.343","0.861","0.724","0.376"
"Interest Debt per Share","8.0065","6.3063","6.3303","10.3102","11.3189","11.3417","11.3848","10.4103","11.176","9.676","9.7645","8.6314","9.3196","9.242","8.2277","7.8961","7.7136","7.6779","7.5317","7.2774","7.973","7.9598","7.6371","6.984","6.9379","6.7947","6.8451","6.733","9.1294","7.7747","7.7086","6.0871","7.0544","7.1758","6.8782","5.8226","6.4424","6.2945","6.2155"
"Cash per Share","4.8721","7.8116","6.4579","4.9445","5.4651","5.1655","4.7498","4.6474","5.077","4.7519","4.5009","4.512","4.3449","3.8749","3.888","4.5834","3.909","3.6215","3.4897","3.2544","3.1243","2.9315","2.8216","2.7555","2.3694","2.1124","1.9836","2.1159","4.5461","2.8693","2.4463","2.0756","1.8391","1.9959","2.1745","2.2901","2.6346","2.2483","2.1671"
"Debt to Equity Ratio","0.6478","0.5081","0.5276","0.8767","0.9217","0.9483","0.9995","0.8466","0.8537","0.7434","0.712","0.5953","0.6044","0.6201","0.5392","0.533","0.5481","0.5264","0.5205","0.5141","0.556","0.5562","0.5514","0.5001","0.4809","0.4814","0.5066","0.5174","0.7704","0.6606","0.6595","0.5348","0.6121","0.6598","0.6279","0.4958","0.5157","0.5218","0.5334"
"Total Debt To Total Assets","0.266","0.2355","0.2329","0.3053","0.3298","0.3351","0.3458","0.3097","0.3183","0.2887","0.2855","0.2492","0.2604","0.2669","0.2401","0.2283","0.2358","0.2337","0.2294","0.2222","0.2404","0.2422","0.2397","0.218","0.2164","0.2177","0.2269","0.2218","0.2995","0.2693","0.2698","0.2315","0.2608","0.271","0.2571","0.2147","0.2266","0.2306","0.2346"
"Interest Coverage","16.7692","12.5366","9.7609","10.7843","15.8696","12.8696","11.1277","17.9796","20.65","40.95","17.5435","13.2449","24.087","18.234","12.6296","21.8571","10.6275","15.2807","13.2407","11.0877","23.3137","14.8448","10.3621","23.5714","18.4464","15.4211","12.5082","16.4308","14.2969","9.7313","9.8154","11.3651","9.3385","12.2041","16.5349","25.0488","20.8043","17.098","17.38"
"Current Ratio","1.593","2.505","2.141","1.244","1.227","1.212","1.182","1.288","1.281","1.179","1.181","1.285","1.267","1.303","1.407","1.442","1.512","1.534","1.4","1.42","1.352","1.378","1.389","1.445","1.472","1.483","1.483","1.43","1.372","1.418","1.389","1.544","1.546","1.367","1.3","1.42","1.433","1.433","1.404"
"Income Quality","1.569","0.589","0.7702","2.1849","1.499","1.9485","1.3954","1.6991","0.8848","0.3679","1.0876","3.4341","1.3984","1.0512","1.4957","1.8189","5.1031","1.0232","1.4075","4.6489","1.0987","1.0312","0.9003","1.6491","1.3221","1.3543","0.6708","1.6956","1.2017","1.5605","1.6165","2.6719","2.3669","1.3378","0.6965","1.8823","1.3513","1.3675","0.7487"
