"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","34.948","34.751","34.008","34.976","36.317","35.038","33.272","33.9","33.71","31.728","30.227","29.085","28.183","27.603","26.761","25.957","25.319","24.2","24.088","23.836","24.375","24.791","24.049","23.004","21.657","21.124","20.642","20.512","20.377","20.871","16.43","16.141","16.478","16.661","15.677","14.541","10.731","8.49","9.021"
"Tangible Book Value per Share","90.648","90.332","89.791","86.135","88.628","89.648","91.579","90.069","89.026","85.942","79.382","77.619","75.034","67.69","64.947","64.257","60.151","58.556","59.152","60.143","58.484","59.26","58.705","51.66","48.801","47.141","47.595","46.441","45.902","48.923","45.503","43.482","43.385","40.682","40.755","37.89","37.944","33.186","32.36"
"FCF per Share","-1.249","-2.691","-6.388","-0.563","-1.292","-0.72","-1.428","-2.19","-3.217","-1.148","-2.699","-1.592","-2.519","-0.027","-2.308","-0.374","-1.31","0.007","-1.504","-0.733","-1.313","-0.317","-1.36","-0.615","-0.287","-0.14","-1.443","-1.312","-0.706","0.432","-1.185","-0.857","0.185","0.038","-1.543","-1.614","-2.601","-0.771","-1.308"
"Interest Debt per Share","25.2884","25.4797","26.3063","17.0977","17.4254","18.0648","20.4161","21.817","21.8682","21.9656","19.6704","19.7567","19.0171","17.6211","16.7884","16.7258","17.2513","17.2807","17.3897","19.0636","19.0257","19.1117","19.207","14.1383","14.125","13.6843","14.1446","13.8707","13.9417","15.3756","15.939","15.9514","15.9026","13.2728","13.3767","12.9647","18.7768","16.0188","14.3795"
"Cash per Share","3.3733","5.4392","7.19","10.1663","13.5312","9.9316","10.492","10.8991","12.8442","11.7309","7.1064","9.9638","10.6562","6.0104","5.6089","2.8132","0.1109","1.0665","1.2168","4.2712","3.4432","4.9849","5.5625","2.2411","0.5301","0.9287","0.0","1.3234","2.884","4.1245","0.0","1.4712","2.5632","0.0","0.0","0.0815","1.3351","0.0","0.6716"
"Debt to Equity Ratio","0.7236","0.7332","0.7735","0.4888","0.4798","0.5156","0.6136","0.6436","0.6487","0.6923","0.6508","0.6793","0.6748","0.6384","0.6273","0.6444","0.6814","0.7141","0.7219","0.7998","0.7806","0.7709","0.7987","0.6146","0.6522","0.6478","0.6852","0.6762","0.6842","0.7367","0.9701","0.9883","0.9651","0.7966","0.8533","0.8916","1.7498","1.8868","1.5941"
"Total Debt To Total Assets","0.279","0.2821","0.293","0.1985","0.1966","0.2015","0.2229","0.2422","0.2456","0.2556","0.2478","0.2545","0.2534","0.2603","0.2585","0.2603","0.2868","0.2951","0.294","0.317","0.3253","0.3225","0.3272","0.2737","0.2894","0.2903","0.2972","0.2987","0.3037","0.3143","0.3503","0.3668","0.3665","0.3263","0.3282","0.3422","0.4949","0.4827","0.4444"
"Interest Coverage","2.607","7.2046","-6.6955","1.1408","-10.8714","1.3613","-0.6223","3.0993","-0.6105","7.2","-0.0961","5.5651","6.334","10.6512","6.7517","4.4246","4.3419","4.5766","1.7791","2.0741","2.1328","3.8296","3.665","9.7862","5.1436","6.9164","5.3294","2.6906","2.3798","5.0439","3.4235","1.3087","2.6388","7.1635","4.3316","12.6725","7.2872","9.0999","8.6761"
"Current Ratio","0.735","1.399","2.272","3.469","4.957","5.118","2.829","2.283","2.415","2.39","2.285","3.014","2.07","1.807","2.399","1.726","1.166","1.316","1.495","1.499","1.742","2.241","2.1","1.635","1.693","1.519","1.387","1.482","1.848","2.369","1.135","1.476","1.954","0.936","0.889","0.891","0.65","0.552","0.489"
