"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","34.297","34.033","33.737","33.473","33.071","32.875","32.61","32.428","32.067","31.885","31.5","31.266","30.871","30.817","30.448","30.186","29.848","29.655","29.331","29.151","30.12","22.848","22.593","22.289","22.076","21.928","21.548","21.061","20.722","20.557","20.169","20.15","19.99","21.289","19.391","19.382","18.906","18.848","18.796"
"Tangible Book Value per Share","91.809","90.832","89.867","86.734","86.106","85.643","85.242","83.561","82.996","83.359","82.789","77.331","76.819","77.892","76.903","79.054","78.303","78.727","78.695","76.997","79.681","88.123","86.48","81.359","79.814","79.751","80.2","79.263","78.96","78.355","77.623","78.232","79.007","86.152","87.963","79.535","79.894","77.639","72.856"
"FCF per Share","-0.479","-0.274","-0.293","0.572","0.128","0.216","-1.463","0.155","-0.013","0.407","-0.752","0.36","0.087","0.46","0.328","0.109","-0.049","0.267","-0.08","0.268","-0.247","-1.659","-1.384","-0.444","0.463","0.768","-0.153","0.423","0.386","0.132","-0.258","0.224","0.893","-0.425","-0.481","-1.171","-0.984","-1.226","-1.153"
"Interest Debt per Share","35.667","34.7041","33.8626","32.5485","32.6692","32.4174","32.1157","31.5067","31.24","31.0673","30.85","29.903","29.9025","29.8541","29.788","29.7995","29.618","29.4022","29.1044","28.8205","29.9896","33.6904","30.2677","28.7857","28.0652","28.5048","29.1045","28.8819","29.2986","29.0974","28.7603","29.8807","31.2242","34.0366","35.0728","34.2738","32.3768","31.3148","29.8946"
"Cash per Share","0.0776","0.1442","0.0953","0.126","0.1219","0.1605","0.0754","0.1127","0.1148","0.224","0.1222","0.1318","0.1079","0.2825","0.1374","0.1838","0.1144","0.193","0.1453","0.2333","0.0946","1.5915","0.0369","0.0942","0.0852","0.0867","0.1323","0.233","0.5028","0.1702","0.1519","1.4198","2.7467","2.5676","0.5766","0.5322","0.078","0.1608","0.0974"
"Debt to Equity Ratio","1.04","1.0197","1.0037","0.9724","0.9879","0.9861","0.9849","0.9716","0.9742","0.9744","0.9794","0.9564","0.9686","0.9687","0.9783","0.9872","0.9923","0.9915","0.9923","0.9887","0.9957","1.4745","1.3397","1.2915","1.2713","1.2999","1.3507","1.3713","1.4139","1.4155","1.426","1.4829","1.562","1.5988","1.8087","1.7683","1.7125","1.6615","1.5905"
"Total Debt To Total Assets","0.3466","0.3405","0.3354","0.3328","0.3362","0.3351","0.3334","0.3329","0.3321","0.3289","0.3285","0.3381","0.34","0.3353","0.3383","0.3303","0.331","0.3271","0.3238","0.3269","0.3282","0.3754","0.3436","0.3469","0.3446","0.3503","0.3557","0.3571","0.3636","0.3638","0.3629","0.3741","0.3872","0.3871","0.3905","0.4211","0.3961","0.3939","0.4001"
"Interest Coverage","4.4289","5.0345","4.4767","5.2234","4.2748","4.9756","4.2455","5.1073","4.5853","5.2858","4.8271","5.0245","3.2179","5.1956","4.1651","4.645","4.07","5.5712","3.9762","4.5966","1.7905","3.3361","2.9224","3.1874","2.957","4.0349","5.8344","3.1616","2.6563","3.469","2.9777","2.4507","2.9281","3.1006","2.5698","2.3325","2.2268","2.3058","2.7939"
"Current Ratio","0.616","0.753","0.681","0.914","1.048","0.999","0.876","0.797","0.863","0.897","0.859","0.717","0.738","0.848","0.637","0.597","0.666","0.562","0.611","0.563","0.56","0.774","0.697","0.865","0.906","1.165","1.12","1.169","1.256","1.353","1.295","1.239","1.232","1.265","0.884","1.029","1.253","0.916","1.066"
