"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","27.011","26.494","26.664","25.057","24.399","23.009","25.673","24.454","23.426","28.288","27.475","27.31","26.978","28.21","27.632","29.255","29.277","28.848","28.588","27.98","27.393","5.719","5.097","4.443","3.637","7.492","6.827","6.056","6.698","6.633","6.46","6.025","6.01","2.625","2.176","1.751","1.262","1.54","1.38"
"Tangible Book Value per Share","22.343","22.468","22.713","20.128","19.036","18.298","19.944","17.384","16.564","14.838","16.806","15.498","16.075","12.731","12.941","13.491","12.531","13.08","15.59","13.783","14.232","25.829","17.516","7.636","6.158","6.684","6.335","5.528","7.7","8.067","8.282","12.826","12.85","5.058","4.634","4.15","4.148","4.599","4.398"
"FCF per Share","1.753","1.588","3.541","2.251","0.575","1.037","4.072","1.069","1.245","0.32","3.856","0.429","0.849","0.434","3.526","1.185","-0.328","1.044","3.262","0.931","0.845","1.058","1.003","1.874","0.844","0.425","0.454","0.677","1.232","1.322","1.431","0.639","0.416","0.551","0.707","0.431","0.432","0.478","0.598"
"Interest Debt per Share","25.7102","25.8361","25.5679","25.873","25.3184","25.7229","23.0423","23.1952","24.7758","16.9526","18.5195","19.8989","21.2423","17.7719","17.6477","17.4199","17.5173","17.6459","19.456","21.0664","22.5818","23.7731","16.6419","8.188","8.1347","4.7147","4.7204","4.6897","6.3787","6.6441","6.9709","7.3084","7.9733","3.3934","3.5533","3.724","3.8207","3.8851","4.004"
"Cash per Share","4.0359","5.2642","5.0537","3.7017","2.0979","2.7459","4.7086","0.6479","1.0675","1.282","2.5108","1.1629","3.767","2.4128","2.5487","2.1495","1.6617","2.4523","3.4385","1.5939","1.7936","19.7974","11.6174","2.2219","0.6106","1.4783","1.0221","0.5236","3.0156","2.643","1.9634","7.1958","7.1459","1.4764","1.0809","0.4666","0.6419","1.0208","0.8658"
"Debt to Equity Ratio","0.9519","0.9752","0.9589","1.0326","1.0377","1.1179","0.8975","0.9485","1.0576","0.5993","0.674","0.7286","0.7874","0.63","0.6387","0.5955","0.5983","0.6117","0.6806","0.7529","0.8244","4.1568","3.2649","1.8428","2.2366","0.6293","0.6915","0.7744","0.9524","1.0016","1.0791","1.2131","1.3267","1.2926","1.6326","2.1264","3.0271","2.5224","2.9012"
"Total Debt To Total Assets","0.2967","0.3041","0.3009","0.3164","0.3143","0.3246","0.2929","0.3017","0.3226","0.2379","0.2515","0.2748","0.2948","0.2613","0.2605","0.2577","0.2616","0.2599","0.2739","0.2988","0.3142","0.5884","0.5175","0.3669","0.3993","0.2329","0.2362","0.2446","0.3024","0.3096","0.3212","0.3922","0.4174","0.2944","0.3195","0.3473","0.3741","0.3666","0.3844"
"Interest Coverage","9.4451","7.2539","10.1116","5.1891","9.212","6.8074","9.8547","9.0989","8.5616","7.0954","7.7453","4.9261","7.1923","5.7357","6.6476","6.9121","7.6881","3.9345","5.6989","5.172","2.8796","4.2939","5.0217","6.4793","11.5467","13.9244","13.9252","12.4313","12.2238","10.6542","7.8337","7.525","4.9175","20.8246","15.7535","21.0","18.7176","12.8155","8.7304"
"Current Ratio","0.694","0.709","0.753","0.696","0.555","0.603","0.703","0.642","0.607","0.616","0.621","0.609","0.654","0.599","0.642","0.822","0.782","0.756","0.824","0.8","0.752","2.136","1.476","0.643","0.566","0.848","0.751","0.644","0.782","0.778","0.759","2.207","2.213","0.786","0.751","0.704","0.72","0.809","0.795"
"Income Quality","1.3485","1.8312","1.5675","2.0479","0.609","1.4279","3.7156","1.1984","1.4996","0.638","5.0265","0.7472","1.4276","1.3829","5.848","2.4371","-0.3331","2.5828","5.4094","2.0314","4.863","1.9869","1.8361","2.9467","1.3725","0.7485","0.8356","1.3041","2.3732","2.9239","3.7841","2.0673","1.2049","1.3354","1.8085","1.2016","1.2271","1.4278","2.3755"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.7422","0.7355","0.7327","0.7538","0.7637","0.7691","0.7465","0.7739","0.7843","0.7918","0.7718","0.7859","0.7769","0.8128","0.809","0.8004","0.8128","0.8074","0.7805","0.8045","0.802","0.3607","0.4553","0.6578","0.6977","0.6698","0.683","0.7117","0.6349","0.6241","0.6184","0.3116","0.3274","0.5612","0.5833","0.613","0.5939","0.566","0.5778"
"Selling, General and Administrative Expense of Revenue","0.0309","0.0332","0.0347","0.0338","0.0359","0.0366","0.0401","0.0399","0.0392","0.0405","0.0438","0.0422","0.0415","0.044","0.0478","0.0432","0.0421","0.043","0.0508","0.0479","0.0577","0.0219","0.0221","0.0199","0.018","0.0174","0.0191","0.021","0.0201","0.0187","0.0347","0.045","0.0386","0.0329","0.0383","0.0348","0.0336","0.0312","0.0329"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-5142500000.0","-4952500000.0","-4064700000.0","-4855500000.0","-8522000000.0","-6837100000.0","-5095800000.0","-5739400000.0","-6231100000.0","-5728700000.0","-6444500000.0","-6217800000.0","-5532000000.0","-5440500000.0","-4743900000.0","-2002000000.0","-2315500000.0","-2816200000.0","-2300500000.0","-2360400000.0","-3182500000.0","6436800000.0","2599900000.0","-1837300000.0","-2067000000.0","-562700000.0","-975900000.0","-1412600000.0","-1061700000.0","-1149900000.0","-1313300000.0","3687100000.0","3476000000.0","-614400000.0","-677900000.0","-755300000.0","-706700000.0","-490100000.0","-507200000.0"
"Tangible Asset Value","13024000000.0","13503500000.0","13830200000.0","12531900000.0","12017200000.0","11802500000.0","13496300000.0","11757100000.0","11187600000.0","10807800000.0","12266500000.0","11439300000.0","12186100000.0","9871800000.0","10227200000.0","10930800000.0","10215000000.0","10708400000.0","12752900000.0","11204300000.0","11496500000.0","12534700000.0","8500400000.0","3720500000.0","3094900000.0","3535900000.0","3346600000.0","2939500000.0","4192600000.0","4435000000.0","4553300000.0","7041600000.0","6594700000.0","2504800000.0","2295500000.0","2050700000.0","2063000000.0","2320800000.0","2219100000.0"
