"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41274.0","","",""
"Book Value per Share","54.371","53.971","114.083","32.982","37.795","37.194","47.722","30.817","30.407","29.357","44.786","27.936","26.779","26.83","31.798","30.278","12.37","","",""
"Tangible Book Value per Share","48.32","46.238","92.36","35.303","40.927","40.052","19.445","27.449","27.364","25.902","41.735","24.847","22.532","22.422","26.931","32.133","24.341","","",""
"FCF per Share","1.973","0.492","3.278","0.934","1.701","1.23","7.243","0.183","1.394","0.517","6.206","1.279","0.678","0.359","0.169","0.238","-0.644","-0.084","0.722","2.13"
"Interest Debt per Share","54.166","50.039","98.9255","49.2691","57.3652","55.5163","49.4902","36.04","36.1038","36.8199","51.8487","33.4772","33.7954","31.5377","38.0382","42.5969","61.127","","",""
"Cash per Share","3.7766","1.9329","5.371","3.0395","3.9589","3.5714","2.2202","2.0912","2.786","1.5064","8.1121","4.0535","2.6876","3.1632","4.0818","10.9601","1.3293","","",""
"Debt to Equity Ratio","0.9962","0.9271","0.8671","1.4938","1.5178","1.4926","1.0371","1.1695","1.1873","1.2542","1.1577","1.1984","1.262","1.1755","1.1963","1.4069","4.9416","","",""
"Total Debt To Total Assets","0.3599","0.3494","0.3493","0.4628","0.4661","0.4606","0.3659","0.4226","0.4268","0.441","0.4333","0.4443","0.4585","0.4414","0.4436","0.4812","0.6588","","",""
"Interest Coverage","2.6381","-7.1622","-5.2592","2.0673","3.489","2.6786","3.6766","2.1252","4.0296","3.0943","16.7461","4.388","0.8826","2.3811","1.0781","0.7304","1.3182","0.9753","1.317","1.6451"
"Current Ratio","2.83","3.12","2.089","2.25","2.278","2.172","1.393","1.999","2.04","1.978","2.363","2.458","2.374","2.342","2.398","3.073","1.574","","",""
"Income Quality","5.1867","-0.2192","-1.5373","3.6005","2.5868","2.8566","6.7434","1.9739","2.2056","1.3578","-8.7393","1.896","-31.988","1.2173","3.6027","-4.1396","-1.3274","-1.7265","3.8231","6.9772"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.679","0.6771","0.6739","0.6684","0.6675","0.6677","0.8562","0.6781","0.6765","0.6897","0.6512","0.6702","0.6943","0.6862","0.6859","0.637","0.7377","","",""
"Selling, General and Administrative Expense of Revenue","0.7004","0.7176","1.1957","0.7335","0.5354","0.5678","1.1736","0.7508","0.7389","0.7506","1.0484","0.7321","0.7352","0.7523","0.7352","0.7517","0.7426","0.7472","0.7137","0.7262"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3278900000.0","3278700000.0","1257000000.0","946501000.0","964403000.0","918519000.0","151800000.0","686344000.0","699997000.0","637885000.0","786371000.0","750040000.0","652012000.0","631254000.0","630954000.0","950596000.0","274565000.0","","",""
"Tangible Asset Value","5646300000.0","5389600000.0","5449400000.0","2207145000.0","2199376000.0","2149402000.0","934500000.0","1704987000.0","1695312000.0","1596897000.0","1640638000.0","1515112000.0","1363194000.0","1353844000.0","1350649000.0","1688013000.0","1058983000.0","","",""
"Net Current Asset Value","-5482500000.0","-4917800000.0","-6909700000.0","-2820220000.0","-2801317000.0","-2731680000.0","-3196900000.0","-1979139000.0","-1954271000.0","-2024203000.0","-1571473000.0","-1614615000.0","-1700546000.0","-1580756000.0","-1607981000.0","-1643748000.0","-2738887000.0","","",""
"Invested Capital","9742900000.0","9450500000.0","9815000000.0","4340072000.0","4314633000.0","4153034000.0","2820300000.0","3126408000.0","3086621000.0","3122026000.0","2783101000.0","2794897000.0","2770565000.0","2596610000.0","2602307000.0","2891471000.0","3181837000.0","","",""
"Average Receivables","1339432500.0","1312210000.0","817550000.0","1237408500.0","1205350500.0","1197446500.0","643707500.0","1023514000.0","982186500.0","969756500.0","875630500.0","831948500.0","752240500.0","","","","","","",""
"Average Payables","59343500.0","59171000.0","51250000.0","67155500.0","59689500.0","60133000.0","40092000.0","60348500.0","55598500.0","54062500.0","50086000.0","58715000.0","51407000.0","","","","","","",""
"Average Inventory","28563000.0","28287500.0","22400000.0","31979500.0","29461000.0","29240000.0","22942000.0","24601500.0","24364000.0","24270500.0","23930000.0","23261000.0","22941000.0","","","","","","",""
