"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","29.493","28.588","27.962","28.137","27.874","27.862","27.945","28.226","27.238","26.758","26.288","27.404","26.573","26.303","26.556","25.506","24.945","24.665","25.154","25.552","25.83","30.945","21.697","21.653","21.285","21.044","20.514","21.08","19.949","20.349","19.181","18.924","18.442","18.228","16.789","17.609","15.049","14.921","15.336"
"Tangible Book Value per Share","118.23","118.956","117.129","116.609","114.807","113.818","100.446","101.266","103.756","98.282","97.377","95.926","94.165","89.561","90.303","89.89","88.546","88.442","89.127","88.674","87.701","106.387","78.989","77.724","74.451","73.642","75.061","72.995","70.421","72.793","70.645","71.026","70.34","70.164","68.269","64.725","67.237","65.589","64.654"
"FCF per Share","0.19","-0.984","-1.181","1.011","0.907","-0.79","-0.257","-0.304","0.934","-0.176","-0.105","1.053","0.367","-1.205","0.515","0.834","0.481","-0.688","0.353","0.584","0.487","-0.712","0.722","1.383","0.581","-2.05","-1.067","1.427","-0.3","1.487","0.674","1.173","0.554","1.879","2.05","2.921","0.521","-0.272","0.304"
"Interest Debt per Share","38.8994","40.278","38.8669","38.9741","38.7727","38.6273","28.5146","29.3111","30.8656","26.3759","25.7151","26.1022","24.9407","23.9487","23.5058","23.8355","23.5058","23.3474","23.0082","23.0082","22.7022","26.6057","20.2187","21.8567","20.463","20.3565","19.407","19.4789","18.6596","19.531","19.1108","19.7197","19.5478","19.9757","19.9863","19.7416","22.4566","22.3171","20.7065"
"Cash per Share","0.8437","0.93","0.961","2.3978","2.0","1.2763","7.2665","8.3308","7.2862","2.4617","2.4988","3.5784","1.8244","1.3065","2.0748","2.0898","1.2909","1.076","1.9002","2.1546","1.7186","1.1787","1.5928","2.4676","0.9005","0.7689","2.4841","4.1707","2.4614","4.18","3.1108","3.6621","2.8589","3.3399","2.0456","0.3921","0.7017","0.6237","0.649"
"Debt to Equity Ratio","1.319","1.4089","1.39","1.3851","1.391","1.3864","1.0204","1.0385","1.1332","0.9857","0.9782","0.9525","0.9386","0.9105","0.8851","0.9345","0.9423","0.9466","0.9147","0.9005","0.8789","0.8598","0.9319","1.0094","0.9614","0.9673","0.946","0.924","0.9354","0.9598","0.9964","1.042","1.06","1.0959","1.1905","1.1211","1.4923","1.4957","1.3502"
"Total Debt To Total Assets","0.3103","0.3193","0.3125","0.3148","0.3177","0.3191","0.2759","0.2813","0.2889","0.2602","0.2559","0.2636","0.2564","0.2586","0.2518","0.2564","0.2566","0.2551","0.2495","0.2508","0.2501","0.2416","0.2437","0.2676","0.261","0.2623","0.2456","0.2531","0.2508","0.2544","0.2561","0.2629","0.263","0.2694","0.2766","0.2873","0.3153","0.3208","0.3017"
"Interest Coverage","1.0183","4.244","1.9524","2.6085","1.9814","2.2439","3.0791","3.9407","7.2258","4.0609","1.1137","6.4845","4.3571","1.1586","4.2317","6.0214","3.9206","1.0915","3.4502","2.8618","2.6211","2.8359","6.6906","5.7088","6.2363","7.1602","5.8689","8.9829","3.2582","8.1694","6.4205","8.2074","7.0389","6.4706","6.1649","6.1527","6.4533","4.7964","5.2547"
"Current Ratio","0.876","0.845","0.922","1.004","0.966","0.825","1.682","2.149","2.364","1.54","1.353","1.404","1.147","1.316","1.312","1.326","1.124","1.115","1.302","1.458","1.454","1.305","1.113","1.263","1.168","1.117","1.509","1.704","1.39","1.306","1.284","1.327","1.398","1.453","1.346","1.02","0.844","0.847","0.814"
"Income Quality","21.2125","1.207","5.3039","5.7347","11.5356","8.5145","6.2645","2.7107","3.8856","2.1501","42.8421","1.9053","3.0383","1.8333","3.9374","2.7859","3.0184","-214.75","4.119","6.2872","6.0105","4.97","3.1947","3.1681","1.9677","-0.3099","2.1603","2.0627","1.1416","2.4846","2.5215","2.0898","1.6697","2.7388","3.0891","3.8471","1.2781","1.2358","1.746"
"Payout Ratio","3.667","0.308","1.455","0.604","1.103","1.632","0.969","0.449","0.419","0.388","15.5","0.27","0.508","3.1","0.534","0.36","0.544","-53.0","1.178","1.514","1.118","2.393","0.582","0.582","0.57","0.525","0.662","0.414","0.791","0.469","0.602","0.461","0.53","0.491","0.495","0.472","0.439","0.568","0.518"
"Intangible Assets out of Total Assets","0.057","0.057","0.0581","0.0583","0.0594","0.0599","0.028","0.0281","0.029","0.0306","0.0309","0.0313","0.032","0.033","0.0328","0.033","0.0335","0.0335","0.0334","0.0335","0.0339","0.0338","0.0477","0.0485","0.0505","0.0511","0.0502","0.0515","0.0534","0.0517","0.0534","0.053","0.0536","0.0537","0.0552","0.0581","0.0561","0.0573","0.0579"
"Selling, General and Administrative Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-1733000000.0","-2243000000.0","-1045000000.0","50000000.0","-399000000.0","-2406000000.0","6216000000.0","9020000000.0","8899000000.0","3983000000.0","3091000000.0","3406000000.0","1256000000.0","2324000000.0","2409000000.0","2444000000.0","1035000000.0","953000000.0","2349000000.0","3558000000.0","3671000000.0","2763000000.0","579000000.0","1310000000.0","719000000.0","488000000.0","2158000000.0","2793000000.0","1570000000.0","1494000000.0","1203000000.0","1451000000.0","1659000000.0","1977000000.0","1319000000.0","84000000.0","-1034000000.0","-871000000.0","-1049000000.0"
"Tangible Asset Value","110427000000.0","110391000000.0","108227000000.0","107863000000.0","106082000000.0","105054000000.0","92712000000.0","92456000000.0","89541000000.0","84719000000.0","83744000000.0","82592000000.0","80982000000.0","76843000000.0","77299000000.0","77036000000.0","75795000000.0","75618000000.0","75936000000.0","75728000000.0","74809000000.0","75003000000.0","52370000000.0","51531000000.0","49361000000.0","48751000000.0","49615000000.0","48323000000.0","46548000000.0","48116000000.0","46555000000.0","46877000000.0","46354000000.0","46238000000.0","44921000000.0","42589000000.0","44175000000.0","43223000000.0","42736000000.0"
"Net Current Asset Value","-75582000000.0","-76583000000.0","-74880000000.0","-74841000000.0","-73961000000.0","-73173000000.0","-52728000000.0","-50972000000.0","-51719000000.0","-51396000000.0","-50430000000.0","-48377000000.0","-49604000000.0","-47015000000.0","-46847000000.0","-47643000000.0","-47423000000.0","-47556000000.0","-46604000000.0","-44835000000.0","-43271000000.0","-43624000000.0","-34807000000.0","-33423000000.0","-32797000000.0","-32696000000.0","-32192000000.0","-30146000000.0","-30300000000.0","-30819000000.0","-31012000000.0","-31030000000.0","-30914000000.0","-30421000000.0","-31282000000.0","-29169000000.0","-31219000000.0","-31088000000.0","-30557000000.0"
"Invested Capital","132006000000.0","132469000000.0","129795000000.0","129538000000.0","128166000000.0","125759000000.0","103206000000.0","103764000000.0","103364000000.0","97959000000.0","94948000000.0","93554000000.0","92295000000.0","88919000000.0","87916000000.0","88165000000.0","86437000000.0","86339000000.0","86129000000.0","85767000000.0","84625000000.0","83877000000.0","59585000000.0","59409000000.0","58063000000.0","57547000000.0","56561000000.0","54490000000.0","53225000000.0","53373000000.0","52861000000.0","53031000000.0","53186000000.0","52835000000.0","52915000000.0","51034000000.0","51827000000.0","51808000000.0","50365000000.0"
"Average Receivables","4721000000.0","4875500000.0","4729000000.0","4698000000.0","4595000000.0","4755500000.0","4404000000.0","4017500000.0","4254500000.0","4552500000.0","4432500000.0","3853000000.0","4031500000.0","4278000000.0","4192000000.0","4134500000.0","4203000000.0","4339000000.0","3420500000.0","3445500000.0","3392000000.0","3397500000.0","2870500000.0","2447500000.0","2400000000.0","2207000000.0","2588500000.0","2070000000.0","2182500000.0","2126000000.0","2150500000.0","2038500000.0","2227500000.0","2291000000.0","2452000000.0","2387000000.0","2448000000.0","2437000000.0","2430500000.0"
"Average Payables","2988000000.0","2950500000.0","3170000000.0","3023500000.0","2784500000.0","2864500000.0","2973500000.0","2759500000.0","2703000000.0","2851000000.0","2828000000.0","2500500000.0","2514000000.0","2621000000.0","2646000000.0","2486000000.0","2331500000.0","2561000000.0","2242500000.0","1941500000.0","1801500000.0","2033000000.0","1583500000.0","1222000000.0","1239000000.0","1237000000.0","1359500000.0","1065500000.0","1162500000.0","1132000000.0","1380500000.0","1176500000.0","1301000000.0","1214500000.0","1433000000.0","1302000000.0","1373500000.0","1279500000.0","1416000000.0"
"Average Inventory","2901000000.0","2691000000.0","2443000000.0","2660000000.0","2343500000.0","2347000000.0","2393000000.0","2653500000.0","2155500000.0","2009000000.0","2112500000.0","2210500000.0","1967000000.0","1779500000.0","1665500000.0","1955500000.0","2071500000.0","2067500000.0","1390000000.0","1723500000.0","1864500000.0","1832000000.0","1168500000.0","1270500000.0","1256500000.0","1127500000.0","1048500000.0","1174000000.0","1252000000.0","1215000000.0","1009000000.0","1276000000.0","1352000000.0","1320000000.0","1101000000.0","1407000000.0","1455000000.0","1283500000.0","1116500000.0"
