"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","10.976","10.823","10.237","10.211","9.771","9.776","9.143","9.76","9.894","10.045","9.697","9.78","9.645","9.736","10.192","10.554","10.268","10.184","9.76","9.946","9.652","9.88","9.452","9.214","8.825","8.685","8.203","8.139","7.66","7.637","7.326","7.124","6.815","6.663","6.447","6.298","6.201","6.101","5.756"
"Tangible Book Value per Share","16.748","16.077","15.444","15.487","14.851","14.68","13.82","14.961","15.337","15.321","14.963","15.009","14.874","14.507","14.7","14.966","14.802","14.577","14.182","14.383","14.086","14.102","13.486","13.532","13.515","13.322","12.57","12.733","11.936","11.356","10.901","10.382","9.714","9.623","9.844","10.603","10.665","10.176","9.636"
"FCF per Share","0.338","1.016","0.294","0.569","0.506","1.219","0.559","0.653","0.885","0.652","0.409","0.403","0.041","0.821","0.25","0.391","0.324","0.752","0.242","0.281","0.392","0.614","0.418","0.343","0.287","0.739","0.56","0.481","0.059","0.564","0.103","0.155","0.368","0.772","0.435","0.316","0.102","0.791","0.287"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0035","0.0"
"Cash per Share","6.1935","6.4202","5.4077","5.7551","5.3934","5.5707","4.3649","5.141","5.1696","5.3914","4.8118","5.0946","4.9405","5.6238","6.0997","6.3449","6.2298","6.7547","6.0691","6.5084","6.4435","6.6616","6.1058","5.9401","5.7785","5.8394","5.1102","4.9777","4.5226","4.909","4.3678","4.4632","4.3183","4.1663","3.4964","3.2731","3.2985","3.4777","2.6965"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0006","0.0"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0003","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-213.5485","635.0036","678.7074","704.1682","767.0253","1140.7214","994.5497","1182.3218","1180.3158","307.2","1432.7656","6634.9333","9044.6429","6175.8696","1564.8933","1573.9859","3072.5405"
"Current Ratio","2.475","2.591","2.386","2.41","2.379","2.443","2.295","2.34","2.35","2.402","2.327","2.408","2.401","2.59","2.776","2.892","2.878","2.923","2.798","2.817","2.724","2.91","2.872","2.672","2.51","2.493","2.483","2.37","2.339","2.529","2.524","2.559","2.675","2.619","2.347","2.035","2.004","2.06","1.994"
