"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","17.679","17.803","18.014","17.485","16.929","17.178","16.906","17.198","18.348","14.923","14.973","15.03","15.015","15.162","15.49","13.664","13.821","13.593","14.103","12.225","12.296","10.797","11.151","10.681","10.983","10.117","10.066","10.02","10.061","10.113","10.211","10.223","10.17","10.286","10.261","10.089","11.305","9.263","9.362"
"Tangible Book Value per Share","55.998","56.004","56.906","53.614","51.707","50.431","49.132","48.945","41.363","38.445","37.764","36.516","36.392","35.72","35.034","31.745","31.0","29.272","30.475","28.9","26.524","26.591","27.552","25.174","25.272","25.59","25.693","24.863","24.942","25.755","27.804","27.409","27.575","26.806","26.752","27.301","30.437","30.972","31.02"
"FCF per Share","1.055","0.537","-1.877","-1.169","-0.523","-1.177","-0.167","0.596","-0.645","0.052","-0.928","0.439","0.484","-1.676","-1.717","0.417","0.293","0.286","-1.66","-2.516","0.227","0.229","-0.444","0.063","-0.521","0.22","-0.265","0.11","-0.054","0.067","-0.018","-0.032","-0.011","-0.219","-0.861","-0.629","-0.295","0.003","-0.563"
"Interest Debt per Share","34.1259","34.1662","34.556","31.7441","30.3968","29.5155","28.6117","28.2751","19.5826","20.9435","20.2505","18.8278","18.7078","18.2771","17.1476","15.854","15.9303","14.358","14.9145","15.2527","12.8488","14.4639","14.924","13.1711","13.0167","14.1518","14.2401","13.3901","13.5218","14.2766","16.2024","15.6709","15.9169","15.0693","15.0263","15.8141","17.6003","19.9651","19.9305"
"Cash per Share","0.3852","0.3307","0.4634","0.2794","0.4506","0.6553","0.8621","10.9598","1.7227","0.6946","0.6283","0.6517","0.645","0.5808","1.3052","0.9429","2.0539","0.5052","0.4515","0.6426","2.1814","0.6518","0.5719","0.6812","0.7424","0.9436","0.8822","0.6251","0.7102","1.6311","1.9766","1.6552","1.9963","1.0397","1.1987","1.8293","3.0174","0.8346","0.7826"
"Debt to Equity Ratio","1.9303","1.9192","1.9182","1.8155","1.7955","1.7182","1.6924","1.6441","1.0673","1.4034","1.3524","1.2527","1.2459","1.2055","1.107","1.1603","1.1526","1.0562","1.0575","1.2476","1.0449","1.3396","1.3383","1.2331","1.1852","1.3987","1.4147","1.3364","1.3439","1.4118","1.5868","1.533","1.5652","1.465","1.4643","1.5675","1.5568","2.1554","2.1289"
"Total Debt To Total Assets","0.6094","0.6101","0.6072","0.5921","0.5879","0.5853","0.5823","0.5777","0.4734","0.5448","0.5362","0.5156","0.5141","0.5117","0.4895","0.4994","0.5139","0.4905","0.4894","0.5278","0.4844","0.5439","0.5417","0.5232","0.5151","0.553","0.5542","0.5386","0.5421","0.5543","0.5827","0.5717","0.5772","0.5622","0.5617","0.5793","0.5783","0.6446","0.6425"
"Interest Coverage","3.3994","3.3744","3.4354","4.659","3.6467","3.7219","1.3862","4.6173","3.5218","3.6126","3.3221","3.5735","3.1869","3.0497","5.0624","2.9384","3.0327","2.9252","2.91","3.1854","2.5168","2.1712","1.9418","1.9071","1.6777","1.5212","1.6528","1.5576","1.4555","1.267","1.4332","1.3782","0.5828","2.7896","1.9372","1.6237","1.3999","1.2651","1.3245"
"Income Quality","2.022","1.3748","1.858","1.2405","1.7365","1.1559","9.3427","1.4361","1.732","1.627","1.7955","1.6376","2.4766","1.7293","0.9446","2.4631","2.1887","1.6266","1.744","1.563","2.3125","2.0179","2.6727","2.3238","3.3171","3.6143","3.3743","3.738","4.8634","4.4885","2.541","2.8423","-4.0464","0.6741","1.4877","2.6126","3.9895","5.5822","4.4478"
