"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","8.097","7.706","7.341","7.924","7.838","7.457","7.217","6.922","6.624","6.383","6.35","6.739","6.771","6.802","6.62","5.195","4.879","4.614","4.183","4.94","4.464","4.37","3.955","1.574","1.398","0.707","-0.195","-0.516","-1.049","-1.7","-2.614","-2.693","-3.739","-7.799","-6.917","-0.88","-0.751","3.745","2.844"
"Tangible Book Value per Share","62.147","61.435","59.881","59.136","60.329","59.766","56.676","55.302","54.346","54.337","54.204","53.845","53.346","52.612","51.257","51.016","49.89","50.587","49.678","48.398","47.464","47.893","46.906","42.802","44.227","48.763","47.72","51.451","52.712","59.548","64.129","62.981","69.592","90.036","95.931","106.246","117.419","147.909","140.068"
"FCF per Share","1.019","0.662","0.181","0.869","1.522","0.664","0.064","1.167","0.875","0.157","0.004","0.899","0.718","0.179","-0.411","0.573","1.141","-0.334","-0.589","0.553","0.711","0.258","-0.367","0.705","0.694","0.457","0.027","0.832","0.826","0.501","-0.225","1.481","1.522","1.308","-2.265","-0.283","-0.225","-0.244","1.023"
"Interest Debt per Share","36.6674","36.7402","35.9789","34.537","35.2177","35.5128","33.476","31.8624","31.0729","31.4126","30.9641","30.7321","30.02","29.7263","29.0759","28.079","27.4361","28.1495","27.555","26.3776","26.1759","26.4472","26.1804","25.0356","25.9466","29.6259","30.1502","33.9285","34.4583","40.3988","43.9957","40.9827","46.312","64.6012","67.1258","69.336","74.0522","89.1116","85.289"
"Cash per Share","4.0741","4.4858","4.0026","3.3575","4.2949","4.0091","3.5962","3.7013","3.2442","3.1644","2.795","3.4344","2.9267","3.2985","3.668","3.7445","3.399","3.6237","4.1071","3.5498","3.9569","4.012","4.5125","4.3318","4.6001","6.2139","4.2925","5.2313","5.3784","7.5628","6.9833","8.0086","8.3567","9.3596","9.7004","11.0085","13.4103","17.7749","17.8287"
"Debt to Equity Ratio","4.5283","4.7675","4.9013","4.3585","4.4929","4.7625","4.6384","4.6031","4.6907","4.9215","4.8765","4.5605","4.4333","4.3702","4.3922","5.4049","5.6237","6.1015","6.5879","5.3396","5.8639","6.0514","6.6202","15.9029","18.5628","41.8953","-154.5141","-65.8156","-32.8442","-23.7635","-16.8331","-15.2181","-12.3863","-8.2828","-9.7047","-78.8301","-98.6482","23.7948","29.9906"
"Total Debt To Total Assets","0.59","0.598","0.6008","0.584","0.5838","0.5942","0.5907","0.5761","0.5718","0.5781","0.5712","0.5708","0.5627","0.565","0.5673","0.5502","0.5497","0.5562","0.5547","0.5447","0.5512","0.5519","0.5578","0.5846","0.5863","0.6072","0.6314","0.659","0.653","0.6777","0.6855","0.65","0.6647","0.7167","0.6989","0.6477","0.6258","0.5981","0.6044"
"Interest Coverage","9.1264","9.0143","-3.5861","6.8109","14.5519","19.24","9.9623","16.9757","18.2895","3.1897","2.7031","2.1665","3.3753","2.421","10.2859","3.1636","2.9934","3.3268","3.0276","3.3326","2.6197","3.0138","2.4062","2.6816","3.3106","3.3603","1.2095","2.2839","2.7421","2.2551","1.5808","1.6795","2.3377","0.139","-1.2666","0.7414","-2.7428","1.0641","-0.6559"
"Current Ratio","1.204","1.24","1.201","1.161","1.239","1.246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Income Quality","2.7498","2.7322","-3.5734","5.3918","3.9299","1.6921","1.1199","2.9448","2.412","2.0928","-1.1387","6.4299","3.6232","2.2447","0.0402","3.0189","4.9294","0.131","-0.2335","2.1012","3.7538","1.4864","-0.0173","2.3002","1.555","0.9788","6.5211","2.2413","1.4521","1.2868","0.447","5.7312","2.3667","-2.8143","0.5908","-6.882","-0.1304","14.6714","-1.3292"
"Payout Ratio","0.294","0.5","-0.789","0.625","0.3","0.645","0.319","0.273","0.278","0.517","-0.265","0.591","0.394","0.52","0.05","0.313","0.323","0.244","0.125","0.116","0.185","0.135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0004","0.0004","0.0004","0.0","0.0005","0.0005","0.0005","0.0006","0.0006","0.0006","0.0006","0.0006","0.0007","0.001","0.001","0.0009","0.0011","0.0012","0.0011","0.0011","0.0075","0.0077","0.0073","0.0074"
"Selling, General and Administrative Expense of Revenue","0.0692","0.0706","0.1148","0.0705","0.0705","0.0713","0.077","0.0626","0.0683","0.1022","0.0421","0.0998","0.0929","0.094","0.0343","0.0904","0.0845","0.0876","0.0769","0.0907","0.0898","0.0887","0.0702","0.0866","0.0818","0.0826","0.0934","0.0888","0.0895","0.0979","0.0926","0.0993","0.116","0.1514","0.1491","0.1441","0.1777","0.1177","0.1265"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","19240000000.0","21924000000.0","18180000000.0","14327000000.0","21359000000.0","20251000000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tangible Asset Value","247469000000.0","244094000000.0","237951000000.0","234963000000.0","239678000000.0","237288000000.0","224925000000.0","219431000000.0","216045000000.0","212374000000.0","208615000000.0","208835000000.0","210945000000.0","207082000000.0","202179000000.0","200985000000.0","196128000000.0","192926000000.0","189406000000.0","184591000000.0","181141000000.0","181978000000.0","178248000000.0","162640000000.0","167983000000.0","167293000000.0","164585000000.0","176955000000.0","179567000000.0","191776000000.0","191875000000.0","202881000000.0","199955000000.0","202907000000.0","218052000000.0","240260000000.0","263253000000.0","280849000000.0","277195000000.0"
"Net Current Asset Value","-101571000000.0","-100128000000.0","-100207000000.0","-99853000000.0","-97662000000.0","-93587000000.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Invested Capital","282956000000.0","280944000000.0","274735000000.0","269659000000.0","273121000000.0","362366000000.0","261171000000.0","331170000000.0","326674000000.0","322782000000.0","317029000000.0","314708000000.0","318079000000.0","311103000000.0","302399000000.0","296855000000.0","290623000000.0","286462000000.0","278805000000.0","271656000000.0","265937000000.0","267224000000.0","260588000000.0","241311000000.0","249061000000.0","247613000000.0","253768000000.0","275654000000.0","278630000000.0","297525000000.0","302616000000.0","309100000000.0","309010000000.0","327400000000.0","348580000000.0","372159000000.0","399212000000.0","416303000000.0","410699000000.0"
"Average Receivables","108806500000.0","107758000000.0","104512500000.0","101887000000.0","100751000000.0","98852000000.0","97276000000.0","94803000000.0","94183000000.0","91016500000.0","90064000000.0","88068000000.0","88118000000.0","86534000000.0","84589000000.0","82090000000.0","80805500000.0","81504000000.0","80205000000.0","77947000000.0","79375000000.0","79752000000.0","78496000000.0","77839500000.0","79728000000.0","80232500000.0","80768500000.0","80881500000.0","82949500000.0","85080000000.0","91122000000.0","95737500000.0","101605500000.0","103409500000.0","108537000000.0","114510500000.0","118357000000.0","117566000000.0","116418000000.0"
"Average Payables","23326000000.0","22664500000.0","20784000000.0","22385000000.0","22464000000.0","22219000000.0","20153500000.0","21770500000.0","21953000000.0","22287500000.0","19783000000.0","21397500000.0","21511500000.0","21404500000.0","19419500000.0","21216500000.0","20311000000.0","20119000000.0","18516000000.0","19858500000.0","19542500000.0","19811000000.0","17043000000.0","18149000000.0","17700000000.0","17797500000.0","15331500000.0","16291500000.0","14973500000.0","14246500000.0","13723000000.0","17783500000.0","19093500000.0","18423000000.0","16988500000.0","23128000000.0","24855500000.0","24222000000.0","21023000000.0"
