"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","4.612","4.369","4.307","3.516","3.154","2.951","6.645","10.22","13.274","15.186","17.601","20.781","20.531","20.376","20.11","19.658","20.284","18.884","18.486","18.06","17.469","17.002","16.517","16.199","15.32","14.589","13.274","12.323","11.51","11.605","10.579","9.867","8.822","8.313","7.656","26.213","26.266","25.204","23.804"
"Tangible Book Value per Share","25.6","25.295","26.56","30.758","32.542","34.104","39.539","47.043","51.931","53.909","56.472","59.922","59.954","59.66","59.133","58.445","62.503","44.829","37.345","36.034","35.158","34.33","33.865","33.109","31.949","32.434","30.847","29.353","28.028","31.1","29.755","30.484","29.453","29.186","30.489","46.48","46.682","46.104","44.496"
"FCF per Share","0.521","0.349","3.984","0.381","0.366","0.261","-0.492","-0.531","-0.433","-1.077","3.986","0.092","-0.525","-0.376","0.778","0.305","-0.096","0.063","0.369","-0.445","0.378","0.11","0.013","1.22","1.248","2.001","1.65","1.064","0.856","1.866","1.211","2.089","0.982","-0.887","-0.631","1.131","0.527","0.187","1.074"
"Interest Debt per Share","10.6109","10.6245","11.4071","14.1025","15.2238","16.6083","17.253","19.3259","20.0981","19.5308","18.1415","18.9962","19.5342","20.0867","19.8905","20.3497","21.648","10.6232","3.7165","3.7123","3.7123","3.7102","3.735","3.7289","3.7402","5.0233","5.0478","5.0786","5.2295","7.0441","7.3619","7.9591","8.7658","9.0338","9.7493","9.4359","9.5885","9.8838","9.4138"
"Cash per Share","3.2253","2.7669","3.0214","0.8232","0.2774","0.2646","0.1503","0.3156","0.4481","0.5279","0.4466","0.6333","1.4033","1.2929","1.9068","2.1378","3.3612","10.1","3.9041","3.9273","4.7503","4.7376","5.0919","5.4093","4.623","5.5581","3.9682","3.9532","3.3246","4.3577","3.0812","2.7272","1.6007","0.805","1.1565","1.5733","2.1458","2.3903","2.1227"
"Debt to Equity Ratio","2.3009","2.4316","2.6487","4.0114","4.8261","5.6276","2.5963","1.8909","1.5141","1.2861","1.0307","0.9141","0.9514","0.9858","0.9891","1.0352","1.0673","0.5625","0.201","0.2056","0.2125","0.2182","0.2261","0.2302","0.2441","0.3443","0.3803","0.4121","0.4543","0.607","0.6959","0.8067","0.9937","1.0868","1.2733","0.36","0.3651","0.3922","0.3955"
"Total Debt To Total Assets","0.4145","0.42","0.4295","0.4585","0.4678","0.487","0.4364","0.4108","0.387","0.3623","0.3212","0.3085","0.3171","0.3266","0.3262","0.3374","0.3359","0.237","0.0995","0.1021","0.1046","0.107","0.1103","0.1115","0.1158","0.1533","0.1618","0.171","0.1842","0.2237","0.2441","0.2576","0.2933","0.3048","0.3148","0.1716","0.1739","0.181","0.1773"
"Interest Coverage","3.8086","3.4251","3.2707","1.7219","-0.7398","-20.3927","-22.7374","-25.4459","-16.7042","-20.637","-27.3415","6.7658","6.0","6.4472","8.3353","9.2037","4.9773","19.8772","11.2105","33.2619","27.3256","20.9206","36.7419","24.859","31.7297","26.3367","29.0","20.6408","9.9918","12.1931","14.1037","11.2654","8.5316","4.313","-129.8643","6.9496","12.9143","12.6061","8.8976"
"Current Ratio","2.107","2.017","2.447","2.564","2.357","1.634","1.733","1.689","1.835","2.008","1.749","1.424","1.357","1.752","2.089","2.136","1.886","5.064","3.08","3.232","3.459","3.506","3.417","3.366","3.275","2.346","2.618","2.774","2.445","1.989","2.476","2.346","2.12","2.039","1.657","1.821","2.252","2.091","1.526"
