"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","18.841","18.372","18.33","18.024","17.757","17.484","18.152","18.633","18.559","18.292","18.484","18.554","18.723","18.739","18.777","19.638","18.954","18.17","17.595","16.833","16.202","15.377","14.762","13.764","14.409","13.765","13.331","12.503","11.79","11.179","10.757","10.179","9.852","9.433","9.335","9.034","9.032","8.974","9.546"
"Tangible Book Value per Share","29.133","28.412","28.24","26.617","25.397","24.962","25.306","24.854","23.849","23.039","22.897","22.059","21.635","21.833","21.838","21.784","21.652","20.586","21.442","19.79","18.831","17.818","18.468","16.608","16.848","16.135","15.39","14.045","12.944","12.011","11.485","10.66","9.996","9.516","9.51","8.897","8.664","8.509","8.938"
"FCF per Share","2.426","2.571","2.687","2.836","2.309","1.726","2.74","2.331","2.116","1.829","2.4","2.206","1.774","1.017","1.988","1.823","1.523","0.937","1.739","1.738","1.361","1.196","1.59","1.389","1.141","1.052","1.211","1.045","0.902","0.941","0.891","0.703","0.566","0.464","0.681","0.682","0.531","0.378","0.437"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","10.8065","10.1703","8.788","7.8247","6.4262","5.8968","6.2296","5.5254","7.8617","5.0887","3.6667","3.8143","3.2344","3.1763","2.9873","2.421","2.5253","2.9219","2.3425","2.674","2.4718","2.6462","3.2482","2.6992","3.7074","2.5519","2.0849","2.1021","1.835","1.9053","1.9012","1.4468","1.158","1.5507","1.5758","1.0194","1.3806","1.7684","0.8651"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","1.59","1.577","1.554","1.527","1.511","1.492","1.505","1.573","1.652","1.508","1.476","1.568","1.546","1.59","1.419","1.481","1.574","1.545","1.495","1.665","1.753","1.721","1.858","2.051","2.284","2.019","2.088","2.111","2.16","2.206","2.223","2.099","1.986","1.992","2.033","1.731","2.411","2.956","3.104"
