"","42945.0","42854.0","42763.0","42672.0","42581.0","42490.0","42399.0","42308.0","42217.0","42126.0","42035.0","41944.0","41853.0","41762.0","41671.0","41580.0","41489.0","41398.0","41307.0","41209.0","41118.0","41027.0","40936.0","40845.0","40754.0","40663.0","40572.0","40481.0","40390.0","40299.0","40208.0","40117.0","40026.0","39935.0","39844.0","39753.0","39662.0","39571.0","39480.0","39389.0"
"Book Value per Share","22.041","21.476","20.499","19.812","19.182","19.597","18.554","18.284","18.474","18.237","17.565","18.12","17.869","17.834","17.096","16.696","16.227","16.456","15.784","15.159","14.392","14.578","13.952","13.743","13.761","13.821","13.061","12.728","12.274","12.46","12.446","12.673","12.681","12.563","12.419","14.03","14.669","14.714","14.637","14.473"
"Tangible Book Value per Share","28.507","27.991","27.557","26.298","26.503","26.044","25.974","25.075","25.086","24.461","23.723","23.691","24.048","23.666","22.308","21.963","21.946","21.828","21.129","20.146","19.69","19.611","18.859","18.221","18.51","18.374","17.28","16.834","16.823","17.042","16.433","16.995","17.377","17.141","16.912","17.112","18.519","18.973","18.65","18.522"
"FCF per Share","0.129","0.639","2.186","0.173","0.707","1.165","2.006","0.165","0.466","1.092","1.555","0.223","0.318","1.534","1.055","0.251","-0.455","1.336","0.757","0.43","-0.132","0.619","1.263","0.611","-0.416","0.81","1.167","0.232","-0.378","0.454","1.201","0.217","-0.038","0.264","0.923","0.091","0.305","0.215","1.217","-0.15"
"Interest Debt per Share","0.9596","0.9665","0.9607","0.9631","0.9598","0.9451","0.9448","0.9404","0.9456","0.9493","0.943","0.9401","0.9481","0.9491","0.9521","0.9479","0.9431","0.8777","0.8831","0.8808","0.8785","0.8893","0.8927","0.893","0.8848","0.8808","0.8837","0.8816","0.8776","0.8754","0.8817","0.8824","0.8852","0.9144","0.9166","0.8306","0.8117","1.4239","1.4307","1.5234"
"Cash per Share","7.9436","7.9833","7.9123","6.5087","7.0313","7.7802","7.4201","6.3029","6.9484","7.0378","6.8051","6.3788","6.6228","6.912","5.8767","5.1726","5.2776","7.0279","5.8433","5.3245","5.0859","5.6588","5.6272","4.5831","4.4307","5.1749","4.4892","3.4363","3.2799","3.8914","3.7185","2.7174","2.5786","2.6272","2.4852","2.1285","2.7987","3.2315","3.1591","1.3411"
"Debt to Equity Ratio","0.0435","0.045","0.0469","0.0486","0.05","0.0482","0.0509","0.0514","0.0512","0.0521","0.0537","0.0519","0.0531","0.0532","0.0557","0.0568","0.0581","0.0533","0.056","0.0581","0.061","0.061","0.064","0.065","0.0643","0.0637","0.0677","0.0693","0.0715","0.0703","0.0708","0.0696","0.0698","0.0728","0.0738","0.0592","0.0553","0.0968","0.0977","0.1053"
"Total Debt To Total Assets","0.0319","0.0328","0.0331","0.0347","0.0343","0.0343","0.0344","0.0355","0.0356","0.0366","0.0375","0.0373","0.037","0.0376","0.0399","0.0403","0.0402","0.0381","0.0395","0.0403","0.0411","0.0417","0.0443","0.0447","0.0436","0.0436","0.0473","0.047","0.047","0.0463","0.049","0.0466","0.0458","0.0478","0.0494","0.0423","0.0383","0.0657","0.0681","0.071"
"Interest Coverage","-72.0","0.0","0.0","228.0","199.0","0.0","246.0","118.0","186.0","291.0","113.0","188.0","145.0","255.0","182.0","81.0","107.0","217.0","80.0","156.0","94.0","202.0","62.5","106.0","59.0","75.5","46.0","37.5","6.0","29.0","20.5","-3.3333","0.6667","25.5","-180.0","38.0","15.0","16.0","12.0","0.0"
"Current Ratio","5.626","4.901","4.302","4.635","3.83","4.484","3.723","3.774","3.448","3.582","3.529","3.833","3.398","3.537","3.754","3.608","3.267","3.813","3.715","3.672","3.363","3.545","3.794","3.625","3.45","3.531","3.955","3.47","3.269","3.376","4.092","3.937","3.723","3.813","4.22","3.718","3.307","3.6","4.037","3.537"
"Income Quality","1.8039","0.8833","1.9153","0.5414","1.2677","1.1728","2.0949","1.0","1.0168","1.1576","1.8699","0.6417","0.9783","1.679","1.6777","0.8365","-0.1667","1.8188","1.5096","0.9245","0.4746","1.0391","2.8642","2.0909","-0.7297","1.6383","3.5965","1.1154","-5.5","1.7778","9.0","-9.5","0.0","2.1613","-1.384","2.125","4.7778","24.3333","2.7722","-0.3333"
"Payout Ratio","0.795","0.226","0.197","0.237","0.298","0.2","0.217","0.439","0.294","0.191","0.216","0.262","0.349","0.196","0.241","0.286","0.455","0.217","0.261","0.257","0.462","0.214","0.321","0.395","0.708","0.279","0.417","0.455","3.75","0.429","1.071","-3.75","0.75","-0.185","0.938","1.364","7.5","0.25","-0.591",""
"Intangible Assets out of Total Assets","0.0514","0.0513","0.0513","0.0539","0.0532","0.054","0.0532","0.0547","0.0545","0.0562","0.0576","0.0597","0.0603","0.0621","0.066","0.067","0.0655","0.0525","0.0549","0.0779","0.0782","0.0806","0.0649","0.0887","0.0878","0.0907","0.0749","0.1016","0.0985","0.099","0.0866","0.1029","0.1015","0.1034","0.0893","0.1294","0.1265","0.125","0.1116","0.1371"
"Selling, General and Administrative Expense of Revenue","0.1993","0.1854","0.1869","0.1941","0.1966","0.1817","0.1928","0.1962","0.1953","0.1801","0.1962","0.2039","0.209","0.19","0.2038","0.2096","0.216","0.1923","0.2119","0.2093","0.2238","0.1939","0.2164","0.2296","0.2361","0.2052","0.2177","0.2242","0.2445","0.2186","0.2226","0.2257","0.2293","0.2286","0.2194","0.2193","0.2296","0.2284","0.2099","0.2131"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","2174000000.0","2087000000.0","2021000000.0","1974000000.0","1910000000.0","2014000000.0","1906000000.0","1831000000.0","1814000000.0","1787000000.0","1760000000.0","1836000000.0","1801000000.0","1806000000.0","1724000000.0","1677000000.0","1655000000.0","1806000000.0","1727000000.0","1670000000.0","1581000000.0","1616000000.0","1531000000.0","1491000000.0","1519000000.0","1534000000.0","1445000000.0","1356000000.0","1318000000.0","1359000000.0","1339000000.0","1404000000.0","1397000000.0","1387000000.0","1346000000.0","1389000000.0","1451000000.0","1555000000.0","1552000000.0","1517000000.0"
"Tangible Asset Value","3743000000.0","3678000000.0","3643000000.0","3495000000.0","3562000000.0","3555000000.0","3574000000.0","3493000000.0","3502000000.0","3427000000.0","3371000000.0","3402000000.0","3475000000.0","3441000000.0","3257000000.0","3244000000.0","3281000000.0","3283000000.0","3182000000.0","3042000000.0","2981000000.0","2977000000.0","2852000000.0","2775000000.0","2845000000.0","2837000000.0","2679000000.0","2616000000.0","2626000000.0","2667000000.0","2572000000.0","2658000000.0","2709000000.0","2662000000.0","2620000000.0","2637000000.0","2852000000.0","2918000000.0","2881000000.0","2845000000.0"
"Net Current Asset Value","1592000000.0","1567000000.0","1503000000.0","1456000000.0","1401000000.0","1509000000.0","1384000000.0","1343000000.0","1430000000.0","1403000000.0","1375000000.0","1468000000.0","1436000000.0","1442000000.0","1359000000.0","1309000000.0","1300000000.0","1458000000.0","1373000000.0","1285000000.0","1195000000.0","1226000000.0","1139000000.0","1107000000.0","1135000000.0","1154000000.0","1063000000.0","971000000.0","902000000.0","921000000.0","904000000.0","901000000.0","872000000.0","862000000.0","811000000.0","1033000000.0","1074000000.0","1081000000.0","1081000000.0","1041000000.0"
"Invested Capital","2356000000.0","2221000000.0","2112000000.0","2215000000.0","2071000000.0","2044000000.0","1983000000.0","2086000000.0","1923000000.0","1882000000.0","1842000000.0","1973000000.0","1904000000.0","1862000000.0","1912000000.0","1977000000.0","1903000000.0","1716000000.0","1799000000.0","1746000000.0","1675000000.0","1618000000.0","1588000000.0","1645000000.0","1680000000.0","1568000000.0","1631000000.0","1670000000.0","1670000000.0","1623000000.0","1695000000.0","1893000000.0","1932000000.0","1903000000.0","1959000000.0","1926000000.0","1917000000.0","2042000000.0","2103000000.0","2275000000.0"
"Average Receivables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Average Payables","255000000.0","219000000.0","264000000.0","236500000.0","353500000.0","266500000.0","290000000.0","272500000.0","375500000.0","328500000.0","282000000.0","298500000.0","405000000.0","353000000.0","280500000.0","318500000.0","404500000.0","354500000.0","269000000.0","305500000.0","378000000.0","351500000.0","231500000.0","285000000.0","355000000.0","352500000.0","219000000.0","281000000.0","333500000.0","325500000.0","201000000.0","273500000.0","342500000.0","313500000.0","210000000.0","289000000.0","365500000.0","369000000.0","244500000.0","331500000.0"
"Average Inventory","1314500000.0","1269500000.0","1296000000.0","1348500000.0","1328000000.0","1247000000.0","1267500000.0","1330000000.0","1326000000.0","1251000000.0","1235000000.0","1320000000.0","1320500000.0","1218500000.0","1193500000.0","1278000000.0","1268500000.0","1157500000.0","1118000000.0","1222000000.0","1250000000.0","1152500000.0","1064000000.0","1203000000.0","1244000000.0","1152500000.0","1048000000.0","1215000000.0","1251500000.0","1191500000.0","1078500000.0","1245000000.0","1342500000.0","1314000000.0","1200500000.0","1369000000.0","1426500000.0","1440500000.0","1292000000.0","1474000000.0"
