"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.01","12.611","12.329","12.072","11.951","12.131","11.941","11.64","11.698","11.346","11.426","11.466","11.667","11.665","11.39","11.324","10.959","10.542","10.664","10.621","10.216","10.453","10.123","9.755","10.126","10.055","9.6","9.102","8.561","8.199","7.931","7.448","6.863","6.706","6.081","5.515","5.542","4.958","4.59"
"Tangible Book Value per Share","11.64","11.3","12.12","13.33","15.005","12.17","12.081","12.138","12.229","11.804","11.802","11.7","11.857","11.633","11.39","11.284","11.018","9.441","9.669","9.929","9.563","9.74","9.528","9.173","7.925","7.922","7.554","7.85","8.054","7.837","7.728","7.297","6.956","6.919","6.905","6.48","6.803","6.27","5.857"
"FCF per Share","0.147","0.451","0.601","0.613","0.558","0.261","0.436","0.389","0.224","0.442","0.302","0.126","0.384","0.356","0.636","0.274","0.877","0.341","0.626","0.223","0.416","0.233","0.675","0.211","0.031","0.365","0.193","0.492","0.231","0.297","0.428","0.413","0.273","0.447","0.59","0.441","0.016","0.329","0.296"
"Interest Debt per Share","3.6993","3.7382","3.7973","3.7719","5.5851","2.5805","2.5949","2.5938","2.6111","2.6426","2.6473","2.6629","2.6859","2.724","2.7357","2.7573","2.7786","1.7177","1.6552","1.6451","1.6197","1.6052","1.5889","1.5614","0.0","0.0","0.0","0.0","0.0","0.3826","0.3821","0.3972","0.5929","0.6131","1.316","1.5064","1.5195","1.5326","1.6711"
"Cash per Share","2.9488","2.9146","2.6544","4.948","6.5514","3.7137","3.4227","3.7635","3.9996","3.9192","3.7715","3.9975","4.2527","4.1445","3.8296","3.4695","3.4658","1.701","2.1446","2.8135","2.8058","2.901","2.8261","2.3603","1.4745","1.5698","1.2178","2.4012","1.8416","3.0204","2.7806","2.6609","2.3101","2.2755","2.0835","1.4805","1.2821","1.1613","1.5001"
"Debt to Equity Ratio","0.2843","0.2964","0.308","0.3124","0.4673","0.2127","0.2173","0.2228","0.2232","0.2329","0.2317","0.2322","0.2302","0.2335","0.2402","0.2435","0.2535","0.1629","0.1552","0.1549","0.1585","0.1536","0.157","0.1601","0.0","0.0","0.0","0.0","0.0","0.0467","0.0482","0.0533","0.0864","0.0914","0.2164","0.2731","0.2742","0.3091","0.364"
"Total Debt To Total Assets","0.1873","0.1938","0.1973","0.1996","0.2755","0.147","0.149","0.1538","0.1537","0.1597","0.1588","0.16","0.1583","0.1621","0.1654","0.1682","0.1727","0.1195","0.1134","0.1157","0.1173","0.1145","0.1153","0.1178","0.0","0.0","0.0","0.0","0.0","0.0382","0.0388","0.0431","0.0673","0.0695","0.1473","0.1765","0.1778","0.1931","0.2215"
"Interest Coverage","15.2084","13.4779","19.833","14.1116","14.7278","17.1358","31.8455","20.394","20.788","18.2193","24.0404","20.2364","16.728","11.5731","10.4231","17.2462","18.6809","24.1923","36.4672","23.3482","21.5123","22.5907","34.8315","56.2431","99.9977","215.5343","247.7524","248.9169","101.9344","69.1585","80.475","70.8037","48.3897","30.378","28.9913","23.4973","18.7975","14.5331","8.7474"
"Current Ratio","3.501","3.447","3.22","4.687","3.174","2.411","2.2","4.289","4.424","4.486","4.201","4.639","4.545","4.906","4.737","5.081","4.791","4.993","4.824","6.09","5.762","5.988","5.243","5.408","4.531","4.287","3.82","4.77","4.513","5.764","5.244","5.802","5.508","4.831","4.716","4.128","4.077","3.756","4.074"
"Income Quality","0.586","1.7647","1.5781","1.5112","1.9368","40.8409","1.1158","1.0075","0.969","1.5639","0.8638","0.6241","1.5771","2.0012","3.6601","1.13","2.6976","1.1999","1.4609","0.8307","1.8795","1.0178","1.5263","0.7093","0.6621","1.2157","0.6489","1.351","0.7179","1.4708","1.2007","1.1219","1.0374","1.3695","1.3625","1.2115","0.1848","1.5105","1.2662"
"Payout Ratio","0.395","0.484","0.261","0.279","0.364","12.0","0.22","0.212","0.306","0.324","0.192","0.27","0.313","0.476","0.45","0.273","0.257","0.25","0.135","0.189","0.259","0.226","0.122","0.146","0.333","0.188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.4107","0.4142","0.3702","0.2945","0.2599","0.3066","0.3065","0.2804","0.2802","0.2865","0.2922","0.2971","0.3012","0.3079","0.3115","0.3118","0.3154","0.343","0.3379","0.3019","0.3074","0.3054","0.3084","0.3077","0.344","0.3471","0.355","0.2833","0.2082","0.217","0.2151","0.2078","0.2103","0.2157","0.2271","0.2406","0.204","0.2102","0.2236"
"Selling, General and Administrative Expense of Revenue","0.2236","0.2219","0.1675","0.1921","0.1984","0.2188","0.1843","0.1926","0.2136","0.2188","0.2078","0.2033","0.2261","0.2331","0.2199","0.2132","0.2059","0.2243","0.1898","0.2093","0.2122","0.2234","0.1997","0.2189","0.317","0.2197","0.2228","0.2039","0.1969","0.1956","0.1982","0.1828","0.1945","0.191","0.2108","0.2059","0.2238","0.2219","0.2207"
"Research and Development Expense of Revenue","0.0992","0.1032","0.0875","0.0806","0.0949","0.0982","0.0726","0.0817","0.0894","0.1009","0.0831","0.0906","0.0983","0.1033","0.096","0.0921","0.1017","0.1052","0.0872","0.0891","0.1109","0.105","0.0862","0.0948","0.1008","0.1","0.08","0.0858","0.0855","0.0863","0.0782","0.0746","0.0836","0.0824","0.0717","0.0782","0.0902","0.0975","0.0859"
"Working Capital","874479000.0","834985000.0","802945000.0","1145492000.0","1135466000.0","755081000.0","702169000.0","1032317000.0","1062616000.0","1026884000.0","990771000.0","1047349000.0","1062774000.0","1059039000.0","1033216000.0","1027690000.0","1003995000.0","858479000.0","923679000.0","1024845000.0","992502000.0","1035698000.0","1000339000.0","962541000.0","794940000.0","783944000.0","704856000.0","805141000.0","699800000.0","821241000.0","793142000.0","768046000.0","706808000.0","669164000.0","640227000.0","567512000.0","542144000.0","472226000.0","494606000.0"
"Tangible Asset Value","1593082000.0","1540860000.0","1649840000.0","1825773000.0","2068641000.0","1673323000.0","1668782000.0","1694414000.0","1712871000.0","1649760000.0","1662764000.0","1654813000.0","1678709000.0","1639480000.0","1613463000.0","1600776000.0","1565429000.0","1365463000.0","1450526000.0","1498102000.0","1464804000.0","1504703000.0","1486331000.0","1455473000.0","1266425000.0","1262768000.0","1197948000.0","1242050000.0","1244238000.0","1198224000.0","1173033000.0","1106075000.0","1043062000.0","995095000.0","959218000.0","902126000.0","939250000.0","858903000.0","795267000.0"
"Net Current Asset Value","301230000.0","265334000.0","223277000.0","521652000.0","510415000.0","545050000.0","530629000.0","616255000.0","631682000.0","594886000.0","560790000.0","602617000.0","612116000.0","605342000.0","579752000.0","560138000.0","539424000.0","519744000.0","574492000.0","682591000.0","650898000.0","692018000.0","665995000.0","626335000.0","707599000.0","691197000.0","620003000.0","725762000.0","650210000.0","716882000.0","689233000.0","660686000.0","571894000.0","539466000.0","416150000.0","328871000.0","303445000.0","235340000.0","254466000.0"
"Invested Capital","1346170000.0","1311986000.0","1443700000.0","1354043000.0","1413070000.0","982370000.0","969096000.0","1217235000.0","1208089000.0","1176789000.0","1194819000.0","1178236000.0","1157127000.0","1168116000.0","1182000000.0","1247927000.0","1202938000.0","1152881000.0","1135539000.0","1120481000.0","1074696000.0","1096887000.0","1057605000.0","1110356000.0","805659000.0","774043000.0","754860000.0","648593000.0","760510000.0","622524000.0","622091000.0","603016000.0","628761000.0","581348000.0","680326000.0","724288000.0","795810000.0","738422000.0","657581000.0"
"Average Receivables","305666000.0","303635000.0","339059000.0","306936000.0","303488000.0","305158500.0","340378000.0","301414500.0","298869500.0","290976000.0","320615500.0","290085000.0","274175500.0","288123000.0","310868000.0","282640000.0","273407500.0","302439500.0","332372000.0","302040000.0","298298500.0","310283500.0","334652000.0","296456000.0","298258500.0","273084500.0","287348500.0","240790000.0","241532000.0","229401000.0","237078500.0","225365500.0","222476500.0","221603000.0","221277000.0","209743000.0","201957500.0","181265500.0","185436500.0"
"Average Payables","107563500.0","108203500.0","126882500.0","117701000.0","111387500.0","106257000.0","118856500.0","108119500.0","110800500.0","99042500.0","91951500.0","92180500.0","94896500.0","88002500.0","89943000.0","85777000.0","84704000.0","80533000.0","89173000.0","79963500.0","83843000.0","81189000.0","85035500.0","80331000.0","79712000.0","75789000.0","69600000.0","67090500.0","65242500.0","62812500.0","50571000.0","59519500.0","63234500.0","61421500.0","50906500.0","58294000.0","57216500.0","54304000.0","47299000.0"
"Average Inventory","396360500.0","392464000.0","382231500.0","383669000.0","373982000.0","369585000.0","356848500.0","365206500.0","355331500.0","339597000.0","332662000.0","359666500.0","357381500.0","364444500.0","361899500.0","368400000.0","357731000.0","370613500.0","357565500.0","343949500.0","336619000.0","336152000.0","319603500.0","295944500.0","282846500.0","272073500.0","259828000.0","243225500.0","231464000.0","216799500.0","211993500.0","218406000.0","216737000.0","203394000.0","193426500.0","194735000.0","188371500.0","172912500.0","157647000.0"
