"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.046","12.645","12.391","12.996","13.377","13.244","12.586","12.659","13.154","13.004","14.171","13.997","14.067","13.486","13.411","12.834","12.002","12.346","12.605","13.148","12.121","14.421","13.618","13.748","13.858","13.263","12.556","12.01","10.904","10.89","10.72","10.255","9.409","8.426","8.064","8.191","8.698","8.221","7.543"
"Tangible Book Value per Share","25.862","24.795","25.215","26.112","26.71","27.005","26.823","27.649","28.509","28.128","27.544","26.085","26.449","25.456","27.021","24.851","24.115","24.097","24.054","23.105","20.787","20.794","20.484","19.898","20.186","19.588","19.704","18.314","17.786","18.488","19.453","18.022","17.616","16.992","18.119","16.13","16.223","15.723","14.773"
"FCF per Share","0.241","-0.091","1.224","0.204","0.031","-0.222","2.082","0.678","0.607","-1.303","3.05","0.819","0.378","-0.843","2.403","0.774","0.339","-0.984","2.325","0.251","0.855","-0.788","1.993","0.388","-0.201","-1.489","1.917","0.112","0.511","-0.963","2.421","0.351","0.494","-1.337","2.116","0.837","-0.157","-1.086","2.065"
"Interest Debt per Share","12.1792","12.0148","12.0398","12.3553","12.3821","12.578","12.3864","12.5889","12.5958","12.4673","8.4729","8.5287","8.6619","8.666","8.6062","7.881","7.8827","7.4092","6.1926","6.0499","4.859","3.0547","3.0312","3.0375","3.1057","3.141","3.1506","3.363","3.3648","3.3861","3.3825","3.391","3.397","3.3936","3.3802","3.3048","3.3068","3.2724","3.2551"
"Cash per Share","3.8675","2.496","2.8145","2.0008","2.0405","2.3858","2.8001","1.7833","2.3451","2.4777","3.3039","1.1905","1.0454","1.195","2.6085","0.809","0.7323","1.1736","2.029","1.4174","1.0685","1.0563","2.0241","1.3629","1.3214","1.7277","3.329","1.8509","2.9936","2.8016","3.9053","1.7358","1.4965","1.2014","2.783","0.8943","0.7932","1.1594","2.1774"
"Debt to Equity Ratio","0.9336","0.9502","0.9717","0.9507","0.9256","0.9497","0.9841","0.9944","0.9576","0.9587","0.5979","0.6093","0.6158","0.6426","0.6417","0.6141","0.6568","0.6001","0.4913","0.4601","0.4009","0.2118","0.2226","0.2209","0.2241","0.2368","0.2509","0.28","0.3086","0.3109","0.3155","0.3307","0.361","0.4027","0.4192","0.4035","0.3802","0.3981","0.4315"
"Total Debt To Total Assets","0.3318","0.3362","0.3335","0.3319","0.3273","0.3284","0.3266","0.3255","0.3188","0.3198","0.2325","0.2434","0.2435","0.2505","0.2383","0.236","0.243","0.2291","0.193","0.1956","0.173","0.1081","0.1093","0.1134","0.114","0.118","0.1183","0.1334","0.143","0.1391","0.1334","0.1416","0.1444","0.1501","0.1425","0.1519","0.1507","0.1523","0.1585"
"Interest Coverage","7.8735","2.6583","6.715","-0.0522","6.492","4.5038","6.635","9.9493","7.882","4.5027","15.7403","12.982","12.5996","10.621","12.8134","14.9614","14.0119","13.1173","14.8882","12.8631","17.4645","15.6032","19.9211","17.3651","15.3653","16.1785","19.3019","17.8923","15.4312","13.4508","16.0606","16.7081","15.9856","13.6905","13.696","11.9879","13.6476","10.7343","9.5611"
"Current Ratio","2.107","2.049","1.95","1.983","1.957","1.898","1.82","2.016","2.035","2.059","1.898","2.033","2.02","1.984","1.827","1.648","1.612","1.685","1.723","1.929","1.494","1.889","1.788","1.986","1.941","1.883","1.733","1.841","1.982","1.867","1.714","1.723","1.654","1.585","1.451","1.465","1.6","1.586","1.517"
"Income Quality","1.019","0.2061","3.2251","-2.6239","0.3553","-0.2547","4.9863","1.2067","1.4834","-3.3688","3.0257","1.0977","0.5943","-0.7859","2.6854","1.1223","0.625","-1.1051","2.7864","0.5851","1.5679","-1.1586","2.9441","0.8139","-0.0973","-2.3529","3.3101","0.3472","1.0504","-1.8569","3.8623","0.6989","0.9527","-1.9504","3.6142","1.4819","-0.0474","-1.958","3.885"
