"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","8.494","8.113","7.739","7.419","7.212","7.553","7.408","7.606","8.37","8.522","9.215","7.424","7.824","7.754","7.744","7.469","7.344","12.936","12.026","11.101","10.193","11.308","10.947","10.497","11.448","10.82","10.443","10.131","9.589","9.455","9.313","9.195","8.888","8.339","7.324","10.266","10.525","8.97","10.785"
"Tangible Book Value per Share","16.942","16.949","16.11","15.675","15.142","15.558","14.615","14.545","15.167","15.451","15.71","13.36","12.877","12.913","13.237","13.057","12.367","17.22","16.968","16.635","15.013","15.236","14.61","14.232","14.732","14.389","13.184","12.823","12.344","12.418","12.51","12.185","11.41","10.97","10.301","11.204","11.134","9.952","11.716"
"FCF per Share","0.644","0.6","0.097","0.498","0.49","0.896","0.245","-0.169","0.433","0.811","0.121","0.151","0.528","0.396","0.02","0.075","0.171","0.526","0.031","0.292","0.083","0.794","-0.026","0.068","0.287","0.595","-0.052","0.09","0.237","0.818","-0.143","0.21","0.343","0.473","-0.388","0.01","0.335","0.531","-0.134"
"Interest Debt per Share","10.7588","10.7488","10.7356","10.4718","10.3223","10.3053","10.0802","9.4629","9.2536","9.0441","8.8967","9.2236","8.5602","8.4609","7.6665","7.5772","7.1107","7.0886","7.0299","6.9556","6.3822","6.2642","6.1619","5.9248","5.8992","5.8995","5.0762","5.0774","5.0859","5.155","5.8302","5.8307","5.4684","5.456","5.0777","5.1662","5.147","4.5877","4.4942"
"Cash per Share","3.3298","3.0103","2.4447","2.5153","2.3355","2.6059","2.1925","2.9019","4.0963","4.3941","4.6749","2.1251","2.4322","2.4498","2.7841","2.8972","2.877","4.012","3.3345","5.0748","3.9751","4.3298","3.7608","4.384","4.8275","4.4874","3.2213","3.3603","3.3253","3.1233","2.7733","2.9939","2.5029","2.316","1.3852","2.1065","1.776","1.1027","1.118"
"Debt to Equity Ratio","1.2666","1.3249","1.3872","1.4115","1.4313","1.3645","1.3608","1.2441","1.1056","1.0613","0.9654","1.2425","1.0942","1.0911","0.99","1.0145","0.9682","0.548","0.5846","0.6266","0.6261","0.554","0.5629","0.5644","0.5153","0.5452","0.4861","0.5012","0.5304","0.5452","0.626","0.6341","0.6153","0.6543","0.6933","0.5032","0.489","0.5114","0.4167"
"Total Debt To Total Assets","0.3926","0.3925","0.4043","0.4008","0.4057","0.4009","0.4104","0.3961","0.3805","0.3708","0.3633","0.3694","0.3478","0.3446","0.3279","0.3295","0.3231","0.2405","0.2623","0.2758","0.2728","0.2539","0.2578","0.2587","0.25","0.2564","0.235","0.2381","0.2449","0.2454","0.2721","0.2757","0.269","0.274","0.2643","0.2204","0.2168","0.218","0.2039"
"Interest Coverage","3.3677","4.771","5.3612","4.88","2.7128","5.4203","4.6443","4.3492","1.6186","5.9075","21.6323","6.0492","5.6117","5.6549","6.719","6.7169","0.5479","13.9314","11.553","10.7203","-4.3668","5.7209","6.5642","4.9341","3.7305","4.6721","4.6174","5.2457","4.813","5.5911","2.4535","4.3306","1.0169","7.8235","-33.3333","4.1493","8.5804","13.2705","6.5184"
"Current Ratio","2.25","2.245","2.327","2.01","2.115","1.887","2.04","2.173","2.464","2.543","2.799","1.632","1.736","1.611","1.763","1.856","1.846","1.881","1.924","2.217","2.022","2.076","2.14","2.157","2.276","2.304","2.096","2.0","2.034","1.838","1.638","1.586","1.488","1.437","1.65","1.616","1.564","1.378","1.496"
