"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","28.981","28.9","28.98","29.042","28.574","28.22","25.722","25.76","25.413","24.747","24.889","24.595","24.111","23.632","22.303","21.848","21.24","20.614","20.354","20.494","19.882","19.97","19.619","21.063","20.315","19.874","18.237","19.324","19.468","19.598","20.251","20.519","18.86","18.986","19.551","18.954","18.902","18.935","19.866"
"Tangible Book Value per Share","80.603","78.709","75.712","75.679","73.287","73.461","70.681","69.324","69.076","69.927","66.863","66.303","66.033","66.136","63.958","63.5","62.706","60.377","60.545","59.43","57.785","57.858","57.977","51.814","51.768","52.341","51.642","50.916","50.587","50.546","53.971","58.812","54.732","52.322","52.719","52.816","51.482","50.705","53.278"
"FCF per Share","-0.092","-0.2","-0.043","-0.68","0.014","0.53","0.305","0.408","0.166","0.243","0.198","-0.376","0.027","-0.072","-0.205","0.068","0.131","0.384","0.51","0.02","0.776","0.511","0.295","0.317","0.769","0.257","0.729","0.368","0.879","0.759","0.584","0.421","0.879","0.727","0.239","0.249","0.772","0.276","0.428"
"Interest Debt per Share","43.652","41.9327","39.0682","39.3943","37.6422","38.115","37.9234","36.7044","37.0563","38.5668","35.4349","35.0055","35.1326","35.9069","35.1957","35.207","35.4568","33.9438","34.2999","34.0303","33.1291","33.3582","33.3736","27.5538","28.2941","29.3481","28.8835","28.0239","27.662","27.5992","30.0457","34.5106","32.0821","29.6335","29.7585","29.7814","28.3378","27.8526","29.2019"
"Cash per Share","1.3378","0.2799","0.3262","1.4201","0.263","0.2826","0.3038","0.1864","0.3236","2.5076","0.7051","0.354","0.6156","1.1364","1.348","1.9515","1.6634","0.4834","0.5744","2.307","1.2994","1.091","1.0723","0.3513","0.319","0.1627","0.2582","0.1494","0.384","0.3688","2.2677","6.9019","2.8772","0.3802","0.2595","0.8316","0.345","0.4707","0.9035"
"Debt to Equity Ratio","1.5062","1.451","1.3481","1.3565","1.3173","1.3506","1.4744","1.4249","1.4582","1.5584","1.4237","1.4233","1.4572","1.5194","1.5781","1.6115","1.6693","1.6467","1.6852","1.6605","1.6663","1.6705","1.7011","1.3082","1.3928","1.4767","1.5838","1.4502","1.4209","1.4082","1.4837","1.6819","1.7011","1.5608","1.5221","1.5712","1.4992","1.471","1.47"
"Total Debt To Total Assets","0.5416","0.5328","0.516","0.5205","0.5136","0.5188","0.5365","0.5295","0.5365","0.5515","0.53","0.528","0.532","0.5429","0.5503","0.5544","0.5654","0.5622","0.5665","0.5726","0.5733","0.5765","0.5756","0.5318","0.5466","0.5607","0.5593","0.5504","0.5468","0.546","0.5567","0.5868","0.5862","0.5664","0.5645","0.5639","0.5504","0.5493","0.5481"
"Interest Coverage","4.1912","3.3651","3.4333","3.4257","3.4216","4.2431","3.9282","3.4132","2.861","2.911","2.4548","3.0099","2.8759","2.6749","2.1538","3.4104","2.3828","2.2621","2.366","2.3695","2.1347","2.4929","2.2022","2.9774","2.454","2.2452","2.3021","2.1716","2.2241","2.1255","2.0964","1.9081","2.1002","1.4446","2.3492","2.4643","2.1838","2.2313","6.6071"
"Income Quality","1.5857","2.1598","2.25","1.5251","1.7691","1.3653","1.4551","1.6727","2.1073","1.7803","2.9772","1.4865","2.1402","2.0499","3.0991","1.2916","2.1122","1.9648","2.3292","1.5389","2.4775","1.6209","2.3309","1.1564","2.0998","1.4814","2.3576","1.7062","2.3043","1.9928","1.9652","1.7583","2.6032","7.0138","1.6011","1.3937","2.4468","1.7561","0.4546"
"Payout Ratio","0.933","1.256","1.21","1.195","1.19","0.855","0.959","1.253","1.381","1.299","1.706","1.261","1.219","1.345","1.814","0.83","1.281","1.377","1.259","1.217","1.353","1.03","1.408","0.932","1.218","1.34","1.264","1.396","1.32","1.404","1.269","1.467","1.354","3.824","1.161","1.032","1.245","1.196","0.282"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.0415","0.0399","0.0398","0.0409","0.0456","0.0404","0.0422","0.0506","0.0512","0.0479","0.046","0.049","0.0484","0.0451","0.0553","0.0474","0.0527","0.0449","0.053","0.0557","0.0484","0.0479","0.067","0.0523","0.0469","0.044","0.0494","0.0442","0.0452","0.0397","0.0431","0.0439","0.0405","0.0393","0.0548","0.0409","0.0553","0.0549","0.0762"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","5803503000.0","5656200000.0","5423279000.0","5397337000.0","5188468000.0","5125457000.0","4896559000.0","4783803000.0","4733838000.0","4780750000.0","4546870000.0","4479398000.0","4431485000.0","4405647000.0","4219294000.0","4159476000.0","4085203000.0","3905932000.0","3898565000.0","3804339000.0","3680929000.0","3668848000.0","3666210000.0","3254848000.0","3220668000.0","3217461000.0","3159553000.0","3127159000.0","3103645000.0","3096344000.0","3222309000.0","3480285000.0","3234956000.0","3090962000.0","3092776000.0","3111542000.0","3026547000.0","2979130000.0","2989297000.0"
"Invested Capital","8850165000.0","8649457000.0","8198363000.0","8105620000.0","7834799000.0","7765063000.0","7502729000.0","7303764000.0","7251168000.0","7246046000.0","6908596000.0","6820417000.0","6747924000.0","6721885000.0","6452229000.0","6337843000.0","6286815000.0","6070553000.0","6070179000.0","5835074000.0","5708476000.0","5714940000.0","5708814000.0","4963653000.0","4961112000.0","5011515000.0","4910905000.0","4839174000.0","4777226000.0","4764437000.0","4880768000.0","5114074000.0","4961130000.0","4819121000.0","4823338000.0","4817072000.0","4672200000.0","4587933000.0","4577066000.0"
"Average Receivables","141713500.0","114762000.0","113575500.0","116201000.0","110324500.0","107365000.0","101846500.0","108506500.0","101979500.0","96875000.0","89064500.0","96015000.0","90922000.0","84961500.0","79349500.0","84718000.0","80352000.0","76512500.0","74891000.0","80327500.0","75259000.0","73639500.0","72459000.0","76473000.0","73365500.0","71180500.0","70594000.0","73315500.0","70770000.0","71367000.0","72939500.0","70813500.0","67578500.0","68184500.0","67398000.0","64701500.0","59592000.0","57792000.0","54300500.0"
"Average Payables","251043000.0","248274000.0","243033000.0","238148500.0","219424500.0","221538500.0","209587500.0","220734500.0","210591000.0","210372000.0","207480000.0","216445000.0","204737000.0","192679500.0","188634500.0","190634500.0","171301000.0","155758500.0","158751500.0","151303500.0","142189000.0","129704500.0","146532000.0","143931000.0","138341500.0","130248500.0","147018000.0","152599000.0","148164000.0","141911500.0","137765000.0","141222000.0","142403500.0","138943000.0","130585500.0","132821000.0","130341000.0","130523000.0","132519000.0"
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
