"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","8.538","8.543","8.572","9.137","9.243","9.762","9.721","11.014","10.868","10.786","12.762","13.454","13.364","13.14","12.905","12.048","11.848","11.898","11.732","11.607","11.346","11.328","11.029","11.741","12.076","11.634","11.163","10.807","10.671","10.796","11.016","11.06","10.588","9.566","10.513","11.291","11.877","11.617","11.434"
"Tangible Book Value per Share","30.655","30.352","31.46","33.581","34.55","40.629","40.532","50.12","53.104","53.105","58.609","55.592","55.651","55.649","55.805","55.892","55.692","56.369","57.208","58.151","57.614","58.862","60.005","61.505","61.93","61.084","63.205","64.021","63.306","65.69","66.22","64.738","64.131","63.01","70.417","73.471","74.906","73.588","69.109"
"FCF per Share","0.198","-0.04","0.063","0.13","-0.442","-0.064","0.48","0.03","0.544","0.493","0.976","0.568","0.512","0.285","1.317","0.381","0.53","0.173","0.761","0.453","0.438","0.472","0.642","0.727","0.548","0.593","0.784","0.856","0.808","0.694","0.982","0.765","0.497","-0.149","1.958","0.88","0.896","0.643","1.054"
"Interest Debt per Share","15.477","14.7472","15.3974","16.6754","17.0119","19.9396","19.5467","24.0413","26.8128","28.6804","26.0326","31.2267","31.9689","32.4761","32.5854","33.1246","32.7577","33.4588","35.0552","36.5835","36.5373","37.9624","38.8666","40.0571","40.5847","40.2401","41.4183","42.3612","42.3608","44.829","44.1347","48.764","48.5443","47.7233","48.9087","55.1529","55.792","54.8623","50.871"
"Cash per Share","5.0725","4.7639","5.4405","5.8619","5.6682","8.0461","6.9721","9.814","9.0975","8.6494","6.9731","9.0133","8.633","8.6692","8.7528","8.4939","8.5793","8.6342","7.3685","8.0938","7.0174","7.9055","8.004","8.6193","8.5855","7.7387","7.4092","7.3324","6.9169","6.5257","6.6201","5.7754","4.9403","4.4345","4.8403","1.6386","1.9051","1.5313","1.5566"
"Debt to Equity Ratio","1.8126","1.7263","1.7963","1.825","1.8406","2.0425","2.0107","2.1828","2.4672","2.659","2.0398","2.321","2.3921","2.4715","2.525","2.7494","2.7648","2.8122","2.988","3.152","3.2204","3.3511","3.524","3.4117","3.3607","3.4588","3.7104","3.9199","3.9695","4.1522","4.0065","4.4092","4.585","4.9889","4.6521","4.8845","4.6974","4.7227","4.4489"
"Total Debt To Total Assets","0.3781","0.3659","0.373","0.3854","0.3897","0.4025","0.4008","0.4176","0.4422","0.4674","0.3991","0.482","0.4918","0.4996","0.5021","0.51","0.5128","0.5187","0.5366","0.5527","0.5573","0.5676","0.5713","0.5756","0.5823","0.5871","0.5901","0.5968","0.6031","0.6153","0.601","0.6578","0.6606","0.6624","0.6103","0.6614","0.6566","0.657","0.6461"
"Interest Coverage","2.1772","1.5874","3.8952","3.128","3.5407","1.0294","5.5004","3.9443","0.2132","-10.7783","-1.308","3.9721","3.8768","2.6899","0.3238","2.4474","2.3242","2.5501","2.6726","2.362","2.1246","2.1052","2.3453","1.9812","2.235","2.9428","2.0534","1.6211","2.0073","1.5936","1.7178","1.4651","1.6267","1.4731","1.4226","1.6975","1.9252","1.7883","2.1634"
"Income Quality","1.8439","0.4992","0.4598","0.5216","-1.2623","-10.5574","1.0737","0.3037","-4.6287","-0.4487","2.2252","1.7062","1.4807","1.6542","3.5396","1.6393","2.3367","1.3071","2.8055","1.6789","2.4963","2.1312","2.4493","3.8767","2.0179","2.2918","2.1635","5.0242","3.1091","3.7936","3.5701","3.47","2.194","-0.073","5.5805","2.368","2.2013","1.609","2.2546"
"Payout Ratio","1.714","3.429","0.615","1.045","0.767","-23.0","0.377","0.92","-1.769","-0.17","0.451","0.629","0.629","0.733","0.688","0.613","0.633","0.559","0.5","0.515","0.586","0.586","0.486","0.682","0.429","0.438","0.326","0.667","0.357","0.588","0.37","0.435","0.4","1.192","0.886","0.721","0.608","0.721","0.463"
"Intangible Assets out of Total Assets","0.2511","0.2469","0.2379","0.2238","0.2086","0.1798","0.169","0.1295","0.1242","0.1346","0.1014","0.1419","0.1439","0.144","0.1401","0.1395","0.1282","0.1261","0.1242","0.1214","0.1212","0.1199","0.1179","0.1162","0.1114","0.1088","0.0994","0.098","0.0987","0.0984","0.0983","0.1268","0.1273","0.1254","0.1213","0.1189","0.1185","0.1188","0.1222"
"Selling, General and Administrative Expense of Revenue","0.145","0.1629","0.1373","0.1484","0.1458","0.1655","0.1408","0.1519","0.15","0.1683","0.8744","0.0","0.0","0.0","2.4293","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","266209000000.0","264815000000.0","278309000000.0","300927000000.0","317714000000.0","379091000000.0","409748000000.0","506032000000.0","535074000000.0","534494000000.0","588565000000.0","557805000000.0","558054000000.0","558335000000.0","564602000000.0","569188000000.0","575857000000.0","586135000000.0","599905000000.0","614009000000.0","609982000000.0","622839000000.0","633496000000.0","651976000000.0","656796000000.0","648625000000.0","673434000000.0","684465000000.0","675890000000.0","700900000000.0","705074000000.0","687956000000.0","679116000000.0","665409000000.0","701033000000.0","730896000000.0","746617000000.0","734821000000.0","698425000000.0"
"Invested Capital","356562000000.0","351917000000.0","366391000000.0","397829000000.0","422027000000.0","490065000000.0","536867000000.0","649677000000.0","713572000000.0","736105000000.0","779964000000.0","780692000000.0","792061000000.0","797193000000.0","805726000000.0","820022000000.0","825865000000.0","844268000000.0","890236000000.0","914827000000.0","922519000000.0","940879000000.0","959323000000.0","985227000000.0","996162000000.0","993741000000.0","1035791000000.0","1058966000000.0","1054308000000.0","1109589000000.0","1104510000000.0","1144789000000.0","1140864000000.0","1122557000000.0","1139754000000.0","1263258000000.0","1283729000000.0","1267367000000.0","1196807000000.0"
"Average Receivables","41782500000.0","41976000000.0","44059000000.0","83574000000.0","84645000000.0","116295000000.0","44399500000.0","190454000000.0","193600500000.0","227674500000.0","157692500000.0","265279000000.0","269114000000.0","272554500000.0","278723000000.0","281502500000.0","284171500000.0","288862000000.0","296480500000.0","301291500000.0","305961500000.0","313680500000.0","318580500000.0","330864500000.0","335197500000.0","351209000000.0","339482500000.0","361672000000.0","367811500000.0","377344000000.0","374889500000.0","412934500000.0","419574500000.0","414080500000.0","407457000000.0","421160500000.0","416512500000.0","405874000000.0","386576000000.0"
"Average Payables","15296500000.0","15555000000.0","16194500000.0","14607500000.0","14779500000.0","16005000000.0","15115500000.0","16526500000.0","17054000000.0","18059500000.0","16537500000.0","18669000000.0","18972500000.0","18756500000.0","18162500000.0","18003500000.0","18346000000.0","18465500000.0","17915500000.0","16893000000.0","17140500000.0","17288500000.0","17208000000.0","15383500000.0","14997500000.0","15122500000.0","18443500000.0","16774000000.0","16712000000.0","16334500000.0","22413500000.0","19805000000.0","20736000000.0","19741000000.0","24298500000.0","19697500000.0","20796000000.0","20500500000.0","23974000000.0"
"Average Inventory","23783000000.0","23304000000.0","22434500000.0","21700500000.0","21713500000.0","20868500000.0","20102000000.0","19358000000.0","19205000000.0","18355500000.0","17507000000.0","18687000000.0","18234000000.0","17581000000.0","16349500000.0","16982500000.0","16101000000.0","15746500000.0","14583000000.0","15521500000.0","15028000000.0","14269500000.0","12659000000.0","13509000000.0","12991000000.0","12539000000.0","11756500000.0","12544500000.0","12336500000.0","12791000000.0","12830500000.0","13905500000.0","14159500000.0","14053500000.0","13285500000.0","14019000000.0","13779500000.0","13706500000.0","11464500000.0"
