"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","9.547","9.621","9.749","9.988","9.404","9.356","9.371","9.313","9.454","9.126","8.603","8.485","8.568","8.527","8.893","8.443","9.007","9.228","8.118","8.189","8.528","8.797","9.07","9.983","9.607","10.363","31.756","1.772","2.517","2.832","2.622","4.938","5.237","5.636","6.843","4.836","5.364","5.861","4.035"
"Tangible Book Value per Share","25.24","25.388","25.664","25.672","26.714","26.704","27.279","26.861","26.604","26.459","28.596","28.648","28.715","28.798","28.274","26.629","27.04","28.674","29.058","29.226","29.657","29.394","31.559","31.988","31.829","32.873","101.979","86.78","87.096","87.269","89.061","91.892","92.135","91.438","108.891","109.407","108.862","119.431","116.601"
"FCF per Share","0.058","0.145","-0.362","0.098","0.165","0.109","0.08","0.12","-0.057","-0.159","-0.489","-0.111","0.237","0.122","-1.178","0.535","0.47","0.043","0.087","0.148","-0.267","0.144","-0.441","0.309","0.179","0.207","0.28","0.339","0.457","0.335","0.455","0.925","0.275","-0.115","0.122","-0.61","-1.627","-0.038",""
"Interest Debt per Share","14.4211","14.4863","14.3109","14.361","15.8063","15.9927","16.3863","16.1003","15.797","15.8174","18.3077","18.2427","18.2565","18.3609","17.4455","16.3262","16.2239","17.5194","17.2259","17.3515","17.5774","17.2061","18.5485","18.589","18.3727","18.6352","56.8633","53.4796","53.0987","43.5808","23.3853","9.7575","9.7924","78.8802","92.3874","92.6664","91.6146","100.0763","99.8151"
"Cash per Share","0.2579","0.2856","0.536","0.7423","0.2562","0.2188","0.4044","0.1814","0.1979","0.1957","0.4213","0.3163","0.2738","0.4562","0.6335","0.6241","0.7291","0.6013","0.6655","0.6799","0.5301","0.5277","0.6125","0.5251","0.6057","1.0722","3.2178","1.985","1.7278","1.8062","2.0852","2.2044","1.9851","0.6242","0.6298","0.5199","0.3269","1.0513","0.4082"
"Debt to Equity Ratio","1.5106","1.5057","1.4679","1.4378","1.6808","1.7093","1.7486","1.7288","1.6709","1.7332","2.1281","2.1499","2.1308","2.1534","1.9617","1.9337","1.8012","1.8985","2.122","2.1189","2.061","1.956","2.0451","1.8621","1.9125","1.7983","1.7906","30.1807","21.0988","15.3871","8.9179","1.976","1.8697","13.9961","13.5005","19.1615","17.0789","17.0754","24.7355"
"Total Debt To Total Assets","0.5713","0.5706","0.5576","0.5594","0.5917","0.5989","0.6007","0.5994","0.5938","0.5978","0.6402","0.6368","0.6358","0.6376","0.617","0.6131","0.6","0.611","0.5928","0.5937","0.5927","0.5854","0.5877","0.5811","0.5772","0.5669","0.5576","0.6118","0.6053","0.4958","0.2607","0.1054","0.1055","0.8558","0.8387","0.8363","0.8306","0.827","0.8446"
"Interest Coverage","1.9665","1.8439","2.7678","5.7717","2.2382","2.3184","2.2538","1.7306","3.9564","4.6117","2.7186","1.4009","2.0146","1.7357","1.4395","1.1573","2.1276","0.9407","1.1912","-0.0263","0.4205","0.069","-0.9264","2.1693","0.1451","1.0396","0.4452","0.6577","1.165","-0.8799","0.5947","0.5655","-0.2408","1.0444","0.892","1.1115","1.0392","1.0199",""
"Income Quality","2.1295","2.3156","1.3303","0.414","1.6932","1.2674","1.5674","2.3484","0.6276","0.3539","0.502","3.7117","1.8095","1.9115","3.8701","12.4397","0.968","-8.4298","6.2056","-1.0862","-1.8476","-0.9211","-0.2909","0.8327","-0.5724","12.3085","-0.7803","-1.4219","3.8392","-0.3264","-1.4721","-2.136","-0.4028","-22.6959","-10.4524","1.7792","41.3589","6.6092",""
"Payout Ratio","1.571","0.0","1.615","0.25","0.905","0.0","1.682","1.214","0.362","0.0","1.0","1.875","0.75","0.0","3.375","4.0","0.545","0.0","7.333","-0.435","-0.833","-2.0","-0.513","0.37","-0.455","0.0","0.0","0.0","-0.077","0.0","0.0","0.0","0.0","-4.875","3.25","39.0","2.167","",""
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0072","0.0072","0.0072","0.0071","0.0071","0.0073","0.008","0.0115","0.0126","0.0131","0.0131","0.0134"
"Selling, General and Administrative Expense of Revenue","0.0309","0.0297","0.0337","0.0279","0.0303","0.0255","0.0343","0.0289","0.0277","0.0291","0.03","0.0277","0.0542","0.0279","0.0367","0.0269","0.0315","0.0278","0.0312","0.0288","0.0301","0.0289","0.045","0.0374","0.0137","0.0109","0.024","0.0148","0.0193","0.0235","0.025","0.0495","0.0677","0.0579","0.0193","0.0162","0.0245","0.0379",""
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"Tangible Asset Value","22277446000.0","22467454000.0","22732746000.0","22713189000.0","23593484000.0","23566314000.0","24073555000.0","23789795000.0","23576230000.0","23427668000.0","25281632000.0","25319908000.0","25376559000.0","25448516000.0","25762303000.0","25748981000.0","26144436000.0","26935520000.0","27282405000.0","27421880000.0","27814597000.0","27559866000.0","29518151000.0","30014149000.0","30771869000.0","31694131000.0","32367379000.0","27543269000.0","27637719000.0","27690970000.0","27950110000.0","28836900000.0","28908717000.0","28672511000.0","29217039000.0","29288712000.0","29119906000.0","29133763000.0","28428636000.0"
"Invested Capital","34778002000.0","35034328000.0","34934113000.0","34762147000.0","37327291000.0","37486839000.0","38177508000.0","37888485000.0","37400170000.0","37259737000.0","41095146000.0","41163639000.0","41268391000.0","41270537000.0","41081074000.0","40932134000.0","41126033000.0","42827717000.0","42830656000.0","43064149000.0","43802923000.0","43197453000.0","46294493000.0","46963263000.0","47949061000.0","48627276000.0","49394025000.0","43887282000.0","43938992000.0","40946227000.0","34634775000.0","31207169000.0","31358405000.0","53211498000.0","53836917000.0","53956673000.0","53538696000.0","53289654000.0","52665205000.0"
"Average Receivables","635719500.0","640328000.0","329384000.0","882318000.0","896814000.0","793275000.0","500170000.0","742649500.0","708857500.0","558435500.0","571333500.0","526515000.0","424030500.0","372671000.0","369879500.0","346399000.0","240916500.0","236125500.0","239804500.0","214049000.0","192119500.0","175876000.0","166424000.0","278798000.0","264538500.0","262765000.0","259070000.0","380701500.0","384436500.0","389693500.0","394687500.0","380302500.0","385043000.0","381212500.0","386806000.0","360455500.0","342828500.0","348938500.0","363493500.0"
