"","42917.0","42826.0","42735.0","42637.0","42546.0","42455.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40810.0","40719.0","40628.0","40537.0","40446.0","40355.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","18.558","19.657","17.256","17.819","17.041","18.139","16.076","16.994","16.79","18.135","16.356","16.835","17.963","19.234","17.588","18.213","17.213","18.496","16.973","17.381","16.478","17.353","15.651","15.806","15.268","16.467","15.766","14.656","13.328","12.779","14.135","12.742","12.293","11.273","10.99","10.356","10.805","11.397","10.838"
"Tangible Book Value per Share","23.645","22.817","21.305","22.735","22.363","21.657","20.444","21.895","21.98","22.522","21.507","23.137","23.371","23.182","22.396","23.557","22.389","22.221","22.042","22.461","21.639","20.899","20.303","20.976","20.66","19.328","19.664","17.79","16.305","16.728","18.012","16.433","14.553","12.847","13.348","13.555","13.65","13.245","14.272"
"FCF per Share","0.689","0.504","0.834","1.057","0.716","0.609","0.665","0.653","-0.622","0.335","0.608","0.647","0.738","0.288","0.653","1.05","0.952","0.244","0.788","0.798","1.084","0.598","1.044","0.898","1.011","1.034","0.906","1.001","0.867","0.981","1.157","1.4","1.228","1.429","1.68","0.977","0.161","0.766","0.453"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","4.5787","4.4267","4.2761","4.8376","4.2443","4.5275","4.0049","4.808","4.9108","6.1102","5.7506","6.0074","6.3742","5.8278","5.6681","5.4727","5.5414","5.5936","5.921","6.4024","6.5104","6.6068","6.1897","7.165","7.319","6.25","6.5255","6.3601","5.9016","6.4638","5.4499","5.0552","4.7978","4.613","3.4476","2.531","2.9287","2.7731","3.2702"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","126.5409","0.0","0.0","0.0","0.0","0.0","0.0","0.0","337.6507","0.0","0.0","0.0","1682.657"
"Current Ratio","2.482","3.774","2.891","2.443","2.19","3.128","2.553","2.495","2.374","3.033","2.43","2.155","2.576","3.425","2.867","2.51","2.637","3.824","2.79","2.799","2.64","3.951","3.0","2.794","2.688","4.666","3.735","4.164","4.948","3.251","3.493","2.92","4.528","6.049","4.141","2.922","3.144","4.138","2.909"
