"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","20.417","19.683","18.173","17.954","16.697","16.225","15.571","16.216","15.541","14.885","14.033","7.647","7.496","7.407","7.593","4.89","3.894","3.212","2.551","6.155","4.939","4.717","4.168","7.275","7.209","6.65","3.806","4.657","3.702","4.025","4.091","4.244","3.286","3.386","5.199","13.336","13.913","13.404","13.194"
"Tangible Book Value per Share","67.214","65.528","60.923","62.752","61.22","60.169","59.015","62.558","62.3","61.656","63.157","57.811","58.486","65.673","67.972","68.593","67.488","68.049","65.996","69.918","68.584","70.332","68.926","70.91","68.693","67.42","61.099","61.165","56.698","57.26","56.183","61.207","59.046","57.415","59.68","67.079","68.651","67.3","75.514"
"FCF per Share","-0.496","-2.21","3.777","0.427","0.348","-2.341","2.726","0.569","1.081","-1.726","3.613","0.007","0.714","-7.145","3.26","-0.313","1.028","-4.931","4.196","-0.718","0.363","-4.221","6.18","-2.365","-1.984","-2.951","2.128","-1.488","-0.649","-0.074","2.589","1.182","0.755","-2.245","1.593","-6.145","-0.49","-2.388","2.296"
"Interest Debt per Share","24.1111","23.5437","21.0731","23.0076","23.6212","22.7528","21.4586","22.3048","22.6037","23.0593","23.3358","24.9273","24.5","28.7097","25.4024","26.5935","26.5407","26.8612","20.7592","24.4122","23.1429","23.0779","21.3156","24.9303","21.7377","21.7449","19.6074","20.5455","19.0248","18.9835","18.7552","24.4215","24.2697","22.9295","20.6598","22.3693","16.8838","16.9833","21.875"
"Cash per Share","3.5833","3.8135","4.3538","3.7214","4.3106","4.0412","5.5489","6.2825","6.0667","5.9741","7.8869","6.3418","5.9312","7.4718","12.1789","10.1626","10.4228","9.7388","9.3102","9.2122","8.8","8.5369","11.3607","8.7131","7.3934","9.1152","8.2851","6.8802","6.9545","7.3306","7.9751","10.7025","9.8174","7.8672","7.8589","7.4025","9.3361","10.025","16.9167"
"Debt to Equity Ratio","1.181","1.1962","1.1596","1.2815","1.4147","1.4024","1.3781","1.3755","1.4545","1.5491","1.6629","3.2596","3.2682","3.8759","3.3453","5.4381","6.8152","8.3621","8.1376","3.9662","4.686","4.8923","5.1141","3.427","3.0153","3.2698","5.152","4.4117","5.1384","4.7166","4.5842","5.7546","7.3851","6.7721","3.9737","1.6773","1.2135","1.267","1.6579"
"Total Debt To Total Assets","0.3443","0.3451","0.3318","0.3516","0.3699","0.3621","0.3482","0.3426","0.3484","0.3591","0.3544","0.4116","0.3991","0.4166","0.3565","0.3702","0.3756","0.377","0.2997","0.3334","0.3221","0.313","0.295","0.3355","0.3006","0.3062","0.3036","0.3176","0.3172","0.3125","0.3137","0.377","0.3879","0.3773","0.327","0.3163","0.2326","0.2384","0.2749"
"Interest Coverage","3.1348","3.7471","4.5517","4.4444","3.8942","3.9341","-3.9914","5.1048","3.9818","4.3551","1.9845","3.4167","3.6765","0.5905","3.2571","3.27","3.4608","1.6118","1.5287","2.9767","2.8675","1.4356","1.0674","4.0465","2.3704","3.2297","-1.08","1.3889","1.9221","1.3919","2.5422","2.6471","-2.4304","-4.4688","-3.9146","2.6164","3.1974","3.809","2.2735"
"Current Ratio","1.308","1.287","1.187","1.369","1.408","1.386","1.236","1.656","1.623","1.679","1.514","1.686","1.6","1.631","1.72","1.749","1.733","1.695","1.597","1.82","1.78","1.698","1.655","1.806","1.652","1.667","1.516","1.704","1.745","1.739","1.764","1.894","1.901","1.872","1.739","2.073","1.956","2.035","2.181"
