"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","10.303","10.368","10.935","11.283","11.369","15.221","18.102","18.105","18.445","18.38","19.219","18.3","17.242","16.198","16.074","14.402","16.611","16.903","16.997","16.37","15.759","15.021","14.35","13.452","12.727","11.969","11.402","10.827","10.358","9.901","9.698","9.508","9.269","9.025","8.653","8.421","8.669","8.034","7.62"
"Tangible Book Value per Share","26.373","25.912","28.456","28.274","29.481","36.77","40.37","32.894","33.595","33.241","35.183","34.518","33.353","31.876","31.942","29.015","27.354","27.46","27.207","26.117","25.525","24.596","23.78","21.555","20.291","19.329","18.641","18.62","18.11","17.505","17.096","16.9","16.867","16.887","14.875","14.56","15.097","14.249","13.701"
"FCF per Share","0.062","-0.253","1.079","1.073","-4.397","-0.414","0.565","-0.525","0.813","0.191","0.575","-0.084","0.46","0.366","1.511","0.448","0.444","-0.361","1.172","-0.097","-0.506","-0.052","0.748","0.258","0.114","-0.152","0.461","-0.003","0.044","-0.096","0.334","0.191","0.228","-0.153","0.568","0.22","-0.032","0.2","0.579"
"Interest Debt per Share","12.8331","12.5825","14.3333","14.2865","15.0244","17.9406","17.9276","9.2292","9.1995","9.2247","9.1733","9.217","9.2388","9.2061","9.2279","8.782","5.2108","5.1772","5.1884","5.194","5.2165","5.2221","5.2334","4.1565","4.1747","4.1838","4.1976","5.0264","5.0486","5.0541","5.0653","5.0698","5.1225","5.136","2.9184","3.1417","3.1943","3.1809","3.0921"
"Cash per Share","2.4614","2.4302","4.64","3.8155","3.614","11.1807","11.7722","2.6304","3.2394","2.6988","2.7017","2.3927","2.7896","2.5006","2.7816","1.6753","1.5265","2.1794","2.6738","2.1897","2.3506","2.8765","2.9294","1.9293","1.5699","1.1269","1.5346","2.0604","1.2804","1.5282","2.3056","1.857","1.7461","3.3077","1.2559","1.1032","2.1486","2.2685","2.0499"
"Debt to Equity Ratio","1.2456","1.2136","1.3108","1.2662","1.3216","1.1786","0.9904","0.5098","0.4988","0.5019","0.4773","0.5037","0.5358","0.5684","0.5741","0.6098","0.3137","0.3063","0.3053","0.3173","0.331","0.3477","0.3647","0.309","0.328","0.3495","0.3682","0.4642","0.4874","0.5105","0.5223","0.5332","0.5526","0.5691","0.3373","0.3731","0.3685","0.3959","0.4058"
"Total Debt To Total Assets","0.4404","0.4384","0.4587","0.4603","0.4658","0.4536","0.4154","0.2609","0.2561","0.2564","0.2418","0.2475","0.2564","0.2672","0.2675","0.2797","0.1758","0.1741","0.1758","0.1832","0.1885","0.1954","0.2036","0.1803","0.1916","0.2014","0.209","0.2513","0.2608","0.2694","0.2766","0.2799","0.2837","0.284","0.1816","0.2001","0.199","0.2098","0.2121"
"Interest Coverage","0.9917","0.7645","-0.2482","0.6241","-19.9694","-18.9212","0.3015","0.0808","2.1792","-7.3396","13.37","17.8125","12.4149","10.1505","11.8265","12.011","13.6761","-1.6761","14.3699","13.2394","14.675","13.5811","20.6087","18.6452","18.3175","11.7246","13.8696","11.4342","9.9474","5.3026","5.3718","6.013","5.7975","11.5094","91.0","30.0","19.8571","20.4762","18.78"
"Current Ratio","2.522","2.558","2.903","3.239","2.809","2.578","3.761","2.616","3.042","2.755","2.497","2.521","2.638","2.734","2.727","2.707","2.642","2.819","2.754","2.776","2.823","2.788","2.809","2.819","3.013","3.093","3.223","2.765","2.776","2.803","2.99","3.983","3.607","3.822","2.665","2.911","3.049","3.101","3.141"
"Income Quality","12.3571","-0.1563","-7.1074","173.5","1.1322","0.0709","-31.6071","-0.4815","21.9074","-1.2628","1.2752","0.6966","1.4483","1.5338","2.3934","1.5269","1.7422","-19.3889","2.6024","1.2924","0.5441","1.1707","1.4547","1.4319","1.1137","1.1057","1.405","1.0184","1.0229","1.5388","3.1934","2.3359","2.4313","1.0079","2.1944","0.9851","0.9127","0.9052","1.421"
"Payout Ratio","6.0","-4.5","-1.125","18.0","-0.048","-0.064","-6.0","-3.0","3.0","-0.237","0.168","0.106","0.163","0.205","0.165","0.165","0.186","-6.5","0.125","0.138","0.113","0.132","0.092","0.122","0.111","0.161","0.136","0.15","0.17","0.391","0.333","0.31","0.31","0.214","0.173","0.118","0.155","0.136","0.12"
"Intangible Assets out of Total Assets","0.095","0.0972","0.0894","0.0891","0.0859","0.0702","0.0646","0.0702","0.0648","0.0762","0.0724","0.0732","0.0744","0.075","0.0742","0.076","0.0772","0.0765","0.0779","0.0789","0.0777","0.0797","0.075","0.0648","0.0686","0.0697","0.0719","0.0689","0.0645","0.067","0.0665","0.0669","0.0659","0.0663","0.0745","0.0725","0.0597","0.0602","0.0601"
