"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","9.784","9.607","9.498","11.066","9.406","8.995","8.284","8.219","8.051","7.98","7.745","7.697","7.596","7.444","7.332","7.179","6.929","6.976","6.834","6.77","6.552","6.42","6.27","6.251","6.084","5.836","6.571","7.766","7.589","7.496","10.015","9.624","11.368","13.122","19.748","17.414","17.431","16.133","19.771"
"Tangible Book Value per Share","90.745","89.69","89.466","104.575","91.547","90.164","88.051","86.747","84.404","83.049","80.416","78.044","76.941","72.981","70.949","67.559","66.555","65.969","65.599","65.109","64.968","63.923","62.295","62.907","60.698","60.565","70.121","73.313","71.266","71.405","95.385","87.783","110.239","138.751","139.162","139.921","141.674","143.611","170.185"
"FCF per Share","0.097","0.313","0.436","0.379","0.109","0.226","0.764","0.361","0.092","-0.039","0.284","0.29","0.261","0.175","0.225","0.439","0.206","0.223","0.331","0.101","0.298","0.287","0.193","0.192","0.452","0.844","-0.063","0.094","0.627","0.423","0.209","0.472","1.051","2.847","0.682","1.854","0.732","-0.052","3.499"
"Interest Debt per Share","12.0203","9.7044","11.059","11.8761","12.3866","10.5645","9.6178","9.7558","9.1289","8.8494","8.241","8.2738","9.3991","5.4903","5.7916","3.6254","3.4542","2.6883","3.4875","3.2185","4.3721","4.7582","5.2526","6.0168","6.2255","6.325","7.7245","7.6417","7.617","7.1663","8.7817","9.9728","12.9996","18.1321","22.3459","26.8191","26.9229","29.6503","32.5633"
"Cash per Share","1.4626","1.2628","1.3297","1.8252","1.1427","1.1095","1.1293","1.3612","1.7987","1.2027","1.5729","1.1669","1.5679","1.2589","1.274","1.4099","1.2826","1.07","1.5742","1.0063","1.5163","1.4611","1.3967","2.6574","1.2748","1.5507","1.2969","1.9716","1.975","2.338","3.4548","3.8664","5.3908","7.2375","3.003","3.2763","4.0242","4.0838","5.838"
"Debt to Equity Ratio","1.2286","1.0101","1.1643","1.0732","1.3169","1.1745","1.161","1.1869","1.1339","1.109","1.064","1.075","1.2373","0.7375","0.7899","0.505","0.4985","0.3854","0.5103","0.4754","0.6673","0.7412","0.8377","0.9625","1.0233","1.0838","1.1755","0.984","1.0036","0.956","0.8769","1.0363","1.1436","1.3818","1.1315","1.5401","1.5446","1.8378","1.6471"
"Total Debt To Total Assets","0.1291","0.1054","0.1204","0.1106","0.1337","0.1157","0.1078","0.1113","0.107","0.1054","0.1016","0.105","0.121","0.0745","0.0809","0.0531","0.0514","0.0403","0.0526","0.0489","0.0666","0.0736","0.0834","0.0945","0.1013","0.1031","0.1088","0.1029","0.1054","0.099","0.0908","0.112","0.1162","0.1287","0.1505","0.1796","0.1782","0.1937","0.1791"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","0.6446","2.0915","2.4057","3.6801","0.6132","1.1743","3.7134","2.1763","0.5544","-0.1156","1.6676","1.6771","1.4467","1.1047","1.3312","2.3656","1.3786","1.4584","2.1892","0.7129","1.959","1.9093","1.7462","1.4471","3.1501","6.3579","-0.6461","1.1402","24.2277","30.456","-0.3201","-1.4839","-2.6787","-0.4252","-0.6011","10.9994","3.1641","-0.043","-4.5395"
"Payout Ratio","0.348","0.471","0.381","0.583","0.368","0.333","0.333","0.333","0.261","0.316","0.316","0.278","0.263","0.294","0.278","0.238","0.294","0.235","0.222","0.211","0.235","0.235","0.286","0.25","0.063","0.071","0.2","0.1","0.333","1.0","-0.167","-0.03","-0.025","-0.001","-0.107","0.765","0.52","0.771","-0.307"
"Intangible Assets out of Total Assets","0.0256","0.0261","0.0263","0.0259","0.012","0.0123","0.013","0.0105","0.0108","0.011","0.009","0.0094","0.0092","0.0098","0.009","0.0097","0.0099","0.0101","0.0103","0.0104","0.0107","0.011","0.0114","0.0115","0.0122","0.0125","0.0125","0.0129","0.0136","0.0138","0.0142","0.0142","0.015","0.0153","0.0628","0.0628","0.0624","0.0617","0.0638"
"Selling, General and Administrative Expense of Revenue","0.5021","0.5423","0.5164","0.6352","0.5285","0.5231","0.5167","0.5106","0.4924","0.5185","0.5042","0.5315","0.5153","0.5059","0.5114","0.4764","0.5214","0.5099","0.4803","0.5188","0.5042","0.4825","0.504","0.5127","0.4934","0.5074","0.4826","0.5345","0.5966","0.6586","-0.8427","1.7722","1.2459","0.9119","-0.8386","0.6072","0.5646","0.5513","7.4184"
