"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42371.0","42280.0","42189.0","42098.0","42007.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40544.0","40453.0","40362.0","40271.0","40180.0","40089.0","39998.0","39907.0","39816.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","2.961","2.53","3.238","3.141","2.781","2.431","3.256","3.107","3.614","3.501","3.471","3.675","3.461","3.133","3.104","2.909","2.649","2.413","2.266","1.968","1.668","1.669","1.735","1.915","1.686","1.595","1.454","1.395","1.199","0.976","0.872","0.77","0.629","0.49","0.493","1.013","1.035","0.825","0.757"
"Tangible Book Value per Share","13.065","12.195","12.029","12.743","12.79","10.905","10.369","10.61","10.764","10.092","9.495","10.304","8.588","8.231","7.784","8.308","8.377","8.283","7.864","8.569","8.44","8.818","8.74","9.223","9.087","8.926","8.22","8.56","8.194","7.747","7.47","7.956","8.189","8.197","8.165","8.388","8.223","7.955","7.8"
"FCF per Share","0.116","-0.103","1.004","0.833","0.373","-0.798","0.736","0.319","0.016","-0.738","0.688","0.473","0.138","-0.187","0.811","0.575","0.218","-0.223","0.594","0.725","0.246","-0.262","0.424","0.053","0.058","-0.325","0.368","0.017","-0.143","-0.174","0.46","0.426","0.164","-0.301","0.353","-0.049","-0.203","-0.125","0.202"
"Interest Debt per Share","11.6043","10.9314","9.9021","10.9278","10.1394","8.5301","6.6441","6.9056","6.4659","5.7428","4.9647","5.75","4.491","4.5831","4.2503","3.5904","3.9964","4.1321","3.8769","4.7867","5.1373","5.4317","5.1898","5.6544","5.7422","5.8324","5.5076","5.3482","5.2728","5.1638","5.1018","5.5248","6.0089","6.184","5.9633","6.3484","6.2898","6.1737","6.1157"
"Cash per Share","1.2341","1.2242","1.2178","1.1917","1.7509","0.8487","0.8146","0.7071","0.7851","0.6913","0.6003","0.5416","0.3606","0.3799","0.2923","0.3341","0.2088","0.1743","0.1093","0.4616","0.0752","0.0878","0.09","0.1225","0.1145","0.1667","0.1128","0.1956","0.0954","0.1106","0.1014","0.1014","0.1251","0.0838","0.1794","0.2293","0.2568","0.3201","0.4564"
"Debt to Equity Ratio","3.9188","4.3212","3.0578","3.4795","3.6466","3.5093","2.0404","2.223","1.7889","1.6403","1.4305","1.5645","1.2977","1.4628","1.3692","1.2341","1.5087","1.7127","1.7111","2.4321","3.0795","3.2547","2.9921","2.9522","3.4057","3.6565","3.788","3.8333","4.3991","5.2901","5.8524","7.1794","9.5505","12.6271","12.0887","6.2656","6.0753","7.4846","8.0817"
"Total Debt To Total Assets","0.5839","0.5867","0.54","0.5652","0.5787","0.5738","0.4651","0.4776","0.4423","0.4256","0.3809","0.4134","0.4052","0.4266","0.412","0.3707","0.4092","0.4267","0.4179","0.4797","0.5212","0.5252","0.5051","0.525","0.5392","0.5562","0.5624","0.5497","0.5627","0.5784","0.5889","0.6028","0.6387","0.6557","0.6333","0.6579","0.6635","0.6714","0.6788"
"Interest Coverage","5.1586","2.7866","4.9533","5.2463","4.7314","3.8572","5.0905","6.6211","4.7589","3.3306","4.3594","6.507","9.7762","3.2704","2.1587","7.0436","7.1645","3.3048","3.9437","4.6157","1.4492","0.2011","1.9191","3.9165","3.6811","2.463","1.5567","3.1098","3.2859","2.2485","0.8951","2.1165","1.8743","0.3267","1.4834","1.5623","3.0048","2.1734","2.5977"
"Current Ratio","2.012","1.962","2.043","1.902","2.343","2.278","1.94","2.077","2.178","2.156","1.72","1.882","2.24","2.371","2.245","2.47","2.528","2.51","2.315","2.149","2.341","2.727","2.496","2.482","2.331","2.581","2.59","2.355","2.372","2.23","2.074","2.207","2.415","2.396","2.82","2.919","3.048","3.108","3.04"
"Income Quality","0.3307","-0.3228","2.5289","1.9405","1.2153","-3.5481","2.6364","0.8998","0.2769","-4.9271","3.2735","1.7688","0.4346","-1.4975","10.3606","1.9053","0.7915","-1.5163","3.0378","2.6996","86.8034","3.5078","4.8908","0.4556","0.3778","-2.1001","6.0639","0.4436","-0.2963","-1.0671","-188.2597","4.4798","2.7653","2.9996","10.9624","1.9687","-0.5315","-0.5408","2.4742"
