"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40178.0","",""
"Book Value per Share","-18.565","-18.95","-19.552","-20.526","-20.981","-19.062","-18.748","-17.578","-17.785","-18.136","-18.393","-17.068","-18.207","-17.704","-18.715","-18.724","-19.755","-20.979","-21.836","-17.825","-18.757","-19.667","-18.912","-20.05","-16.809","-20.103","-27.952","-21.115","",""
"Tangible Book Value per Share","75.974","73.027","72.441","69.9","68.609","65.75","64.177","61.108","60.58","59.201","57.235","55.305","54.492","54.052","51.886","50.435","50.155","50.272","50.942","49.54","49.38","49.644","49.574","41.413","40.968","47.51","49.593","50.648","",""
"FCF per Share","1.834","1.915","2.204","1.306","1.775","2.245","1.86","1.287","1.198","1.361","2.174","1.292","1.679","0.097","1.426","1.004","0.721","0.756","1.512","0.388","2.3","1.055","2.011","0.956","0.583","1.326","0.162","2.186","0.267","1.513"
"Interest Debt per Share","86.5416","85.1065","84.0144","83.1335","81.3963","77.0793","75.217","71.7021","71.4133","70.0777","68.5639","65.8088","66.057","65.4167","64.2152","63.4365","63.1421","64.3743","65.3949","61.0866","61.5305","63.7125","61.9515","52.3114","49.0272","57.1047","66.1542","60.3195","",""
"Cash per Share","1.927","2.0335","1.7298","1.7901","1.7883","2.1494","1.8281","1.4171","1.6162","1.3947","1.3188","1.1904","1.4994","1.9224","0.9369","1.082","1.0345","1.3366","1.5936","1.0705","1.1787","1.0755","0.8542","0.7061","1.0437","1.2449","0.9633","0.7331","",""
"Debt to Equity Ratio","-4.6615","-4.4911","-4.2969","-4.0501","-3.8796","-4.0437","-4.0121","-4.079","-4.0153","-3.8639","-3.7276","-3.8556","-3.628","-3.6949","-3.4312","-3.3879","-3.1962","-3.0685","-2.9948","-3.427","-3.2805","-3.2395","-3.2759","-2.609","-2.9167","-2.8405","-2.3667","-2.8567","",""
"Total Debt To Total Assets","0.916","0.9325","0.9294","0.9491","0.9472","0.9322","0.9311","0.9328","0.9378","0.941","0.9498","0.9546","0.972","0.9703","0.9842","0.9994","1.0095","1.026","1.0305","0.9865","0.9966","1.0281","1.0057","1.1195","1.0604","1.0654","1.1833","1.0638","",""
"Interest Coverage","3.4866","3.2625","4.2407","3.0625","3.3396","3.351","3.1854","2.7494","2.9435","3.2649","2.9091","2.9578","2.7681","2.2457","2.4693","2.3079","2.4978","2.1547","1.9567","2.3049","2.3504","2.9548","6.0473","1.0732","1.7231","1.7936","1.8612","1.7352","1.8094","2.157"
"Current Ratio","1.618","1.654","1.557","1.715","1.686","1.705","1.674","1.461","1.473","1.273","1.63","1.514","1.488","1.507","1.411","1.434","1.294","1.3","1.258","1.241","1.31","1.297","1.302","1.567","1.611","1.637","1.621","1.525","",""
"Income Quality","2.137","1.9423","1.8467","1.9515","2.0502","2.0159","2.677","2.4521","2.0848","1.7225","3.0873","2.1776","2.588","1.2767","2.8915","2.4658","1.9243","2.1512","4.0223","1.8194","3.734","1.4759","0.7168","14.4262","3.2664","3.825","1.8869","5.1687","1.4881","2.2139"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.338","0.0","0.0","1.626","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.1959","0.1999","0.1986","0.202","0.2016","0.2048","0.2056","0.205","0.2045","0.205","0.2071","0.1978","0.1981","0.1983","0.2047","0.2054","0.1981","0.1987","0.1973","0.2","0.2002","0.1989","0.1952","0.1137","0.1139","0.1136","0.1129","0.1068","",""
"Selling, General and Administrative Expense of Revenue","0.4562","0.4614","0.4477","0.4615","0.4546","0.4583","0.4494","0.4686","0.4539","0.4545","0.4444","0.4567","0.444","0.4586","0.4487","0.4631","0.4554","0.4641","0.4583","0.469","0.457","0.4445","0.4495","0.4592","0.458","0.4449","0.4471","0.4525","0.3966","0.4072"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3566000000.0","3574000000.0","3252000000.0","3688000000.0","3699000000.0","3803000000.0","3716000000.0","2908000000.0","2983000000.0","1958000000.0","3450000000.0","2895000000.0","2877000000.0","2986000000.0","2342000000.0","2352000000.0","1771000000.0","1796000000.0","1591000000.0","1411000000.0","1690000000.0","1667000000.0","1679000000.0","2422000000.0","2613000000.0","2719000000.0","2650000000.0","2264000000.0","",""
"Tangible Asset Value","27795000000.0","27041000000.0","27054000000.0","26436000000.0","26511000000.0","26063000000.0","26013000000.0","25356000000.0","25226000000.0","24873000000.0","24564000000.0","23926000000.0","23913000000.0","23899000000.0","22928000000.0","22561000000.0","22400000000.0","22341000000.0","22536000000.0","21842000000.0","21701000000.0","21741000000.0","21647000000.0","21055000000.0","21158000000.0","21104000000.0","21159000000.0","21554000000.0","",""
"Net Current Asset Value","-30308000000.0","-30115000000.0","-30305000000.0","-30447000000.0","-30608000000.0","-29574000000.0","-29558000000.0","-28487000000.0","-28372000000.0","-28380000000.0","-28548000000.0","-27316000000.0","-27638000000.0","-27399000000.0","-27722000000.0","-27666000000.0","-27628000000.0","-28107000000.0","-28653000000.0","-26593000000.0","-26938000000.0","-27181000000.0","-26679000000.0","-26125000000.0","-24520000000.0","-24611000000.0","-27727000000.0","-25532000000.0","",""
"Invested Capital","52980000000.0","52339000000.0","51950000000.0","52045000000.0","51876000000.0","50367000000.0","50244000000.0","48207000000.0","47980000000.0","46558000000.0","47944000000.0","46249000000.0","46348000000.0","46082000000.0","45195000000.0","45035000000.0","44118000000.0","44364000000.0","44589000000.0","42442000000.0","42777000000.0","43557000000.0","42772000000.0","43021000000.0","41661000000.0","41650000000.0","44704000000.0","42599000000.0","",""
