"","42946.0","42855.0","42764.0","42673.0","42582.0","42491.0","42400.0","42309.0","42218.0","42127.0","42036.0","41945.0","41854.0","41763.0","41672.0","41581.0","41490.0","41399.0","41308.0","41210.0","41119.0","41028.0","40937.0","40846.0","40755.0","40664.0","40573.0","40482.0","40391.0","40300.0","40209.0","40118.0","40027.0","39936.0","39845.0","39754.0","39663.0","39572.0","39481.0","39383.0"
"Book Value per Share","3.004","3.307","3.587","4.593","5.39","5.08","5.029","6.009","6.732","7.091","7.127","7.619","8.512","8.885","9.035","10.095","10.794","11.167","12.003","11.929","11.748","11.81","11.683","11.538","11.628","11.381","11.653","11.677","11.763","11.551","11.543","11.522","11.39","10.692","10.55","10.943","11.101","10.546","10.633","9.639"
"Tangible Book Value per Share","36.96","35.767","33.835","34.646","34.122","34.044","31.744","33.155","33.093","31.703","29.505","30.316","31.34","30.238","28.304","30.286","28.607","29.297","26.951","27.249","27.199","27.701","25.717","26.251","26.212","26.009","24.021","24.778","25.014","25.299","23.635","24.903","25.449","25.332","23.757","25.572","26.12","26.436","25.879","24.479"
"FCF per Share","2.468","3.438","1.156","0.491","2.338","2.658","1.279","0.844","1.676","2.378","1.208","0.451","1.77","1.674","0.921","0.651","1.186","1.658","0.807","0.533","0.97","1.491","0.378","0.56","1.359","1.197","0.13","0.221","0.666","1.132","0.048","0.691","0.873","0.966","0.188","0.41","0.69","0.99","-0.172","-0.124"
"Interest Debt per Share","21.1048","19.1461","19.5373","18.6936","16.9579","16.7987","16.8917","16.4527","15.1013","12.9985","13.1476","12.6051","12.4339","10.7835","10.6234","11.37","8.8968","8.7139","7.2897","7.2717","7.1985","7.1124","7.0418","7.0019","6.8718","6.7311","6.0142","5.9713","5.8978","5.7823","5.7631","6.198","6.7914","6.7944","6.7858","6.7632","6.944","7.2269","8.0612","6.8448"
"Cash per Share","4.0828","2.9758","2.101","2.9322","3.2534","2.6119","1.7643","2.3975","3.8472","2.178","1.3173","1.6436","3.1322","1.8369","1.3918","3.4467","2.3842","2.9544","1.684","1.7176","1.8721","2.0966","1.297","1.4506","1.6269","1.1295","0.3362","0.8705","1.4489","1.4526","0.8458","1.6165","1.8461","1.3155","0.308","0.514","0.6256","0.4568","0.2671","0.2956"
"Debt to Equity Ratio","7.025","5.7892","5.4468","4.0699","3.146","3.3067","3.3591","2.7382","2.2433","1.8331","1.8448","1.6545","1.4608","1.2137","1.1759","1.1263","0.8243","0.7803","0.6073","0.6096","0.6127","0.6022","0.6027","0.6068","0.591","0.5914","0.5161","0.5114","0.5014","0.5006","0.4993","0.5379","0.5963","0.6355","0.6432","0.618","0.6256","0.6853","0.7582","0.7101"
"Total Debt To Total Assets","0.5432","0.5103","0.5493","0.5142","0.4733","0.4699","0.5055","0.4725","0.4424","0.3969","0.4305","0.4029","0.3849","0.3458","0.3634","0.3654","0.3024","0.2894","0.2628","0.2595","0.2574","0.25","0.2663","0.2598","0.2549","0.2515","0.243","0.2342","0.2292","0.2223","0.2369","0.2422","0.2598","0.2613","0.2778","0.2574","0.2587","0.2661","0.303","0.2722"
"Interest Coverage","17.9237","13.8963","12.4553","14.0678","17.9956","12.9831","10.8008","12.4208","43.4167","13.456","22.3571","22.5929","18.0524","25.022","9.8933","12.1968","17.5465","13.0062","10.9375","11.5533","17.0132","20.4048","8.8667","10.2215","15.7123","10.2302","11.9195","10.1972","13.8446","6.9048","2.3925","7.7012","11.3851","5.6","0.7205","8.7616","13.0064","4.439","6.5052","14.272"
"Current Ratio","1.296","1.21","1.254","1.341","1.304","1.255","1.316","1.165","1.191","1.058","1.358","1.366","1.44","1.32","1.421","1.484","1.3","1.328","1.341","1.496","1.445","1.434","1.549","1.462","1.449","1.41","1.332","1.327","1.237","1.191","1.341","1.277","1.318","1.204","1.198","1.212","1.253","1.157","1.155","1.125"
