"","42911.0","42820.0","42735.0","42638.0","42547.0","42456.0","42369.0","42274.0","42183.0","42092.0","42004.0","41910.0","41819.0","41728.0","41639.0","41546.0","41455.0","41364.0","41274.0","41182.0","41091.0","41000.0","40908.0","40811.0","40720.0","40629.0","40543.0","40447.0","40356.0","40265.0","40178.0","40083.0","39992.0","39901.0","39813.0","39719.0","39628.0","39537.0","39447.0"
"Book Value per Share","11.69","11.304","10.862","11.143","11.16","10.286","9.589","12.428","14.527","13.879","13.578","15.103","15.416","14.359","13.611","12.919","12.587","11.744","11.304","11.862","11.517","11.17","10.416","11.003","10.714","9.936","9.37","9.299","9.076","8.909","8.992","9.762","9.609","9.559","9.087","10.625","10.707","10.195","9.838"
"Tangible Book Value per Share","59.605","58.0","55.647","56.811","56.844","56.585","51.698","51.745","50.559","48.326","44.339","45.97","46.006","44.078","42.398","42.382","43.179","41.133","40.402","43.819","40.118","41.543","41.507","40.922","39.492","39.802","39.914","42.51","43.303","45.552","38.918","39.734","37.247","36.648","33.366","29.98","28.41","24.324","23.172"
"FCF per Share","2.407","0.771","0.865","2.328","1.914","0.012","-0.218","1.715","1.884","0.646","0.316","1.612","1.458","0.808","0.25","1.75","2.025","-0.578","-0.021","1.707","1.41","-0.426","-0.427","1.657","2.27","-0.563","-0.432","1.55","2.063","0.736","-0.059","2.763","0.221","-1.136","-2.307","-1.004","-1.024","0.434","-2.786"
"Interest Debt per Share","40.9759","39.5321","38.5101","38.7377","38.9934","38.6509","35.8188","33.5811","29.8413","27.9519","25.6904","25.0334","24.5411","23.152","23.7855","23.2376","24.7006","23.4047","22.5524","25.7758","23.023","24.1569","24.6271","23.5803","23.0284","24.1232","24.4224","26.0603","27.7524","29.9884","24.0405","22.0408","20.1715","19.1856","16.8148","13.4792","12.5887","8.7674","8.6968"
"Cash per Share","6.0084","5.191","4.5966","4.784","5.206","4.2777","4.2243","7.1956","6.6512","6.0946","4.6918","5.1602","5.2848","4.7884","5.4789","5.4885","6.7489","5.3736","5.5518","8.8308","5.4426","6.6089","7.5595","6.0435","4.1202","3.9594","4.3388","6.3453","6.0093","6.1578","6.9545","6.4748","4.365","3.7871","2.4435","2.1434","3.3962","1.3947","1.6684"
"Debt to Equity Ratio","3.5053","3.4971","3.5453","3.4764","3.494","3.7578","3.7356","2.7021","2.0542","2.0139","1.8921","1.6575","1.592","1.6123","1.7475","1.7987","1.9624","1.9929","1.9951","2.173","1.9991","2.1627","2.3645","2.1431","2.1494","2.4277","2.6066","2.8024","3.0577","3.3661","2.6735","2.2577","2.0993","2.0071","1.8505","1.2686","1.1757","0.86","0.884"
"Total Debt To Total Assets","0.6839","0.678","0.6883","0.6782","0.6824","0.6795","0.6891","0.6457","0.5888","0.577","0.5777","0.543","0.5318","0.5236","0.5592","0.5466","0.5703","0.5672","0.5564","0.5865","0.5721","0.5797","0.5915","0.5744","0.5812","0.6041","0.61","0.6112","0.6391","0.6565","0.6156","0.5528","0.5396","0.5199","0.5001","0.4406","0.439","0.3566","0.3712"
"Interest Coverage","52.0527","38.102","9.1276","23.4461","58.2196","54.3518","9.3943","44.8959","51551.7778","45715.5556","6659.4667","2929.6364","1398.1349","112.195","10.9566","22.2271","38.5826","30.7191","10.2443","19.1073","33.9581","24.1314","13.0545","21.7539","26.7533","16.9319","-2.5455","6.4376","6.4505","5.0415","-29.3201","79.5442","83.7821","23.955","38.9008","220.8426","0.0","0.0","0.0"
"Current Ratio","1.265","1.658","1.346","1.606","1.735","1.736","1.448","1.735","1.864","1.881","1.652","1.552","1.783","1.533","1.589","2.065","2.125","1.945","2.695","2.063","1.602","1.747","1.683","1.796","1.821","2.099","2.019","1.832","1.929","2.107","1.914","1.483","1.532","2.135","2.107","2.181","2.547","1.762","1.82"
"Income Quality","1.8045","0.8582","5.2254","4.1338","1.4804","0.1642","1.876","2.9","1.4651","0.6474","2.4144","2.6407","1.0363","0.7656","2.0155","2.676","1.8333","-0.484","1.2594","3.1661","1.4635","-0.4279","-0.1536","2.3345","3.0322","-0.88","0.1819","4.4676","7.264","5.615","-0.1208","25.5145","4.0969","-2.0906","-5.9355","-1.0941","-0.834","0.7825","-3.0638"
"Payout Ratio","0.243","0.34","1.25","0.547","0.226","0.255","1.107","0.449","0.215","0.242","0.778","0.4","0.172","0.231","0.6","0.288","0.172","0.21","0.469","0.254","0.139","0.2","0.543","0.0","0.16","0.196","-1.0","0.0","0.333","0.714","-0.106","0.909","1.25","0.196","1.886","0.0","0.347","0.38","0.38"
