"","42947.0","42855.0","42766.0","42674.0","42582.0","42490.0","42400.0","42308.0","42216.0","42124.0","42035.0","41943.0","41851.0","41759.0","41670.0","41578.0","41486.0","41394.0","41305.0","41213.0","41121.0","41029.0","40939.0","40847.0","40755.0","40663.0","40574.0","40482.0","40390.0","40298.0","40209.0","40117.0","40025.0","39933.0","39844.0","39752.0","39660.0","39568.0","39478.0","39386.0"
"Book Value per Share","-2.581","-2.343","-2.539","-2.268","-2.295","-2.783","-2.764","15.384","14.978","14.756","14.461","14.364","15.245","14.913","14.554","14.21","12.754","12.162","11.723","11.418","16.033","20.863","19.769","19.419","18.901","19.267","18.885","17.977","18.318","18.555","17.654","17.117","17.437","16.935","16.426","15.953","15.655","15.428","14.822","14.956"
"Tangible Book Value per Share","15.653","13.664","13.245","13.624","12.628","11.541","11.169","56.068","39.756","37.734","37.014","37.581","37.274","37.183","37.27","37.198","36.91","36.823","36.604","37.244","36.928","36.859","36.309","37.239","38.664","36.877","33.912","34.743","33.386","31.839","31.503","31.724","29.762","28.573","28.949","29.92","28.187","26.394","24.514","24.397"
"FCF per Share","1.02","0.225","0.431","0.325","0.579","0.868","-0.125","0.976","0.474","0.422","-0.04","1.013","1.454","1.204","1.281","1.065","1.051","1.517","1.053","1.772","1.052","0.769","0.205","0.619","1.085","1.373","1.231","0.964","0.96","0.98","0.72","1.09","1.224","1.763","0.192","0.986","1.135","1.685","1.041","1.111"
"Interest Debt per Share","4.6437","4.0403","3.9836","3.9726","3.9947","3.9372","3.7905","4.9147","14.1285","11.6086","10.3988","10.4917","10.6059","11.9503","12.8956","11.7702","12.8294","13.8455","14.4531","14.4712","15.0908","15.1981","15.5982","15.4017","12.5102","10.6595","9.3506","9.9129","8.6331","7.5318","6.7307","6.6878","7.2124","7.8028","8.4888","7.3134","4.1558","3.3963","2.8559","3.1766"
"Cash per Share","4.1446","3.6866","3.7154","3.6665","3.294","2.6953","2.0766","4.2017","9.513","8.1411","7.048","8.1316","7.7401","7.9873","8.4767","6.3382","6.8694","6.8424","6.446","5.7511","4.8245","4.1996","4.0954","4.0437","6.3062","5.9247","4.5527","4.8573","6.3385","6.026","5.7451","5.6101","5.6763","5.368","4.6427","4.1594","6.0118","4.687","3.8684","4.3839"
"Debt to Equity Ratio","-1.799","-1.7244","-1.5688","-1.7519","-1.741","-1.415","-1.3714","0.3195","0.9433","0.7867","0.7191","0.7304","0.6957","0.8013","0.8861","0.8283","1.0059","1.1384","1.2329","1.2674","0.9412","0.7285","0.789","0.7931","0.6619","0.5533","0.4951","0.5514","0.4713","0.4059","0.3813","0.3907","0.4136","0.4608","0.5168","0.4584","0.2655","0.2201","0.1927","0.2124"
"Total Debt To Total Assets","0.2444","0.2377","0.2408","0.235","0.2511","0.2653","0.2638","0.083","0.2383","0.2077","0.189","0.1892","0.1922","0.2172","0.2342","0.2137","0.2339","0.2521","0.2645","0.2614","0.253","0.2355","0.2441","0.2365","0.2057","0.1832","0.1701","0.1791","0.167","0.1523","0.1397","0.1379","0.1547","0.1721","0.1866","0.1575","0.1066","0.0915","0.0825","0.0923"
"Interest Coverage","17.0536","12.7813","10.5679","-1.8501","29.3611","162.0","9.2553","6.1212","12.9","16.3462","14.1653","-12.0","10.0552","10.4713","12.2515","18.6699","12.7055","8.2953","9.7877","-34.5106","-39.433","9.144","9.2398","1.9825","20.8264","39.0526","34.9897","40.679","17.3358","31.4066","15.0905","23.7348","12.5028","12.7389","10.7629","27.9694","-109.9565","-863.3333","-36.2917","-2.179"
"Current Ratio","0.972","0.984","0.956","0.982","0.961","0.912","0.904","1.227","1.06","1.132","1.133","1.147","1.16","1.153","1.162","1.106","1.086","1.11","1.116","1.085","1.118","1.161","1.101","1.011","1.15","1.092","1.179","1.097","1.103","1.223","1.265","1.222","1.168","1.135","1.04","0.977","1.218","1.267","1.217","1.207"
"Income Quality","2.5503","0.814","1.2553","1.4187","1.3678","2.5103","-0.1723","1.972","1.959","1.4481","0.5447","2.0308","3.7025","2.3527","2.0982","1.9915","1.9237","3.3018","2.0795","-0.5922","-0.3213","1.5524","0.8127","10.0418","1.6651","1.7196","1.1785","1.2415","1.846","1.405","1.0698","1.4233","2.3076","2.8844","0.6067","1.5511","1.6591","2.3165","1.4941","1.6677"
