"","42946.0","42855.0","42764.0","42673.0","42575.0","42484.0","42393.0","42302.0","42211.0","42120.0","42029.0","41938.0","41847.0","41756.0","41665.0","41574.0","41483.0","41392.0","41301.0","41210.0","41119.0","41028.0","40937.0","40846.0","40755.0","40664.0","40573.0","40482.0","40384.0","40293.0","40202.0","40111.0","40020.0","39929.0","39838.0","39747.0","39656.0","39565.0","39474.0","39383.0"
"Book Value per Share","8.999","8.864","8.656","8.419","8.296","8.133","7.873","7.569","7.447","7.279","7.077","6.852","6.78","6.656","6.492","6.285","5.771","5.697","5.558","5.372","5.499","5.322","5.189","5.02","4.995","4.946","4.787","4.521","4.331","4.24","4.141","3.963","4.034","3.92","3.809","3.726","3.735","3.739","3.627","3.461"
"Tangible Book Value per Share","7.2","6.957","6.918","6.87","6.893","6.773","6.649","6.835","6.742","7.278","7.17","6.97","7.296","7.1","7.065","6.828","6.512","6.329","7.333","7.245","6.885","6.745","6.649","6.571","6.34","6.894","6.29","6.168","5.766","5.63","5.593","5.468","5.425","5.34","5.326","5.282","5.145","5.0","4.929","4.84"
"FCF per Share","0.398","0.079","0.272","0.539","0.277","0.123","0.466","0.488","0.391","0.328","0.434","0.582","0.165","-0.146","0.534","0.331","0.284","0.177","0.232","0.373","0.07","0.064","0.233","0.248","0.046","0.173","0.281","0.356","0.13","0.085","0.18","0.378","0.082","0.126","0.284","0.11","0.066","-0.133","0.232","0.281"
"Interest Debt per Share","0.4733","0.4728","0.473","0.4728","0.7458","0.4718","0.4727","0.8229","1.1353","0.4734","0.4741","0.4742","0.4735","0.4736","0.4739","0.4738","0.4724","0.4719","0.4736","0.4754","0.4746","0.4742","0.4736","0.4718","0.4683","1.1227","0.6565","0.6575","0.6569","0.655","0.655","0.653","0.7635","0.8379","0.8372","0.8352","0.7848","0.6911","0.6448","0.7714"
"Cash per Share","1.1991","1.0382","1.1537","0.7852","0.7167","0.7169","0.7095","0.6568","0.6607","1.1824","0.9995","0.6339","1.0057","0.946","1.213","0.8225","0.6226","0.496","1.6816","1.2976","1.0123","0.9954","1.0393","0.8741","0.9317","1.7097","1.1232","0.8789","0.7074","0.6647","0.8404","0.7187","0.5495","0.5815","0.4925","0.2873","0.2031","0.1975","0.2657","0.275"
"Debt to Equity Ratio","0.0526","0.0533","0.0546","0.0562","0.0899","0.058","0.06","0.1087","0.1524","0.065","0.067","0.0692","0.0698","0.0712","0.073","0.0754","0.0819","0.0828","0.0852","0.0885","0.0863","0.0891","0.0913","0.094","0.0938","0.227","0.1371","0.1454","0.1517","0.1545","0.1582","0.1648","0.1893","0.2137","0.2198","0.2242","0.2101","0.1848","0.1778","0.2229"
"Total Debt To Total Assets","0.0384","0.0391","0.0393","0.0392","0.0618","0.0409","0.0414","0.0708","0.0985","0.0445","0.045","0.0458","0.0482","0.0492","0.0493","0.0509","0.0525","0.0536","0.0541","0.0548","0.057","0.0579","0.0585","0.0589","0.0602","0.1348","0.0849","0.0863","0.091","0.0925","0.0938","0.0948","0.1115","0.1238","0.1239","0.1244","0.1194","0.108","0.102","0.1238"
"Interest Coverage","91.9326","105.4879","118.194","111.8525","88.0655","108.0353","104.9219","76.62","73.931","90.36","86.5507","77.6975","68.8218","69.7168","76.6823","78.0475","57.6323","59.492","64.2165","64.0913","53.4646","59.7103","61.1652","55.7366","25.872","24.1564","35.7168","27.8088","21.5509","21.0507","26.6815","24.6782","17.954","19.015","17.7176","16.7221","11.7553","19.8796","21.7308","21.1487"
"Current Ratio","2.526","2.578","2.304","1.927","1.781","2.107","1.908","1.699","1.609","2.646","2.397","2.234","2.86","2.889","2.628","2.611","2.472","2.588","3.255","2.951","3.129","2.943","2.79","2.568","2.821","2.274","1.911","1.687","1.683","2.514","2.472","2.299","2.178","2.137","1.949","1.841","2.168","2.352","2.196","1.853"
