"","42916.0","42825.0","42734.0","42643.0","42552.0","42461.0","42370.0","42279.0","42188.0","42097.0","42006.0","41908.0","41817.0","41726.0","41635.0","41544.0","41453.0","41362.0","41271.0","41180.0","41089.0","40998.0","40907.0","40816.0","40725.0","40634.0","40543.0","40452.0","40361.0","40270.0","40179.0","40088.0","39997.0","39906.0","39815.0","39717.0","39626.0","39535.0","39444.0"
"Book Value per Share","24.017","23.768","25.521","24.641","24.502","27.145","26.26","28.032","32.564","17.75","17.436","17.171","17.146","16.906","16.12","15.322","14.248","15.13","16.232","16.5","17.041","16.86","19.963","18.178","19.67","19.876","18.967","18.089","16.865","16.436","15.512","14.685","14.118","16.423","16.049","16.966","16.882","16.214","16.278"
"Tangible Book Value per Share","29.694","37.553","35.028","34.568","43.503","35.355","36.066","36.551","47.969","28.566","27.89","27.699","27.7","28.1","27.246","26.131","26.083","27.354","28.066","28.945","30.549","28.542","29.726","27.694","25.857","29.199","26.496","22.536","22.102","21.308","20.32","19.487","19.808","21.23","20.599","20.847","23.223","19.355","19.234"
"FCF per Share","0.328","1.338","1.811","0.178","2.782","0.702","2.407","0.324","3.959","1.446","1.001","0.373","3.136","1.097","0.52","1.308","2.494","1.672","1.069","0.686","2.735","1.357","1.412","-0.027","1.16","0.636","0.219","1.999","0.813","1.709","1.272","0.871","1.793","1.394","0.876","0.043","1.189","0.923","0.667"
"Interest Debt per Share","33.0566","34.3638","35.5699","36.2066","36.2154","38.6532","40.5977","41.1417","50.0016","15.459","15.8912","15.5774","15.2489","15.6168","15.762","15.7011","15.8336","17.4051","17.1852","17.6774","17.993","19.9225","21.6495","20.6414","16.2902","16.5872","15.1469","11.4519","9.2987","9.1421","9.4191","9.1965","9.6963","6.3806","6.3526","6.8418","6.1545","6.6404","7.3183"
"Cash per Share","3.9701","2.4633","2.9184","2.2922","3.9046","2.4355","4.1276","2.5911","4.611","4.703","4.5188","4.2935","5.2676","3.2919","3.1458","3.1692","2.9293","4.1501","2.9216","2.9205","3.1289","2.6625","3.4431","2.5707","2.8845","7.0808","5.884","2.6924","3.506","3.1498","2.3898","1.7668","2.124","3.4062","2.6459","2.5537","2.0379","2.1686","2.7384"
"Debt to Equity Ratio","1.3764","1.4458","1.3937","1.4694","1.4781","1.4239","1.546","1.4676","1.5355","0.8709","0.9114","0.9072","0.8894","0.9237","0.9778","1.0247","1.1113","1.1504","1.0588","1.0713","1.0559","1.1816","1.0845","1.1355","0.8282","0.8345","0.7986","0.6331","0.5514","0.5562","0.6072","0.6262","0.6868","0.3885","0.3958","0.4033","0.3646","0.4095","0.4496"
"Total Debt To Total Assets","0.3994","0.3793","0.3787","0.3809","0.3761","0.4028","0.4155","0.4044","0.3973","0.3316","0.3441","0.3369","0.3301","0.3345","0.3431","0.3494","0.3571","0.3792","0.3682","0.3694","0.366","0.3961","0.3943","0.4","0.3357","0.3439","0.3365","0.2789","0.2545","0.2544","0.2699","0.2739","0.2875","0.1955","0.1983","0.1958","0.1791","0.1975","0.2182"
"Interest Coverage","5.7381","4.6667","6.75","6.1136","6.3409","6.0","-0.4565","5.5","-0.9804","6.2647","9.5909","8.6522","9.4231","9.8491","9.5401","8.8565","4.5405","6.0942","4.9928","0.0502","8.6593","-8.7561","8.0172","7.5231","9.8417","8.6384","11.8775","15.1292","14.9034","14.6077","12.2747","9.8352","-10.4143","15.0","2.6884","14.7823","19.1262","11.5683","13.4348"
"Current Ratio","1.076","1.661","1.569","1.307","1.325","1.424","1.325","1.632","1.4","1.93","1.893","1.778","1.786","1.746","1.714","1.663","1.502","1.474","1.942","1.879","1.839","1.469","1.341","1.265","1.55","2.01","2.217","1.363","1.906","1.887","1.855","1.83","1.676","2.194","2.171","1.952","2.071","1.95","1.919"
"Income Quality","0.6107","2.2824","1.4237","0.2688","2.6063","0.7143","-2.125","0.4324","-8.1964","1.373","1.0216","0.64","3.0015","1.2341","0.7849","1.372","5.7622","2.4652","3.2784","-1.4044","2.8637","-0.581","1.4974","0.6472","2.0697","1.2007","0.6248","1.7993","1.1057","1.8887","1.3398","1.2871","-1.6771","1.8844","-3.9326","0.3159","1.6228","1.5287","1.1032"
"Payout Ratio","0.486","0.757","0.373","0.411","0.388","0.37","-0.407","0.417","-0.81","0.388","0.351","0.395","0.341","0.318","0.331","0.359","0.74","0.435","0.86","-0.481","0.295","-0.105","0.239","0.277","0.236","0.227","0.21","0.195","0.186","0.173","0.206","0.278","-1.475","0.233","-0.69","0.225","0.17","0.188","0.179"
"Intangible Assets out of Total Assets","0.6412","0.5855","0.627","0.6364","0.5482","0.6316","0.6309","0.6407","0.6188","0.3873","0.3961","0.401","0.4003","0.3982","0.407","0.4184","0.4117","0.404","0.3987","0.3951","0.3785","0.4326","0.4587","0.4634","0.4672","0.3946","0.4114","0.4512","0.3951","0.4069","0.4177","0.4195","0.4127","0.3497","0.3569","0.4035","0.324","0.4243","0.4265"
"Selling, General and Administrative Expense of Revenue","0.1608","0.1679","0.1624","0.1773","0.1813","0.1761","0.1241","0.1817","0.8309","0.1853","0.1559","0.1688","0.1537","0.1603","0.1673","0.1743","0.2208","0.1682","0.1656","0.1571","0.1763","0.1768","0.1697","0.1672","0.0918","0.1989","0.1774","0.1816","0.0517","0.1843","0.1771","0.1763","0.1712","0.1563","0.1439","0.1617","0.0876","0.1778","0.1748"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","147000000.0","1144000000.0","947000000.0","569000000.0","643000000.0","854000000.0","696000000.0","1182000000.0","909000000.0","974500000.0","918100000.0","842400000.0","876000000.0","877400000.0","821600000.0","753000000.0","650700000.0","683700000.0","1096000000.0","1103100000.0","1186000000.0","704700000.0","566700000.0","456500000.0","786300000.0","1322900000.0","1301100000.0","515000000.0","952800000.0","898800000.0","863900000.0","815300000.0","749700000.0","1190500000.0","1163800000.0","1073600000.0","1061300000.0","978900000.0","938600000.0"
"Tangible Asset Value","3620000000.0","4604000000.0","4333000000.0","4283000000.0","5426000000.0","4384000000.0","4465000000.0","4514000000.0","5004000000.0","2962300000.0","2897800000.0","2897300000.0","2950000000.0","2984200000.0","2896200000.0","2780300000.0","2858300000.0","3025400000.0","3151800000.0","3238900000.0","3475800000.0","3205300000.0","3341200000.0","3290000000.0","3289000000.0","3649900000.0","3335800000.0","2857600000.0","2869600000.0","2744500000.0","2637500000.0","2548900000.0","2622400000.0","2817200000.0","2745800000.0","2793500000.0","3128100000.0","2605200000.0","2610100000.0"
"Net Current Asset Value","-5089000000.0","-5317000000.0","-5848000000.0","-6299000000.0","-6328000000.0","-5667000000.0","-6010000000.0","-6048000000.0","-6542000000.0","-972000000.0","-1040800000.0","-1116000000.0","-1103000000.0","-1110300000.0","-1198500000.0","-1261100000.0","-1349100000.0","-1274800000.0","-1156000000.0","-1142600000.0","-1046300000.0","-1539000000.0","-1691800000.0","-1779800000.0","-1444000000.0","-900200000.0","-908500000.0","-979100000.0","-548900000.0","-598900000.0","-641600000.0","-672400000.0","-736600000.0","34800000.0","27100000.0","-208700000.0","-301000000.0","-333800000.0","-382300000.0"
"Invested Capital","5240000000.0","6783000000.0","6707000000.0","6629000000.0","7475000000.0","6863000000.0","6841000000.0","7404000000.0","7465000000.0","3030100000.0","3051500000.0","2995400000.0","2898000000.0","3117200000.0","3086500000.0","2977200000.0","2975000000.0","3049800000.0","3590400000.0","3634900000.0","3752600000.0","3639700000.0","3726500000.0","3711100000.0","3563700000.0","3528100000.0","3432700000.0","2550000000.0","2569900000.0","2503200000.0","2539200000.0","2538200000.0","2515200000.0","2214900000.0","2246000000.0","2240400000.0","2691400000.0","2176900000.0","2210200000.0"
"Average Receivables","648500000.0","884000000.0","848500000.0","1027000000.0","921000000.0","853350000.0","758500000.0","840850000.0","867000000.0","712700000.0","640750000.0","639900000.0","631400000.0","722350000.0","701000000.0","668800000.0","723500000.0","793700000.0","780300000.0","791100000.0","793350000.0","856150000.0","784850000.0","813150000.0","786250000.0","726750000.0","695550000.0","724150000.0","753400000.0","771450000.0","796900000.0","862100000.0","725350000.0","867600000.0","861350000.0","869800000.0","714200000.0","742150000.0","674850000.0"
"Average Payables","517000000.0","478500000.0","549000000.0","481500000.0","537500000.0","404300000.0","425050000.0","378950000.0","452500000.0","317550000.0","316800000.0","309000000.0","331750000.0","326950000.0","320250000.0","306600000.0","360250000.0","322650000.0","323550000.0","353600000.0","415900000.0","364750000.0","355400000.0","399900000.0","390100000.0","362050000.0","323550000.0","348100000.0","348700000.0","340600000.0","335350000.0","357650000.0","338650000.0","367800000.0","380300000.0","369400000.0","329650000.0","337500000.0","297450000.0"
"Average Inventory","854000000.0","943000000.0","1035500000.0","1034500000.0","941000000.0","813850000.0","859800000.0","877650000.0","817000000.0","654850000.0","669200000.0","652300000.0","643850000.0","660150000.0","656650000.0","651550000.0","643250000.0","694650000.0","662900000.0","668650000.0","669300000.0","718450000.0","676600000.0","680650000.0","668050000.0","670550000.0","662050000.0","652150000.0","611250000.0","653950000.0","686650000.0","655350000.0","541600000.0","655000000.0","657100000.0","644700000.0","516400000.0","586150000.0","557100000.0"
