"","42918.0","42827.0","42735.0","42645.0","42554.0","42463.0","42369.0","42281.0","42190.0","42099.0","42004.0","41910.0","41819.0","41728.0","41639.0","41546.0","41455.0","41364.0","41274.0","41182.0","41091.0","41000.0","40908.0","40818.0","40727.0","40636.0","40543.0","40454.0","40363.0","40272.0","40178.0","40090.0","39999.0","39908.0","39813.0","39719.0","39628.0","39537.0","39447.0"
"Book Value per Share","4.02","3.908","3.703","4.2","3.412","3.84","4.603","4.05","5.251","5.733","6.588","6.96","6.939","7.071","7.177","5.901","4.901","4.833","4.645","4.292","4.651","3.763","3.808","4.036","4.395","3.803","3.967","3.587","3.028","3.277","3.164","2.601","1.828","1.529","1.401","2.685","2.657","2.582","2.611"
"Tangible Book Value per Share","19.662","19.517","19.881","21.197","19.814","19.582","19.746","20.75","19.792","19.997","20.533","21.668","19.837","20.555","20.509","18.937","17.261","17.785","17.706","17.159","16.864","16.526","16.784","15.225","15.905","15.576","15.939","14.061","12.936","13.05","13.077","13.42","12.274","12.388","13.073","16.17","14.569","14.486","15.444"
"FCF per Share","0.236","0.95","2.169","0.06","0.17","1.062","2.309","0.107","0.631","0.891","1.446","0.597","-0.455","0.549","1.991","0.902","0.027","0.878","1.904","0.988","-0.077","0.805","1.105","-0.5","0.126","0.339","1.915","0.329","0.195","0.635","1.744","0.689","0.593","1.051","0.901","-0.594","0.082","1.012","1.706"
"Interest Debt per Share","13.9661","13.3634","14.0422","15.1268","14.3804","11.971","11.1651","12.6198","11.0197","11.1406","9.8602","11.0889","8.9487","8.7052","8.7748","8.4024","8.3622","8.3143","8.5432","8.6429","8.6752","8.7166","8.3874","7.1276","7.9692","7.9343","8.0333","6.627","6.6964","6.7877","6.7717","7.6081","7.7308","8.2359","8.8386","9.7963","8.529","8.7702","9.4092"
"Cash per Share","1.006","1.1065","1.3993","1.5636","1.1725","1.3207","1.5984","1.5676","1.3817","1.3843","1.6972","2.1507","2.5263","4.4312","5.0024","3.0911","2.5056","3.2063","3.2628","2.0395","2.5771","2.4812","3.0814","1.2719","3.4316","3.268","3.8891","1.0627","1.0814","1.3234","1.1137","0.5195","0.1259","0.3107","0.1634","0.5931","0.1987","0.6678","0.569"
"Debt to Equity Ratio","3.4746","3.4197","3.7923","3.6014","4.2151","3.1174","2.4254","3.1156","2.0985","1.9431","1.4967","1.5932","1.2897","1.2311","1.2226","1.4238","1.7061","1.7204","1.8393","2.0136","1.8653","2.3167","2.2024","1.766","1.8131","2.0864","2.0251","1.8475","2.2117","2.0714","2.1404","2.925","4.2283","5.3856","6.3088","3.6491","3.2097","3.3961","3.6031"
"Total Debt To Total Assets","0.5524","0.5313","0.5395","0.5517","0.5511","0.4885","0.4529","0.4917","0.443","0.4273","0.3873","0.4158","0.3844","0.3641","0.3662","0.3754","0.4039","0.3907","0.401","0.417","0.4253","0.4333","0.4284","0.3966","0.4256","0.4313","0.4277","0.393","0.4261","0.4213","0.4196","0.4629","0.5056","0.5362","0.5523","0.5055","0.4782","0.4937","0.503"
"Interest Coverage","12.6841","9.2203","9.4833","14.4431","11.9334","17.1737","15.307","6.2513","0.1452","20.519","16.5048","17.6285","13.3821","18.962","14.0972","17.0337","12.7485","16.5792","11.1452","12.2979","9.1304","13.9248","10.7445","13.9367","9.7792","11.2983","8.2432","13.4619","5.462","10.6671","9.8646","12.5381","5.1322","6.4","6.1452","8.8281","3.9861","5.02","4.5315"
"Current Ratio","1.097","1.095","0.951","1.056","0.677","0.759","0.833","0.988","0.995","0.969","1.161","1.155","1.793","1.762","1.767","1.884","1.844","1.461","1.437","1.375","1.447","1.52","1.744","1.535","1.63","1.514","1.544","1.311","1.615","1.566","1.521","1.32","1.177","1.094","1.059","1.056","1.061","1.051","0.881"
