"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","41272.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40537.0","40446.0","40355.0","40264.0","40173.0","40082.0","39991.0","39900.0","39809.0","39718.0","39627.0","39536.0","39445.0"
"Book Value per Share","14.57","14.153","13.984","13.332","12.977","12.955","12.939","12.028","12.123","11.585","11.714","11.49","11.895","11.668","11.714","11.133","10.816","10.346","10.311","9.862","9.713","9.354","9.05","8.879","9.203","8.685","8.903","8.555","8.24","7.759","7.55","7.049","6.979","7.01","7.107","6.945","7.082","7.026","7.322"
"Tangible Book Value per Share","21.048","19.562","18.947","18.763","17.344","16.388","18.258","17.591","15.808","15.733","16.061","15.508","15.353","15.35","15.422","14.987","14.069","13.646","13.775","11.729","11.337","11.275","10.96","10.583","9.491","9.1","10.41","10.064","9.565","9.282","8.811","8.412","8.066","7.989","8.364","8.709","8.506","8.549","8.859"
"FCF per Share","0.41","0.412","0.976","0.696","0.33","0.574","0.656","0.954","0.352","0.504","0.761","0.666","0.527","0.163","0.621","0.575","0.402","0.427","0.709","0.452","0.414","0.0","0.746","0.7","0.281","0.237","0.663","0.397","0.438","0.57","0.421","0.552","0.429","-0.203","0.149","0.341","0.294","0.226","0.593"
"Interest Debt per Share","6.7909","5.4523","5.3385","5.8335","6.0505","5.3725","4.8019","4.4635","2.7808","2.7912","2.8633","2.7186","2.6489","2.6554","2.7038","2.7117","2.6945","2.674","2.708","1.4323","1.4307","1.4903","1.4451","1.375","0.4082","0.392","0.3809","0.4183","0.4086","0.4308","0.4021","0.4017","0.2141","0.2155","0.2313","0.4205","0.3627","0.3765","0.3634"
"Cash per Share","2.4813","1.0447","1.174","1.0038","0.8215","0.6482","3.2425","1.4883","0.9359","0.8952","0.537","0.6441","0.6121","0.9604","1.141","0.9799","0.7589","1.1516","1.7072","0.7046","1.04","0.886","0.9984","1.3587","0.8755","0.7682","0.9903","0.9896","0.9912","0.9022","0.7218","0.7421","0.6838","0.6345","0.6021","0.6611","0.7157","1.0166","1.2512"
"Debt to Equity Ratio","0.4661","0.3852","0.3818","0.4376","0.4663","0.4147","0.3711","0.3711","0.2294","0.2409","0.2444","0.2366","0.2227","0.2276","0.2308","0.2436","0.2491","0.2584","0.2626","0.1452","0.1473","0.1593","0.1597","0.1549","0.0444","0.0451","0.0428","0.0489","0.0496","0.0555","0.0533","0.057","0.0307","0.0307","0.0325","0.0605","0.0512","0.0536","0.0496"
"Total Debt To Total Assets","0.2619","0.2227","0.2231","0.2461","0.2605","0.2405","0.2234","0.215","0.1462","0.1477","0.1486","0.1464","0.1437","0.1437","0.1456","0.1492","0.1566","0.1593","0.1594","0.0961","0.0993","0.1037","0.1031","0.1012","0.0327","0.0326","0.0335","0.0385","0.0394","0.0427","0.0418","0.0436","0.0244","0.0248","0.0255","0.0447","0.0395","0.0408","0.0381"
"Interest Coverage","-10.3449","106.9722","43.6923","33.7121","14.254","31.5854","308.3571","41.8942","230.4615","-101.8077","173.5556","183.0","231.7059","-22.8393","111.9688","123.625","73.7838","49.86","292.2727","-144.2222","-70.5273","-164.8261","159.1724","-325.1333","-186.1905","-22.627","-133.2903","-110.8684","-379.4545","-117.8276","-517.6","-78.125","2.6129","-5.6211","-15.7727","-20.626","-12.8503","-11.9226","-12.9957"
"Current Ratio","2.163","1.692","1.749","1.802","1.667","1.563","2.449","2.401","1.974","1.76","1.732","1.846","2.368","2.255","2.365","2.259","2.551","2.431","2.431","1.925","2.447","2.129","2.151","2.242","2.231","1.971","3.389","3.338","3.334","2.662","2.787","2.484","2.609","2.861","2.542","2.128","2.462","2.545","2.787"
"Income Quality","1.6763","1.3151","2.288","1.7046","2.891","1.9819","1.5021","1.8446","1.2712","2.2164","1.5763","1.7163","1.9503","1.814","2.3002","1.9427","2.361","2.0954","2.4417","1.7318","1.6763","1.0855","1.9732","1.8307","1.3443","1.2699","1.7453","1.2105","1.2075","1.6704","1.4921","2.1568","-8.5025","0.601","11.094","1.6321","1.7664","1.535","2.0845"
"Payout Ratio","0.45","0.413","0.347","0.366","0.929","0.605","0.312","0.369","0.421","0.571","0.303","0.338","0.411","0.59","0.434","0.39","0.575","0.561","0.469","0.39","0.375","0.382","0.318","0.313","0.321","0.31","0.281","0.302","0.308","0.364","0.333","0.412","-2.0","1.273","3.5","0.389","0.5","0.52","0.282"
"Intangible Assets out of Total Assets","0.1881","0.2011","0.2082","0.2085","0.2532","0.2663","0.1505","0.1527","0.1687","0.1672","0.1666","0.1648","0.1669","0.1695","0.1696","0.1756","0.1824","0.1873","0.189","0.2128","0.2131","0.2152","0.2182","0.2209","0.2397","0.2432","0.0853","0.074","0.0777","0.0798","0.0833","0.0867","0.0801","0.0811","0.0779","0.0744","0.0747","0.0734","0.0704"
"Selling, General and Administrative Expense of Revenue","0.1256","0.1422","0.1318","0.1271","0.1483","0.1625","0.142","0.132","0.1477","0.1528","0.1392","0.136","0.149","0.1604","0.145","0.1461","0.169","0.1548","0.1453","0.1482","0.1578","0.1529","0.1421","0.1417","0.1462","0.1382","0.1488","0.1357","0.1471","0.147","0.2572","0.1406","0.3359","0.1677","0.1533","0.1385","0.151","0.1395","0.1352"
"Research and Development Expense of Revenue","0.2218","0.2248","0.2003","0.1945","0.2324","0.2369","0.2091","0.2024","0.234","0.2343","0.2031","0.1953","0.2067","0.223","0.2043","0.2034","0.1964","0.2009","0.1951","0.1936","0.1861","0.186","0.1662","0.1504","0.1524","0.1491","0.1458","0.1509","0.1548","0.1519","0.1517","0.1523","0.1624","0.1843","0.16","0.144","0.155","0.1517","0.1383"
