"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","7.024","7.211","7.866","8.07","9.015","2.347","2.414","2.879","3.364","3.533","4.385","2.357","6.696","5.435","5.434","5.533","5.661","5.86","6.388","7.507","7.237","7.352","6.395","8.723","10.184","10.086","9.631","9.742","10.405","10.55","10.618","10.078","9.623","8.98","8.957","9.413","9.461","9.133","8.98"
"Tangible Book Value per Share","17.141","16.82","17.586","17.993","18.63","16.089","16.067","17.768","16.319","16.327","17.88","18.69","18.911","18.871","18.706","18.378","18.656","18.627","19.817","20.693","19.371","19.774","17.337","18.989","17.865","18.05","18.6","17.859","18.162","18.255","19.098","18.502","17.731","16.847","17.194","17.744","17.057","16.374","16.271"
"FCF per Share","0.433","0.185","0.181","0.514","0.175","0.002","0.637","0.372","0.522","-0.328","0.577","0.095","0.306","-0.179","0.471","0.384","0.251","0.056","0.314","0.177","0.501","0.122","0.737","0.629","0.38","0.336","0.573","0.622","0.465","0.263","0.563","0.507","0.292","0.283","0.366","0.301","0.183","-0.106","0.195"
"Interest Debt per Share","24.4203","24.0434","25.3929","24.5347","25.2267","23.7383","22.991","24.533","22.7298","22.4596","23.6404","22.7166","22.635","22.6376","21.7721","21.0385","20.6406","20.2389","21.2472","21.8088","20.3916","20.1592","17.2176","16.9746","14.5454","15.0113","14.8928","14.9552","15.5996","15.8225","16.0335","16.2716","15.9947","15.6404","16.113","16.9452","17.0162","16.4534","16.3365"
"Cash per Share","1.1014","1.1204","0.9606","1.7402","0.9619","0.5576","0.6091","2.337","0.5558","0.664","0.8183","1.1266","0.9315","1.062","0.8057","1.0748","1.5327","1.3859","1.5388","2.1649","1.2075","1.2457","1.1036","2.6378","1.5201","1.1233","1.4545","1.0896","1.8501","1.7709","2.2023","2.2108","1.5608","1.3453","1.383","1.5788","1.0117","0.5348","0.6282"
"Debt to Equity Ratio","3.4768","3.3342","3.228","3.0401","2.7984","10.1154","9.523","8.5215","6.7568","6.3563","5.3908","9.6375","3.3805","4.1653","4.0065","3.8021","3.646","3.454","3.3262","2.9051","2.8178","2.7418","2.6922","1.9459","1.4283","1.4883","1.5463","1.5352","1.4992","1.4997","1.5101","1.6146","1.6621","1.7417","1.799","1.8002","1.7985","1.8015","1.8192"
"Total Debt To Total Assets","0.6574","0.6559","0.6589","0.6521","0.6381","0.7818","0.763","0.7758","0.7457","0.7411","0.7077","0.6619","0.6465","0.6477","0.627","0.6309","0.6218","0.6112","0.6016","0.591","0.5738","0.5674","0.5551","0.5195","0.4575","0.4645","0.4688","0.4739","0.4764","0.478","0.4749","0.4931","0.5004","0.5061","0.5102","0.5146","0.5251","0.5224","0.5178"
"Interest Coverage","2.0742","1.7826","1.5586","1.3661","0.9582","2.1135","1.2405","1.4127","1.919","1.879","1.1867","1.8693","2.4286","2.1459","1.3092","1.4348","1.8304","1.9173","1.5243","2.3673","2.4948","2.3713","2.2658","2.1083","6.8212","2.8558","2.7024","-1.3911","2.7782","2.1852","3.0797","2.3755","2.8378","2.0874","1.8903","2.032","2.0165","1.8623","1.8449"
"Current Ratio","0.818","0.845","1.063","1.433","1.313","1.111","1.019","1.349","1.163","1.232","1.071","0.611","1.068","1.138","0.963","1.138","0.975","1.185","1.132","1.38","1.141","1.198","1.077","1.669","1.34","1.261","1.386","1.331","1.538","1.502","1.487","1.66","1.644","1.467","1.338","1.385","1.264","1.263","1.074"
"Income Quality","2.5161","2.0961","2.4787","30.4862","-8.9943","1.2922","38.8545","6.0734","3.2669","0.1341","13.4203","1609.8636","0.5152","1.3354","3.7225","31.3539","4.0695","5.4991","5.3424","1.6767","3.6081","1.3529","6.3788","4.4968","0.4896","1.6245","6.1402","-1.1506","3.3162","5.1305","3.1378","4.2977","1.3784","4.427","137.7262","14.2104","3.2634","2.166","5.5985"
"Payout Ratio","1.774","2.5","3.929","24.0","-5.333","1.6","24.0","4.273","1.808","2.35","18.25","0.19","1.227","1.125","9.0","1.929","2.455","33.308","0.871","1.174","0.758","1.087","1.25","0.2","0.5","1.188","-0.08","0.3","0.462","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","",""
"Intangible Assets out of Total Assets","0.5386","0.5411","0.5437","0.5217","0.5288","0.4701","0.4668","0.4381","0.4646","0.4613","0.4647","0.4554","0.4598","0.4601","0.4613","0.4489","0.438","0.4374","0.4389","0.4393","0.4549","0.4434","0.441","0.4188","0.4381","0.4414","0.4145","0.4341","0.4453","0.4485","0.4343","0.4393","0.4453","0.4549","0.4556","0.4611","0.4736","0.4801","0.4843"
