"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","13.841","12.978","12.119","13.545","13.87","14.414","14.372","13.93","14.478","13.218","17.443","19.787","20.843","20.322","21.862","23.463","22.742","22.745","22.788","22.059","21.324","20.992","20.731","20.229","20.909","20.792","19.278","17.734","17.331","17.382","17.584","16.457","15.848","14.748","14.992","17.563","18.215","17.572","17.191"
"Tangible Book Value per Share","28.666","27.478","26.153","26.925","26.122","26.055","26.768","27.434","27.652","25.773","28.135","31.553","32.508","31.621","29.472","28.652","26.041","25.752","24.859","24.129","23.466","22.936","21.84","22.479","22.739","20.87","19.578","19.779","18.453","18.803","18.961","17.01","16.756","17.343","17.424","20.365","19.77","19.277","18.094"
"FCF per Share","1.123","1.161","1.704","1.556","1.326","1.171","1.758","1.783","1.06","0.975","0.962","0.383","1.243","0.6","1.379","1.669","1.248","0.622","1.094","1.194","0.875","0.506","1.285","1.466","0.458","0.116","0.549","0.903","0.542","0.44","0.898","1.047","1.154","0.778","0.996","1.167","0.687","0.781","1.291"
"Interest Debt per Share","23.3565","22.7499","22.3045","21.7624","20.0897","19.3453","20.4186","21.3969","21.3353","20.0558","18.9776","19.1117","17.8157","18.0659","14.2935","11.5183","11.2811","11.0959","10.8922","10.7487","10.3743","9.8859","8.2576","9.383","8.1823","6.715","5.7837","6.7544","6.0212","6.2329","6.2457","5.87","6.0801","7.7546","7.2029","6.9418","5.6154","5.2735","4.2271"
"Cash per Share","7.2411","7.201","7.0426","6.5035","6.604","6.7624","8.5009","8.2197","7.8045","7.0951","10.2063","12.2335","13.0887","8.4072","8.1516","6.7683","6.1566","5.8933","5.9963","4.4191","3.5779","2.7054","2.4379","2.7121","2.4722","2.175","2.3922","3.2933","2.5141","2.8215","2.6328","1.8845","1.2343","2.2458","1.4535","1.6752","1.2276","1.7622","1.5213"
"Debt to Equity Ratio","1.6875","1.7529","1.8404","1.6067","1.4484","1.3421","1.4208","1.536","1.4736","1.5173","1.088","0.9659","0.8548","0.889","0.6538","0.4909","0.496","0.4878","0.478","0.4873","0.4865","0.4709","0.3983","0.4638","0.3913","0.323","0.3","0.3809","0.3474","0.3586","0.3552","0.3567","0.3837","0.5258","0.4804","0.3953","0.3083","0.3001","0.2459"
"Total Debt To Total Assets","0.5057","0.5072","0.515","0.4897","0.4706","0.4537","0.4719","0.4851","0.4779","0.4739","0.4248","0.3957","0.3617","0.3779","0.3177","0.26","0.2642","0.261","0.2614","0.2626","0.2593","0.2515","0.2219","0.2485","0.2199","0.1898","0.1748","0.2075","0.1934","0.1974","0.1945","0.1973","0.206","0.2623","0.2422","0.2112","0.1765","0.1736","0.1481"
"Interest Coverage","13.6","12.7031","12.5238","14.1552","13.9483","12.5172","11.931","13.2881","13.6545","13.2963","12.963","12.0","27.625","11.2656","10.5667","12.2333","11.678","9.6333","24.5082","14.3654","22.88","14.48","10.0189","15.4286","16.4667","15.5","11.2268","14.7082","14.789","12.3088","11.9313","10.8208","7.1234","1.7685","8.7895","17.6959","21.3414","13.1577","27.0751"
"Current Ratio","2.325","2.237","2.218","1.774","2.184","2.298","2.838","2.558","2.561","1.781","2.231","2.362","2.496","1.871","1.627","2.431","2.213","2.894","3.003","2.613","1.918","1.956","2.301","2.017","1.86","2.03","1.975","1.967","2.077","2.039","2.001","2.143","2.096","1.758","1.193","1.392","1.569","1.639","2.083"
"Income Quality","0.7905","0.8638","1.3097","1.1664","1.019","1.0235","1.5622","1.3816","0.9333","0.9651","1.0178","0.5104","0.384","0.6638","1.7353","1.7942","1.3828","1.0339","0.618","1.2118","0.5778","0.6646","1.6109","1.5523","0.6253","0.2327","1.06","1.2415","0.8102","0.8233","0.9891","1.8821","3.5346","-11.3527","2.5214","1.5187","0.8523","1.6268","1.6855"
"Payout Ratio","0.382","0.419","0.448","0.43","0.374","0.426","0.444","0.393","0.366","0.393","0.403","0.356","0.114","0.375","0.452","0.416","0.365","0.487","0.18","0.336","0.194","0.356","0.396","0.346","0.34","0.272","0.5","0.405","0.378","0.47","0.292","0.517","0.886","-3.875","0.66","0.352","0.277","0.483","0.322"
"Intangible Assets out of Total Assets","0.3794","0.3874","0.3961","0.3941","0.3881","0.389","0.3814","0.378","0.3806","0.391","0.3702","0.3466","0.3401","0.3386","0.3448","0.3531","0.3902","0.3944","0.4033","0.4105","0.4135","0.4164","0.4132","0.4047","0.389","0.4101","0.4084","0.3925","0.4074","0.4046","0.4094","0.4282","0.4324","0.4134","0.4142","0.3803","0.3785","0.3653","0.3661"
"Selling, General and Administrative Expense of Revenue","0.1628","0.1743","0.1756","0.1728","0.1798","0.1823","0.1826","0.1732","0.1811","0.1843","0.1838","0.1828","0.182","0.1911","0.1939","0.1895","0.2079","0.2056","0.2069","0.191","0.1835","0.1909","0.3521","0.1825","0.1831","0.1863","0.1974","0.1829","0.1873","0.2017","0.201","0.2011","0.2234","0.2421","0.2103","0.1806","0.1789","0.1927","0.1735"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3744000000.0","3555000000.0","3363000000.0","2699000000.0","3343000000.0","3525000000.0","4352000000.0","4245000000.0","4287000000.0","2923000000.0","4339000000.0","5278000000.0","5868000000.0","4668000000.0","3782000000.0","5641000000.0","4502000000.0","5308000000.0","5309000000.0","4722000000.0","3615000000.0","3612000000.0","3872000000.0","3698521000.0","3494924000.0","3346867000.0","2947636000.0","3113499000.0","2989910000.0","2951774000.0","2838957000.0","2818460000.0","2683802000.0","2450694000.0","928886000.0","1964721000.0","2375033000.0","2505517000.0","3205370000.0"
