"","42916.0","42825.0","42735.0","42643.0","42551.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0",""
"Book Value per Share","21.033","20.654","20.9","25.747","14.805","16.271","16.101","16.246","16.982","17.789","17.599","16.83","17.999","17.793","17.373","17.451","16.998","17.048","17.04","16.369","16.244","16.746","16.204","15.468","14.957","13.966","13.959","13.884","15.346","13.844","13.295","13.991","15.871","16.845","16.159","15.274",""
"Tangible Book Value per Share","25.946","24.796","22.126","36.953","35.81","35.873","34.405","34.519","36.089","35.755","35.298","33.634","34.977","34.497","34.669","34.016","33.667","33.961","33.753","32.022","31.946","32.359","31.046","27.758","27.478","25.53","24.895","24.683","28.214","25.748","24.663","25.506","29.818","30.398","29.346","28.253",""
"FCF per Share","-0.151","0.125","-2.422","-0.293","0.622","0.105","-0.612","1.392","0.681","0.754","-0.883","1.099","1.133","-0.069","-0.082","0.646","0.262","-0.297","-0.929","0.265","0.019","-0.343","-0.231","-0.368","0.33","0.125","0.969","0.618","0.666","0.04","-0.98","1.101","0.627","0.237","0.01","",""
"Interest Debt per Share","15.2125","14.3563","14.1451","13.621","12.3355","11.5068","11.5382","11.3121","10.0289","11.2729","9.4138","9.7349","8.0361","8.7942","9.7469","9.4297","8.8725","9.7898","9.2924","8.7936","7.5706","7.6292","6.7041","5.2404","5.0333","5.0022","5.0303","5.132","6.6604","8.0402","8.0627","7.7637","6.6423","6.958","7.2722","7.2817",""
"Cash per Share","0.4882","0.4389","0.4025","0.6181","0.7203","0.3253","0.2495","0.2522","0.614","0.2409","0.3147","0.3576","1.542","0.5708","0.7029","0.4592","0.3875","0.885","0.3527","0.3542","0.3781","0.4938","0.592","0.476","0.8317","1.3498","1.1463","1.1787","1.278","0.9137","0.5234","0.34","0.6467","0.4314","0.3924","0.6854",""
"Debt to Equity Ratio","0.7233","0.6951","0.6768","0.529","0.8332","0.6396","0.7072","0.7166","0.6963","0.5906","0.6337","0.5349","0.5784","0.4465","0.4943","0.561","0.5404","0.522","0.5742","0.5453","0.5372","0.466","0.4556","0.4137","0.3388","0.3365","0.3582","0.3603","0.3696","0.434","0.5808","0.6065","0.5549","0.4185","0.4131","0.45","0.4767"
"Total Debt To Total Assets","0.2816","0.2717","0.2716","0.202","0.2509","0.2231","0.2363","0.245","0.2384","0.2036","0.2264","0.2002","0.2163","0.1744","0.1893","0.2088","0.206","0.196","0.2148","0.2041","0.2016","0.1734","0.1733","0.1584","0.136","0.1316","0.1397","0.1419","0.1447","0.1646","0.2127","0.2205","0.2068","0.1578","0.1636","0.1754","0.1817"
"Interest Coverage","6.1935","4.1034","3.2206","8.0923","-5.8873","9.0758","6.24","10.5797","9.8028","6.4242","5.9254","7.4643","11.5455","11.2222","8.1343","6.7273","8.5082","-1.9167","9.5085","8.6349","11.9592","7.26","11.3721","10.6522","14.4286","6.0755","12.5128","9.3953","11.1429","4.0972","4.2769","-7.1739","-5.5357","2.3148","9.1159","6.6061","5.3333"
"Current Ratio","1.213","1.232","0.957","1.048","0.919","1.002","1.033","0.984","1.049","1.121","1.107","1.075","1.078","1.13","1.081","1.067","1.198","1.174","1.162","1.171","1.172","1.114","1.126","1.2","1.095","1.075","1.12","1.124","1.154","1.127","1.1","1.1","1.021","1.088","1.139","1.115","1.106"
"Income Quality","0.3874","-2.4595","-5.7751","0.1958","-1.1962","-0.0289","3.7247","0.6805","-0.3156","3.9871","4.0568","2.7969","-0.5991","10.8286","1.88","1.3232","0.8301","-15.88","1.4362","0.6412","-0.2288","1.7842","1.0084","0.1017","0.248","-0.0377","1.0215","0.7774","2.3086","1.5533","3.0307","-0.943","0.5214","56.25","1.2574","1.0311","0.7574"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.963","0.321","0.338","0.478","0.846","0.564","0.314","1.267","0.237","0.792","0.358","-2.571","0.286","0.321","0.29","0.327","0.302","0.308","0.286","0.333","0.21","0.317","0.25","0.26","0.481","-0.394","-0.127","4.333","0.176","0.265","0.325"
"Intangible Assets out of Total Assets","0.5198","0.5308","0.5752","0.4521","0.2717","0.2815","0.2633","0.2696","0.2724","0.2672","0.282","0.2492","0.2526","0.2408","0.2574","0.2574","0.257","0.2562","0.2549","0.2585","0.266","0.2683","0.265","0.2665","0.2798","0.2813","0.287","0.2976","0.3042","0.3026","0.3189","0.3254","0.3205","0.2914","0.2854","0.2922","0.2952"
"Selling, General and Administrative Expense of Revenue","0.2094","0.2375","0.2216","0.1737","0.1899","0.1804","0.1015","0.106","0.1044","0.1321","0.0959","0.1006","0.0982","0.0937","0.0931","0.1033","0.1009","0.1386","0.092","0.0994","0.0994","0.124","0.1056","0.1","0.0993","0.1295","0.1048","0.1018","0.105","0.0967","0.1128","0.1272","0.1171","0.0913","0.0889","0.0944","0.1002"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","2447000000.0","2487000000.0","-493000000.0","778000000.0","-1039000000.0","23000000.0","393000000.0","-188000000.0","549000000.0","1413000000.0","1304000000.0","907000000.0","923000000.0","1581000000.0","955000000.0","816000000.0","2135000000.0","1888000000.0","1755000000.0","1807000000.0","1734000000.0","1233000000.0","1404000000.0","2034000000.0","926000000.0","742000000.0","1086000000.0","1089000000.0","1289000000.0","1110000000.0","796000000.0","765000000.0","176000000.0","866000000.0","1357000000.0","1096000000.0","977000000.0"
"Tangible Asset Value","24340000000.0","23276000000.0","20726000000.0","34615000000.0","23218000000.0","21282000000.0","23491000000.0","22614000000.0","22996000000.0","24038000000.0","23747000000.0","23439000000.0","23045000000.0","23930000000.0","23630000000.0","23725000000.0","23260000000.0","23025000000.0","23100000000.0","22967000000.0","21787000000.0","21715000000.0","21954000000.0","21029000000.0","18719000000.0","18501000000.0","17174000000.0","16723000000.0","16564000000.0","16800000000.0","15301000000.0","14655000000.0","15155000000.0","17705000000.0","18039000000.0","17425000000.0","16777000000.0"
"Net Current Asset Value","-16109000000.0","-16177000000.0","-17426000000.0","-20980000000.0","-9509000000.0","-8655000000.0","-8587000000.0","-8457000000.0","-8658000000.0","-8135000000.0","-7532000000.0","-6199000000.0","-6314000000.0","-5246000000.0","-6650000000.0","-6908000000.0","-6316000000.0","-6438000000.0","-6693000000.0","-6866000000.0","-6568000000.0","-6481000000.0","-5832000000.0","-5356000000.0","-4730000000.0","-4914000000.0","-4486000000.0","-4432000000.0","-4728000000.0","-5078000000.0","-5466000000.0","-5173000000.0","-5045000000.0","-4887000000.0","-4154000000.0","-4415000000.0","-4504000000.0"
