"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.173","14.014","14.259","15.27","13.599","13.375","12.977","12.875","12.615","12.495","12.263","12.09","12.0","11.758","11.572","11.316","11.195","11.235","11.096","10.949","10.75","10.638","10.439","10.436","10.257","10.687","12.698","12.733","12.37","12.17","15.295","13.061","18.81","20.227","21.274","17.613","20.896","21.527","19.917"
"Tangible Book Value per Share","123.513","123.232","125.022","135.324","120.255","117.582","113.519","113.402","111.339","109.66","107.914","102.158","103.634","101.394","103.138","99.337","97.962","95.685","95.163","91.633","90.606","91.115","92.588","93.103","92.707","101.487","103.831","106.454","106.564","107.893","132.424","114.32","167.748","196.438","209.7","202.757","239.542","249.872","249.038"
"FCF per Share","-0.191","-0.381","0.714","0.089","0.395","0.441","1.023","0.202","1.366","-1.302","0.944","0.206","0.101","0.165","0.718","-0.092","0.735","0.247","0.635","0.25","1.515","-1.177","-0.169","0.415","1.053","0.433","0.803","0.421","0.774","0.941","1.083","0.654","1.565","-0.203","-2.091","1.146","-1.207","0.541","1.239"
"Interest Debt per Share","14.8346","12.8288","13.7482","14.2891","14.9477","14.2002","13.3907","13.7017","13.3861","11.5911","10.3334","10.1747","11.3641","10.8429","10.7004","8.9533","9.4239","10.9886","9.4455","8.8152","10.1615","11.6586","12.1917","13.665","13.9051","15.8352","15.7486","17.0636","16.1273","15.4966","19.5652","17.8591","28.9521","38.2052","50.8081","46.3131","55.6346","58.3883","55.913"
"Cash per Share","0.5584","0.5138","0.6334","0.7627","0.5962","0.5729","0.733","0.5653","0.8255","0.5963","0.7605","0.7506","0.6901","0.4623","0.693","0.8294","0.7617","0.6748","0.6309","1.0393","0.758","0.4371","0.7314","0.8728","0.9002","0.6123","0.3175","0.9412","0.6757","0.7079","0.6756","0.8632","1.2238","1.2662","2.5273","3.9232","4.5892","4.3345","4.6643"
"Debt to Equity Ratio","1.0467","0.9154","0.9642","0.9358","1.0992","1.0617","1.0319","1.0642","1.0611","0.9277","0.8426","0.8416","0.947","0.9221","0.9247","0.7912","0.8418","0.978","0.8512","0.8051","0.9452","1.096","1.1679","1.3094","1.3557","1.4817","1.2403","1.3401","1.3037","1.2734","1.2792","1.3674","1.5392","1.8888","2.3883","2.6295","2.6624","2.7123","2.8073"
"Total Debt To Total Assets","0.1175","0.1019","0.1077","0.1033","0.1229","0.1194","0.1166","0.1194","0.1188","0.1044","0.0946","0.0983","0.1084","0.1056","0.1025","0.089","0.095","0.1134","0.098","0.0949","0.1109","0.1266","0.1303","0.1452","0.1484","0.1544","0.1501","0.1587","0.1498","0.1422","0.1462","0.1547","0.1708","0.1924","0.2394","0.2246","0.2283","0.2296","0.2214"
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","-0.4623","-1.3682","3.9665","0.8193","1.7908","2.0383","4.0091","0.892","4.9828","-4.8546","3.4476","1.1222","0.5","0.661","3.0313","-0.2143","3.5051","1.1608","3.3046","1.285","6.3377","-5.6237","-0.4227","1.9858","4.453","2.3815","2.7061","2.3371","24.4828","-8.7813","-3.2189","-1.3539","-2.4154","0.1269","1.7004","-12.1458","0.4112","1.2018","22.2"
"Payout Ratio","0.27","0.321","0.474","0.529","0.391","0.318","0.269","0.269","0.25","0.259","0.241","0.333","0.292","0.222","0.24","0.207","0.273","0.227","0.238","0.217","0.208","0.15","0.15","0.136","0.12","0.05","0.031","0.05","0.333","-0.091","-0.05","-0.019","-0.015","-0.055","-0.051","-1.9","-0.141","0.691","5.143"
