"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42364.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","41363.0","40999.0","40635.0",""
"Book Value per Share","10.233","9.957","11.352","10.081","10.075","11.265","10.844","9.976","10.606","11.214","10.616","10.981","9.96","8.88","7.993","6.844","5.967","5.235","2.883","0.892",""
"Tangible Book Value per Share","12.163","11.703","13.47","13.031","12.082","13.977","13.419","12.308","12.559","13.056","12.597","12.824","11.768","10.595","9.602","8.182","7.238","6.271","4.084","2.63",""
"FCF per Share","1.162","0.774","3.025","-0.179","1.587","1.065","2.585","0.137","0.882","0.377","1.899","-0.527","0.732","0.617","1.058","-0.205","0.742","0.341","0.519","0.152","0.214"
"Interest Debt per Share","1.0085","0.8322","0.9059","2.306","1.4274","0.013","0.0218","0.0505","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1433","0.814",""
"Cash per Share","1.7717","1.4236","2.2605","1.1182","1.9356","3.9625","3.825","2.285","4.1047","4.8984","4.6867","4.9514","5.5217","4.7751","4.077","3.0551","3.1766","2.3619","0.672","0.1499",""
"Debt to Equity Ratio","0.0986","0.0836","0.0798","0.2287","0.1417","0.0012","0.002","0.0051","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0497","0.913",""
"Total Debt To Total Assets","0.0646","0.0552","0.0533","0.1395","0.0924","0.0009","0.0016","0.0039","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0336","0.2864",""
"Interest Coverage","137.4545","42.3","101.5","145.8571","622.3333","411.3333","682.6667","679.75","2471.0","4881.9623","3595.9138","4224.5694","-6730.7561","-27346.3333","3148.9633","1703.4","1160.6118","694.0717","653.865","285.0505","258.2023"
"Current Ratio","2.04","2.059","2.036","1.581","1.79","3.834","3.928","4.195","5.351","6.098","5.489","6.547","6.09","5.763","5.814","6.168","5.614","6.023","2.812","1.921",""
"Income Quality","1.5482","-5.2575","1.9982","0.1398","2.1978","1.5124","1.9274","0.5862","1.6038","0.8154","1.6799","-0.1137","1.1847","1.1372","1.1686","-0.008","1.4612","1.1342","1.042","0.5632","0.8534"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2213","0.2232","0.2069","0.2116","0.218","0.0353","0.0353","0.0394","0.0324","0.0281","0.0295","0.025","0.0262","0.028","0.028","0.0295","0.0271","0.0271","0.0417","0.0746",""
"Selling, General and Administrative Expense of Revenue","0.3966","0.3862","0.3013","0.3489","0.3583","0.3268","0.2702","0.3056","0.3178","0.3109","0.2618","0.289","0.2892","0.3033","0.2515","0.2842","0.2867","0.3098","0.2589","0.2734","0.3037"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","604000000.0","598900000.0","695900000.0","483800000.0","554200000.0","1234300000.0","1238601000.0","1237094000.0","1474851000.0","1663400000.0","1621997000.0","1807508000.0","1642113000.0","1468799000.0","1324976000.0","1127743000.0","965072000.0","824941000.0","299057000.0","117673000.0",""
"Tangible Asset Value","1879000000.0","1871800000.0","2197600000.0","2172200000.0","2104200000.0","2476200000.0","2444639000.0","2324500000.0","2473764000.0","2609100000.0","2552939000.0","2622147000.0","2397752000.0","2154934000.0","1950860000.0","1657453000.0","1456299000.0","1254580000.0","646274000.0","369694000.0",""
"Net Current Asset Value","353300000.0","350100000.0","451200000.0","244100000.0","323100000.0","1102500000.0","1107377000.0","1093011000.0","1346372000.0","1546100000.0","1504216000.0","1689072000.0","1531737000.0","1366327000.0","1217216000.0","1024464000.0","877883000.0","746870000.0","245875000.0","-22071000.0",""
"Invested Capital","1180100000.0","1211400000.0","1304800000.0","1537900000.0","1313800000.0","1341000000.0","1328723000.0","1515357000.0","1326224000.0","1303900000.0","1241771000.0","1283889000.0","950086000.0","875370000.0","847266000.0","820414000.0","608003000.0","617821000.0","397588000.0","335319000.0",""
"Average Receivables","187050000.0","286850000.0","277016000.0","316067500.0","227651000.0","335650000.0","332851000.0","345478500.0","240804000.0","330703000.0","328441000.0","287836000.0","199748500.0","252230000.0","210019000.0","154465500.0","","","","",""
"Average Payables","160400000.0","153850000.0","202370000.0","189426000.0","169761500.0","122750000.0","182968500.0","189115500.0","156231500.0","128831500.0","160280000.0","149249500.0","122493500.0","113270000.0","106344500.0","86146500.0","","","","",""
"Average Inventory","611500000.0","548050000.0","587247500.0","704715500.0","606675000.0","533350000.0","562898000.0","666513500.0","566852000.0","473419000.0","484532500.0","511745000.0","423356500.0","346916000.0","309488500.0","260683500.0","","","","",""
