"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","39.75","39.148","38.281","37.836","37.325","36.475","36.074","35.323","35.239","34.716","34.07","33.092","32.091","31.185","30.635","29.793","28.904","28.957","28.203","27.498","26.779","25.868","25.229","24.371","23.466","23.937","23.787","23.412","23.393","21.712","21.461","21.334","21.425","21.009","21.276","21.223","22.946","23.154","22.733"
"Tangible Book Value per Share","85.971","83.669","82.53","82.043","80.555","76.959","76.869","75.872","72.981","71.985","72.362","70.946","69.451","66.866","67.58","62.553","61.199","58.9","58.253","58.541","57.351","57.051","56.081","55.39","53.238","54.669","55.192","55.143","55.512","57.869","57.297","44.991","45.818","46.844","60.542","46.974","50.433","50.913","48.892"
"FCF per Share","1.336","-0.243","0.662","0.906","1.13","0.319","0.661","0.268","0.402","-0.619","-0.423","1.313","-0.736","-0.739","-0.381","1.201","-0.965","0.144","-0.556","0.978","0.537","0.39","-0.319","0.784","0.718","0.224","0.504","0.616","0.424","0.631","0.362","0.59","-1.092","-0.357","-0.39","0.627","-1.877","0.374","-1.384"
"Interest Debt per Share","24.5428","24.088","23.1954","23.7017","23.7403","21.9199","22.1281","21.3762","19.4464","19.0528","20.8784","19.8118","19.9546","18.6872","19.8948","16.185","16.4957","14.4995","14.6435","14.6602","14.7955","14.8866","14.9586","15.6371","14.9212","15.6787","16.0432","15.9989","17.0158","20.5579","20.7996","21.347","22.1271","22.7235","23.2197","21.6029","23.8647","23.8574","23.1231"
"Cash per Share","1.5767","1.1601","1.5968","2.7234","2.7256","0.3628","1.2589","1.063","0.4613","0.3481","3.1571","2.5939","1.7266","1.5215","3.9037","0.8718","0.2728","0.5796","0.6612","1.704","0.9618","0.9286","0.6607","1.9824","1.4256","0.9734","0.8356","0.674","0.8438","1.315","1.2343","1.1502","0.6775","1.5616","2.5589","1.0916","0.3709","0.9508","0.7309"
"Debt to Equity Ratio","0.6174","0.6153","0.6059","0.6264","0.636","0.601","0.6134","0.6052","0.5518","0.5488","0.6128","0.5987","0.6218","0.5992","0.6494","0.5433","0.5707","0.5007","0.5192","0.5331","0.5525","0.5755","0.5929","0.6416","0.6359","0.655","0.6745","0.6834","0.7274","0.9468","0.9692","1.0006","1.0328","1.0816","1.0913","1.0179","1.04","1.0304","1.0171"
"Total Debt To Total Assets","0.2855","0.2879","0.2811","0.2889","0.2947","0.2848","0.2879","0.2817","0.2665","0.2647","0.2885","0.2793","0.2873","0.2795","0.2944","0.2587","0.2695","0.2462","0.2514","0.2504","0.258","0.2609","0.2667","0.2823","0.2803","0.2868","0.2907","0.2901","0.3065","0.3552","0.363","0.3739","0.3791","0.3805","0.3835","0.3568","0.363","0.3579","0.3563"
"Interest Coverage","10.24","10.6194","7.7347","7.2659","8.1066","7.9746","8.8481","8.8356","10.1525","9.129","10.2623","12.3575","11.9441","8.631","10.2938","10.929","2.5417","7.6709","7.2857","7.805","7.8577","5.6765","4.0701","5.4565","4.5093","4.0151","3.3961","3.4199","2.3604","2.3401","2.1634","2.0437","1.1784","0.9378","1.9309","3.1606","3.9531","2.3519","3.1146"
"Current Ratio","0.866","0.894","0.87","1.022","1.063","0.663","0.709","1.249","0.747","0.783","0.799","1.025","0.971","1.204","1.29","1.358","1.344","1.045","1.23","1.398","1.409","1.532","1.469","1.656","1.63","1.555","1.368","1.507","1.334","1.483","1.494","1.147","1.381","1.222","0.627","0.701","0.669","0.679","0.588"
