"","42945.0","42854.0","42763.0","42672.0","42581.0","42490.0","42399.0","42308.0","42217.0","42126.0","42035.0","41944.0","41853.0","41762.0","41671.0","41580.0","41489.0","41398.0","41307.0","41209.0","41118.0","41027.0","40936.0","40845.0","40754.0","40663.0","40572.0","40481.0","40390.0","40299.0","40208.0","40117.0","40026.0","39935.0","39844.0","39753.0","39662.0","39571.0","39480.0","39389.0"
"Book Value per Share","-3.186","-2.933","-2.549","-4.161","-3.93","-3.786","-0.895","-2.266","-2.219","-2.076","0.062","-1.485","-1.726","-2.093","-1.275","-2.828","-2.975","-3.449","-3.52","-1.792","-0.842","-0.453","0.462","1.743","2.032","3.528","4.576","6.329","6.375","6.115","6.773","5.794","5.834","5.729","5.818","5.748","6.461","6.305","6.284","5.733"
"Tangible Book Value per Share","20.931","21.481","22.42","20.645","20.111","19.74","23.37","21.227","17.156","16.563","19.636","18.539","17.61","16.955","18.84","16.926","15.004","14.039","14.873","16.015","16.368","16.555","14.453","15.0","14.452","15.514","13.666","15.013","14.388","14.055","15.939","15.229","16.0","14.533","15.416","14.284","14.453","13.837","14.235","13.472"
"FCF per Share","0.024","-0.554","4.927","-1.514","0.838","-0.801","5.124","-1.233","1.045","-0.985","4.394","-1.067","1.151","-0.821","4.086","-2.07","0.829","-0.933","4.088","-1.016","0.67","-1.102","3.658","-1.022","0.507","-0.297","3.491","-0.589","0.547","-0.322","3.109","-0.55","0.983","-0.526","2.726","-1.113","0.664","-0.736","3.007","-1.684"
"Interest Debt per Share","20.1085","20.158","20.059","20.016","19.892","19.9457","19.7661","19.6881","16.1664","16.1392","16.1335","17.007","17.0307","17.086","17.142","17.1705","15.4639","15.5278","15.5251","15.7786","15.5847","15.6774","11.9386","11.8529","11.4573","10.9876","7.7724","7.8041","7.7862","7.804","8.4489","8.9527","10.1099","9.025","8.9934","8.5271","8.5239","8.5234","8.2261","8.0262"
"Cash per Share","4.7413","5.4552","6.7633","2.2869","4.4278","4.4134","8.8034","4.5148","2.6716","2.2196","5.7434","2.5483","3.9288","3.134","5.2328","1.4659","1.904","1.3255","2.6806","1.9032","4.098","4.4437","3.1551","1.6693","3.365","4.874","3.5033","3.0609","3.9976","3.6746","5.5974","3.0091","4.8202","2.9159","3.6415","1.1097","2.8736","2.2269","2.8827","0.6017"
"Debt to Equity Ratio","-6.3107","-6.8732","-7.8683","-4.8101","-5.0611","-5.2677","-22.0888","-8.6884","-7.284","-7.7743","262.3333","-11.4562","-9.8651","-8.1642","-13.4486","-6.0707","-5.1974","-4.502","-4.4108","-8.8058","-18.5184","-34.6336","25.8248","6.8","5.6384","3.1145","1.6985","1.233","1.2214","1.2762","1.2474","1.5451","1.7329","1.5753","1.5459","1.4834","1.3192","1.3518","1.3091","1.4001"
"Total Debt To Total Assets","0.743","0.729","0.7021","0.747","0.7584","0.7711","0.6736","0.7243","0.7005","0.718","0.6316","0.6955","0.7237","0.7462","0.6913","0.7502","0.737","0.7748","0.7438","0.7056","0.6886","0.6858","0.5792","0.5426","0.5422","0.5004","0.3886","0.3655","0.3767","0.3827","0.3796","0.4153","0.4525","0.4337","0.4155","0.4091","0.4009","0.413","0.3906","0.3964"
"Interest Coverage","3.1485","2.1683","10.0202","2.9588","4.7624","3.4021","11.1237","4.2911","5.141","5.6125","12.2821","3.5625","4.6098","4.0357","10.5976","2.8684","4.6623","3.9747","9.6707","2.6623","3.8987","3.7308","10.2063","2.9063","5.3125","5.5273","15.9792","3.1042","5.7843","4.0656","9.7869","1.2143","2.7069","1.0484","3.4444","1.0682","4.4894","4.9111","13.8478","1.4894"
"Current Ratio","1.682","1.721","1.72","1.438","1.627","1.864","2.217","2.042","1.569","1.643","1.905","1.584","1.708","1.706","1.725","1.488","1.413","1.499","1.434","1.644","1.94","2.183","1.552","1.739","1.969","2.278","1.723","2.173","2.377","2.367","2.458","2.356","2.853","2.575","2.284","2.029","2.266","2.372","2.124","1.926"
"Income Quality","1.5396","0.0745","2.4905","-0.8607","2.1865","-0.2829","2.5267","-0.689","2.6287","-0.624","2.5062","-0.5758","2.8457","-0.5669","2.6102","-4.1848","2.6629","-0.8392","3.1046","-1.7568","2.7133","-1.464","3.2646","-1.3723","1.0433","-0.1091","2.6556","-1.6885","1.3708","-0.531","2.9326","-7.6","4.8919","-39.3333","59.4375","-61.0","3.5196","-1.1429","3.054","-32.25"
"Payout Ratio","1.25","1.818","0.271","1.395","0.682","4.906","0.229","0.893","0.725","0.581","0.175","0.756","0.523","2.481","0.355","0.938","0.484","0.612","2.289","4.808","0.5","0.581","1.833","0.625","1.579","0.385","2.25","0.789","0.273","3.286","0.136","3.0","0.652","15.0","2.5","15.0","0.5","0.517","0.143","5.0"
"Intangible Assets out of Total Assets","0.2266","0.2232","0.2153","0.2295","0.2333","0.2369","0.2036","0.2191","0.2566","0.2631","0.2313","0.2419","0.2517","0.2595","0.2402","0.2605","0.2849","0.2995","0.2874","0.2838","0.2768","0.2758","0.2988","0.3133","0.3162","0.2935","0.3167","0.2968","0.3039","0.3107","0.2838","0.2936","0.2839","0.3016","0.2877","0.3146","0.3202","0.3295","0.3241","0.3347"
"Selling, General and Administrative Expense of Revenue","0.2639","0.2848","0.213","0.2871","0.2439","0.2754","0.2105","0.2788","0.2571","0.2723","0.2158","0.2859","0.2497","0.2702","0.204","0.2976","0.2508","0.2778","0.2168","0.3112","0.2655","0.2827","0.2176","0.2755","0.288","0.2819","0.2098","0.2849","0.2417","0.2635","0.2155","0.2836","0.2511","0.28","0.2193","0.2925","0.2518","0.281","0.2021","0.2839"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1199000000.0","1321000000.0","1451000000.0","879000000.0","1141000000.0","1386000000.0","2281000000.0","1801000000.0","893000000.0","894000000.0","1520000000.0","1050000000.0","1119000000.0","1070000000.0","1324000000.0","846000000.0","613000000.0","634000000.0","667000000.0","973000000.0","1316000000.0","1526000000.0","842000000.0","1112000000.0","1305000000.0","1775000000.0","1088000000.0","1609000000.0","1625000000.0","1552000000.0","1928000000.0","1677000000.0","2035000000.0","1600000000.0","1612000000.0","1389000000.0","1576000000.0","1504000000.0","1545000000.0","1342000000.0"
"Tangible Asset Value","6004000000.0","6123000000.0","6411000000.0","5904000000.0","5782000000.0","5667000000.0","6764000000.0","6164000000.0","5009000000.0","4843000000.0","5747000000.0","5420000000.0","5141000000.0","4934000000.0","5469000000.0","4907000000.0","4342000000.0","4046000000.0","4289000000.0","4603000000.0","4765000000.0","4791000000.0","4283000000.0","4475000000.0","4445000000.0","4956000000.0","4408000000.0","4846000000.0","4679000000.0","4544000000.0","5137000000.0","4899000000.0","5145000000.0","4665000000.0","4966000000.0","4853000000.0","4919000000.0","4716000000.0","5027000000.0","4881000000.0"
"Net Current Asset Value","-5718000000.0","-5565000000.0","-5432000000.0","-5965000000.0","-5710000000.0","-5521000000.0","-4595000000.0","-5021000000.0","-4922000000.0","-4893000000.0","-4258000000.0","-4733000000.0","-4674000000.0","-4687000000.0","-4417000000.0","-4876000000.0","-4835000000.0","-4866000000.0","-4828000000.0","-4457000000.0","-4118000000.0","-3931000000.0","-3602000000.0","-3380000000.0","-3223000000.0","-2724000000.0","-2382000000.0","-1866000000.0","-1844000000.0","-1928000000.0","-1739000000.0","-2156000000.0","-2176000000.0","-2225000000.0","-2230000000.0","-2388000000.0","-2216000000.0","-2285000000.0","-2299000000.0","-2467000000.0"
"Invested Capital","8654000000.0","8483000000.0","8199000000.0","8967000000.0","8409000000.0","8521000000.0","8062000000.0","8842000000.0","7379000000.0","7522000000.0","7109000000.0","7848000000.0","7386000000.0","7479000000.0","7100000000.0","7726000000.0","6781000000.0","6869000000.0","6455000000.0","7079000000.0","6709000000.0","6752000000.0","5360000000.0","6009000000.0","5587000000.0","5520000000.0","4281000000.0","5005000000.0","4731000000.0","4744000000.0","4734000000.0","5574000000.0","5748000000.0","5610000000.0","5435000000.0","6023000000.0","5597000000.0","5766000000.0","5540000000.0","6121000000.0"
"Average Receivables","255500000.0","231000000.0","277500000.0","304000000.0","261500000.0","244000000.0","256500000.0","278500000.0","245000000.0","227500000.0","248000000.0","259500000.0","215000000.0","195500000.0","223500000.0","235000000.0","186000000.0","166500000.0","210500000.0","261500000.0","208000000.0","181500000.0","225000000.0","272500000.0","225000000.0","202000000.0","225500000.0","249500000.0","219500000.0","198500000.0","227500000.0","302000000.0","280500000.0","259000000.0","295500000.0","407000000.0","303000000.0","237500000.0","265500000.0","320000000.0"
"Average Payables","775500000.0","692000000.0","675500000.0","937500000.0","759000000.0","679500000.0","640500000.0","875000000.0","673500000.0","597000000.0","606000000.0","818000000.0","651500000.0","558000000.0","570000000.0","765500000.0","652500000.0","548500000.0","540500000.0","766000000.0","635000000.0","588000000.0","542500000.0","743500000.0","602500000.0","562500000.0","516500000.0","653500000.0","533500000.0","447500000.0","491000000.0","657500000.0","522000000.0","419000000.0","505500000.0","684000000.0","573500000.0","452000000.0","555000000.0","728500000.0"
"Average Inventory","1161000000.0","1206500000.0","1109000000.0","1635500000.0","1155000000.0","1202500000.0","1079000000.0","1552500000.0","1090500000.0","1179000000.0","1100500000.0","1564000000.0","1101000000.0","1167000000.0","1084500000.0","1544500000.0","1092000000.0","1107500000.0","1000500000.0","1491500000.0","1080500000.0","1087500000.0","1014500000.0","1496500000.0","1093500000.0","1086500000.0","1034500000.0","1441000000.0","1087000000.0","1155500000.0","1109500000.0","1537000000.0","1155500000.0","1218500000.0","1216500000.0","1720000000.0","1344000000.0","1520000000.0","1510500000.0","1983500000.0"
