"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","71.322","66.484","63.344","70.117","66.609","60.832","55.025","57.386","58.094","63.274","60.587","59.186","58.583","54.934","51.276","50.621","49.605","54.748","54.444","54.579","49.689","45.519","43.429","48.385","43.341","41.45","40.428","42.809","41.781","40.918","38.731","38.584","35.437","28.601","31.175","36.99","40.485","41.902","43.525"
"Tangible Book Value per Share","1201.087","1177.528","1134.729","1135.469","1090.993","1051.827","1008.744","985.285","999.68","999.302","966.566","942.924","935.945","908.895","894.509","860.707","823.387","818.041","787.576","763.628","731.697","706.225","660.396","631.536","633.349","618.425","602.363","591.885","585.541","590.905","577.396","590.525","639.237","601.787","623.101","658.924","695.079","684.97","695.661"
"FCF per Share","0.415","0.484","2.603","0.619","0.996","1.237","3.055","3.606","1.13","1.154","5.508","2.773","0.409","0.997","1.124","1.698","1.14","-0.925","2.193","0.186","1.163","0.968","1.134","0.182","1.716","1.077","1.818","2.071","-0.255","1.869","1.274","0.348","1.339","-1.344","1.751","1.402","1.361","0.37","-0.65"
"Interest Debt per Share","23.8587","23.6798","23.3855","24.5151","23.8905","23.4482","22.439","22.331","21.8519","22.922","21.248","20.8217","20.5501","20.4019","22.1882","22.1859","20.6957","20.6105","20.5043","20.3959","21.0886","20.2725","18.8653","19.1282","19.0769","18.116","18.1525","19.0822","19.7168","17.0746","17.876","17.1768","20.4227","22.5783","21.6741","20.2626","19.2902","19.0424","19.1957"
"Cash per Share","8.8194","8.5386","11.9093","14.7941","17.2087","13.1849","12.7126","15.0308","9.1968","13.6003","15.0853","6.975","5.7214","7.0117","9.011","10.0192","9.588","11.4454","15.3809","15.6641","18.4188","12.0688","14.9504","15.6742","9.2896","7.0171","8.6532","11.1986","12.2321","11.3974","13.3243","10.4636","9.9146","21.9221","21.8382","8.4103","7.4083","9.249","6.1844"
"Debt to Equity Ratio","0.3345","0.3562","0.3692","0.3496","0.3587","0.3855","0.4078","0.3891","0.3761","0.3623","0.3507","0.3518","0.3508","0.3714","0.4327","0.4383","0.4172","0.3765","0.3766","0.3737","0.4244","0.4454","0.4344","0.3953","0.4402","0.4371","0.449","0.4458","0.4719","0.4173","0.4615","0.4452","0.5763","0.7894","0.6952","0.5478","0.4765","0.4544","0.441"
"Total Debt To Total Assets","0.0197","0.0199","0.0204","0.0214","0.0217","0.0221","0.022","0.0225","0.0217","0.0227","0.0218","0.0219","0.0218","0.0222","0.0246","0.0255","0.0249","0.0249","0.0258","0.0264","0.0285","0.0284","0.0282","0.0298","0.0297","0.0288","0.0297","0.0317","0.0331","0.0284","0.0304","0.0286","0.0313","0.0367","0.034","0.03","0.0271","0.0272","0.027"
"Interest Coverage","9.4603","8.4219","2.5194","10.2727","7.0882","4.4559","6.1765","5.0","7.5072","6.3235","7.5758","9.9701","9.0149","7.3731","7.7536","7.597","7.4308","5.7656","6.7143","7.5588","7.5","5.5147","-5.8873","2.8608","6.6806","6.9583","2.9367","5.0676","5.8261","6.5294","3.0147","2.9706","-2.3934","0.0","-10.0278","3.029","3.9692","6.4474","2.7375"
"Income Quality","0.2263","0.2506","3.0829","0.3084","0.7323","1.4123","2.6714","3.9868","0.8314","0.9867","4.1003","1.6492","0.2714","0.7994","0.8405","1.3323","0.9653","-1.0502","1.8785","0.1215","1.0343","1.1605","-0.623","0.366","1.7697","1.0828","2.0211","2.6667","-0.7264","2.1321","4.6386","0.7664","-2.1304","0.5941","-0.8871","2.4324","2.824","0.3391","-1.5487"
"Payout Ratio","0.158","0.15","0.291","0.124","0.182","0.287","0.174","0.22","0.146","0.171","0.118","0.095","0.105","0.128","0.09","0.094","0.101","0.135","0.068","0.052","0.07","0.095","-0.028","0.1","0.051","0.05","0.028","0.013","0.029","0.011","0.028","0.022","-0.016","-0.093","-0.209","0.707","0.854","0.369","0.909"
"Intangible Assets out of Total Assets","0.0084","0.0085","0.0087","0.0085","0.0086","0.0089","0.009","0.0091","0.0089","0.0088","0.009","0.0091","0.0091","0.0094","0.0096","0.0099","0.0102","0.0101","0.0104","0.0105","0.0108","0.0109","0.0113","0.0153","0.015","0.0152","0.0156","0.0158","0.0167","0.0166","0.017","0.0171","0.02","0.0212","0.0227","0.0233","0.022","0.0223","0.0216"
