"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","14.123","13.383","13.712","13.021","12.375","11.694","11.314","10.638","10.764","10.24","9.982","10.877","10.893","10.301","10.529","9.976","9.497","9.601","9.475","9.475","9.036","9.205","8.833","8.188","9.233","8.806","8.348","7.976","7.447","7.452","7.351","7.031","6.947","6.659","6.696","9.598","11.926","9.802","9.456"
"Tangible Book Value per Share","37.998","37.183","36.251","35.72","33.983","33.184","31.278","30.823","30.233","29.96","27.629","28.652","28.871","27.229","26.374","26.165","25.787","25.141","23.884","24.145","23.178","23.16","21.962","21.357","23.044","21.944","20.697","20.299","20.117","19.556","19.232","19.003","18.93","19.161","19.018","24.694","31.779","24.599","22.849"
"FCF per Share","0.323","1.976","0.057","0.634","1.028","1.838","-0.747","0.925","0.299","1.304","-0.386","-0.243","1.242","1.037","-0.214","0.228","0.819","0.619","-0.228","0.078","-0.358","1.424","-0.063","-0.624","0.028","1.214","0.233","0.382","0.511","0.315","0.509","-0.17","-0.07","0.272","-3.654","-3.334","2.887","0.819","1.014"
"Interest Debt per Share","5.1242","5.0016","5.502","5.3317","5.307","5.1607","4.8866","4.0733","4.0406","3.9866","3.9661","4.0","3.9971","4.0315","4.0475","4.0896","4.1092","4.1214","4.2738","4.3654","4.3276","4.2892","4.8181","5.3106","5.4256","4.4559","4.5242","4.6421","4.6268","4.677","4.7376","4.8194","4.5655","4.8784","4.9491","3.6033","3.6352","2.8909","2.8486"
"Cash per Share","2.5447","3.0196","2.7291","3.1812","3.2278","3.7254","2.4341","2.6565","2.6647","3.0045","1.8888","2.6823","2.7275","2.4943","1.9448","1.8962","2.0854","1.8455","1.5082","1.5805","1.4306","2.0208","1.0648","1.2828","2.0449","2.7259","1.6879","1.382","1.3275","1.4939","1.5015","1.2156","1.2767","1.5473","1.8493","3.2473","6.3566","4.0682","3.0148"
"Debt to Equity Ratio","0.3628","0.3737","0.4013","0.4095","0.4288","0.4413","0.4319","0.3829","0.3754","0.3893","0.3973","0.3677","0.367","0.3914","0.3844","0.41","0.4327","0.4292","0.4511","0.4607","0.4789","0.466","0.5454","0.6486","0.5876","0.506","0.5419","0.582","0.6213","0.6276","0.6445","0.6855","0.6571","0.7325","0.7391","0.3754","0.3048","0.2949","0.3013"
"Total Debt To Total Assets","0.1294","0.129","0.1455","0.143","0.1494","0.1487","0.1491","0.1261","0.1275","0.127","0.1365","0.133","0.132","0.1409","0.1458","0.1485","0.1514","0.1556","0.1696","0.1715","0.1769","0.1757","0.2076","0.2352","0.2234","0.2031","0.2186","0.2287","0.23","0.2392","0.2463","0.2536","0.2412","0.2546","0.2602","0.1459","0.1144","0.1175","0.1247"
"Interest Coverage","44.3333","20.069","28.8966","20.9355","41.75","28.2","30.2069","31.0968","34.6897","23.5938","10.1212","17.9355","22.9412","8.3939","10.7941","12.9714","12.0","4.2414","4.5714","1.9429","10.6842","4.975","6.0","-3.52","6.3922","1.4186","6.1951","8.7209","5.381","1.4146","5.0","0.5833","3.2766","-1.4318","-1.3714","-4.8571","17.5313","2.3214","6.5758"
"Current Ratio","0.612","0.625","0.657","0.619","0.571","0.554","0.543","0.646","0.668","0.719","0.663","0.773","0.757","0.747","0.785","0.861","0.842","0.834","0.909","0.936","0.923","1.014","0.959","0.864","1.019","1.223","1.295","1.268","1.19","1.241","1.246","1.034","1.008","0.959","0.945","0.949","1.066","0.874","0.918"
"Income Quality","1.0","4.6296","1.3582","2.2062","1.3561","3.1501","0.6045","1.4315","1.0313","3.2053","1.0737","0.7295","2.8774","7.3618","1.3632","1.6525","3.4732","16.661","2.9615","29.0","0.636","12.5","2.4408","1.5571","1.472","193.0","2.0534","1.878","4.8214","33.9091","4.2783","-4.5","1.4835","-3.1429","45.4464","18.9667","7.2773","28.3529","9.7679"
"Payout Ratio","0.105","0.175","0.118","0.159","0.077","0.087","0.084","0.079","0.077","0.09","0.214","0.125","0.09","0.182","0.133","0.108","0.129","0.125","0.091","0.5","0.033","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0406","0.0408","0.0417","0.0421","0.0432","0.0436","0.0455","0.0458","0.046","0.0458","0.0492","0.0472","0.0464","0.0486","0.0501","0.0501","0.05","0.0505","0.0522","0.0516","0.0524","0.0515","0.0537","0.0542","0.0513","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.325","0.3549","0.3367","0.3715","0.3044","0.3189","0.3331","0.3195","0.3144","0.3215","0.3003","0.284","0.2806","0.306","0.29","0.2796","0.2796","0.2897","0.2868","0.2759","0.2647","0.2859","0.2787","0.2658","0.272","0.3074","0.307","0.2939","0.2986","0.3285","0.3175","0.341","0.3299","0.3547","0.3094","0.2961","0.2924","0.3162","0.321"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-2754000000.0","-2800000000.0","-2346000000.0","-2977000000.0","-3364000000.0","-3679000000.0","-3382000000.0","-2511000000.0","-2280000000.0","-1940000000.0","-1996000000.0","-1461000000.0","-1710000000.0","-1627000000.0","-1220000000.0","-773000000.0","-915000000.0","-897000000.0","-423000000.0","-317000000.0","-389000000.0","73000000.0","-188000000.0","-726000000.0","103000000.0","971000000.0","974000000.0","855000000.0","633000000.0","704000000.0","663000000.0","103000000.0","26000000.0","-127000000.0","-153000000.0","-287000000.0","555000000.0","-731000000.0","-395000000.0"
"Tangible Asset Value","22951000000.0","22793000000.0","22316000000.0","22075000000.0","21477000000.0","21271000000.0","20342000000.0","20189000000.0","20105000000.0","20193000000.0","18753000000.0","19569000000.0","19921000000.0","19006000000.0","18375000000.0","18394000000.0","18412000000.0","18227000000.0","17626000000.0","17843000000.0","17546000000.0","17856000000.0","17098000000.0","16915000000.0","17974000000.0","16414000000.0","15463000000.0","15143000000.0","14987000000.0","14530000000.0","14269000000.0","14100000000.0","14027000000.0","14179000000.0","14068000000.0","18175000000.0","23262000000.0","18031000000.0","16772000000.0"
