"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","5.469","5.205","5.194","5.674","5.316","4.94","5.344","5.546","5.627","5.489","5.889","5.619","5.379","5.542","6.242","6.354","5.781","5.5","5.614","5.53","4.972","5.017","4.599","4.702","4.307","3.993","3.973","3.696","3.143","2.942","2.695","2.475","2.051","1.709","1.494","1.363","1.575","2.403","2.285"
"Tangible Book Value per Share","14.91","14.929","14.873","13.469","12.464","11.931","12.018","10.537","10.958","10.902","11.356","10.802","10.377","10.796","10.382","9.937","8.512","8.263","8.683","8.286","7.599","7.407","7.064","6.272","5.714","5.579","5.824","5.692","5.172","5.065","5.189","4.78","4.836","4.43","4.484","5.144","4.786","4.432","4.302"
"FCF per Share","1.14","0.604","0.817","1.21","0.87","0.886","0.839","1.032","0.646","0.744","0.488","1.137","0.58","0.438","0.878","1.056","0.561","0.677","0.659","0.766","0.464","0.296","0.567","0.758","0.387","0.254","0.476","0.419","0.227","0.058","0.185","0.218","0.252","0.298","-0.439","0.257","0.217","0.146","0.006"
"Interest Debt per Share","4.9776","4.8386","4.7567","3.0347","3.0109","3.0054","2.8972","1.323","1.3137","1.3023","1.2958","1.2913","1.2824","1.2608","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0008","0.0145","0.0162","0.0169","0.0167","0.0158","0.0142","0.1309","0.1304","0.1312","0.175","0.1735"
"Cash per Share","5.7664","6.4842","7.0817","5.6588","5.5665","5.2579","5.8883","4.2018","3.8322","4.4948","5.2793","4.6802","3.2584","4.162","3.7615","3.561","2.626","2.2806","2.2963","3.056","3.0786","3.4118","3.4248","3.4559","2.6551","2.7154","2.7176","2.6511","2.1405","1.9715","1.9238","1.9824","1.7627","1.4488","1.3091","1.709","1.4703","1.5269","1.3596"
"Debt to Equity Ratio","0.9101","0.9296","0.9158","0.5348","0.5664","0.6083","0.5421","0.2386","0.2334","0.2373","0.22","0.2298","0.2384","0.2275","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0002","0.0046","0.0055","0.0063","0.0067","0.0077","0.0083","0.0876","0.0957","0.0833","0.0728","0.0759"
"Total Debt To Total Assets","0.2685","0.2809","0.2774","0.192","0.203","0.2096","0.2011","0.1022","0.0979","0.1022","0.0975","0.1019","0.1039","0.1009","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0001","0.0026","0.0029","0.0029","0.0031","0.0029","0.0029","0.0261","0.0232","0.0249","0.0358","0.0367"
"Interest Coverage","42.7436","38.8974","44.7","72.0","63.0455","67.85","86.4167","91.1333","74.0","79.8235","63.9375","129.9091","92.5333","214.5","131.1429","-417.0","247.6","221.4","128.7143","267.5","325.3333","167.6667","-0.5714","172.8333","447.0","84.6","65.6667","70.6364","42.9412","47.3333","20.913","29.0417","17.75","16.2778","13.0588","-7.0859","-78.2319","45.9524","31.4993"
"Current Ratio","1.654","1.816","1.836","1.654","1.702","1.647","1.752","1.62","1.578","1.743","1.767","1.873","1.827","1.892","1.815","1.948","2.071","1.99","1.907","1.995","1.923","1.983","1.836","2.175","2.028","2.176","2.053","2.201","1.967","1.809","1.58","1.703","1.573","1.493","1.442","1.334","1.571","1.871","1.943"
"Income Quality","1.0994","0.6892","1.0632","1.2035","1.0793","1.1032","1.1674","1.3019","0.8914","0.8931","0.9051","1.3645","0.783","0.6529","1.9246","1.504","0.875","1.1384","1.4314","1.3135","0.9157","0.6261","41.2632","1.4045","0.8849","0.6317","1.6145","1.1371","0.7489","0.2088","0.966","0.6991","1.0372","1.1335","-2.1624","-2.0032","-0.4271","0.5011","0.1716"
"Payout Ratio","0.2","0.22","0.221","0.176","0.213","0.221","0.203","0.186","0.198","0.18","0.157","0.125","0.138","0.151","0.115","0.082","0.086","0.048","0.061","0.048","0.054","0.019","0.5","0.018","0.021","0.023","0.031","0.025","0.029","0.029","0.045","0.029","0.037","0.036","0.056","-0.067","-0.018","0.029","0.045"
"Intangible Assets out of Total Assets","0.1958","0.1334","0.1327","0.1478","0.1594","0.1681","0.1658","0.1863","0.1835","0.1447","0.1459","0.1474","0.159","0.1357","0.126","0.1279","0.1403","0.1422","0.1416","0.1455","0.1481","0.1549","0.157","0.1767","0.1959","0.1469","0.1366","0.0868","0.0884","0.0962","0.0969","0.1045","0.0999","0.1024","0.1069","0.0839","0.0925","0.0936","0.0895"
"Selling, General and Administrative Expense of Revenue","0.4222","0.41","0.4684","0.3878","0.4135","0.4101","0.5232","0.4217","0.4126","0.3552","0.5429","0.3964","0.3818","0.3748","0.4809","0.4085","0.385","0.3867","0.4929","0.415","0.4231","0.4005","0.5301","0.4208","0.4397","0.4151","0.5751","0.4384","0.4491","0.4381","0.6159","0.4758","0.5367","0.4879","0.5927","0.5688","0.6437","0.5424","0.8245"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","4959000000.0","5790000000.0","6022000000.0","4655000000.0","4536000000.0","4166000000.0","4715000000.0","3682000000.0","3741000000.0","4411000000.0","4775000000.0","5107000000.0","4787000000.0","5348000000.0","4918000000.0","5139000000.0","4635000000.0","4369000000.0","4451000000.0","4524000000.0","3976000000.0","4021000000.0","3524000000.0","3648000000.0","3047000000.0","3282000000.0","3311000000.0","3401000000.0","2725000000.0","2284000000.0","1836000000.0","1961335000.0","1708590000.0","1355596000.0","1321056000.0","1270260000.0","1599058000.0","2059196000.0","2228399000.0"
