"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","57.494","57.99","87.895","39.496","39.144","39.383","41.892","39.851","39.506","38.411","38.41","38.739","38.594","38.861","39.408","23.174","22.945","22.01","21.625","21.754","20.504","21.415","18.991","17.622","16.83","16.8","15.114","13.972","15.539","15.225","14.947","15.001","14.982","14.732","14.859","17.333","17.591","14.998","15.759"
"Tangible Book Value per Share","101.544","101.796","153.6","91.081","90.952","90.497","90.823","91.353","90.804","90.274","90.619","90.175","90.376","90.457","91.444","70.764","66.243","65.426","64.99","67.433","63.389","64.752","66.793","64.831","62.931","61.535","63.309","65.614","65.102","67.006","68.83","67.26","67.605","68.923","68.343","71.738","69.072","70.071","69.949"
"FCF per Share","0.737","-0.098","-0.304","-0.386","0.116","0.057","-0.236","0.023","-0.515","0.323","-1.382","0.647","-1.021","0.24","-0.098","0.841","-0.396","-0.334","0.507","-4.563","-1.715","-0.102","-2.399","-1.612","-3.483","-0.419","-1.619","-3.501","-1.424","0.527","-3.071","0.745","0.303","0.634","0.464","-3.094","-0.724","-0.324","0.473"
"Interest Debt per Share","40.2644","40.1354","59.5656","45.465","46.2116","45.6567","45.4709","45.4413","45.6854","46.21","46.6777","45.615","46.3332","46.1927","46.4415","43.528","39.5931","39.9334","39.6013","41.5112","38.8259","39.5203","43.6167","42.7521","41.8537","40.6506","43.7285","46.5659","44.5081","46.6438","48.587","46.3319","47.0965","48.2195","47.1476","49.363","46.7622","49.6244","49.704"
"Cash per Share","0.5945","0.5152","1.6123","0.7792","0.6808","0.6605","0.8443","1.7804","1.1074","0.6014","0.7286","1.9623","1.2132","2.1312","1.7879","5.6085","0.5098","0.2095","0.2338","0.3581","0.5711","1.6569","1.5514","1.0016","0.3942","1.3608","1.3833","3.0775","0.8481","1.1388","0.4992","0.6202","0.2408","1.7244","0.3507","1.745","0.5192","0.4128","0.8221"
"Debt to Equity Ratio","0.7003","0.6921","0.6777","1.1511","1.1806","1.1593","1.0854","1.1403","1.1564","1.2031","1.2152","1.1775","1.2005","1.1887","1.1785","1.8783","1.7255","1.8143","1.8312","1.9082","1.8935","1.8454","2.2967","2.4261","2.4868","2.4196","2.8933","3.3327","2.8642","3.0636","3.2506","3.0886","3.1435","3.2732","3.173","2.8479","2.6582","3.3086","3.154"
"Total Debt To Total Assets","0.3965","0.3942","0.3878","0.4991","0.508","0.5044","0.5005","0.4973","0.503","0.5117","0.5149","0.5057","0.5124","0.5103","0.5076","0.6143","0.5968","0.6095","0.6084","0.6147","0.6115","0.6093","0.652","0.6583","0.6639","0.6594","0.6894","0.7084","0.6823","0.6947","0.7044","0.6874","0.6951","0.6981","0.6884","0.6867","0.6755","0.7066","0.7089"
"Interest Coverage","2.2716","2.1632","2.1896","3.6341","2.4233","2.3567","2.4024","4.0516","5.4917","3.0026","2.0137","3.3864","2.0654","1.4934","0.7285","3.9824","4.9049","2.3768","2.4901","3.1243","3.001","2.6931","2.4221","1.9083","1.5327","1.6356","1.5265","1.4967","1.4763","1.6776","1.6684","1.4605","1.7012","1.7828","1.4916","1.4118","1.5749","1.4739","1.4691"
"Income Quality","3.8776","3.3676","2.4263","1.7917","2.9712","2.3976","2.3771","1.4717","0.9074","1.6789","2.55","1.6272","2.9197","6.4618","-9.6638","1.3412","1.1384","1.9885","2.3735","1.8518","2.2355","1.5869","2.2965","3.3109","7.0341","3.5393","3.9086","11.2167","30.2119","4.0563","4.7946","10.9206","6.0521","4.0372","7.3695","12.0635","7.2609","6.9881","7.7502"
"Payout Ratio","2.071","2.417","2.05","0.732","1.367","1.414","1.351","0.631","0.425","0.951","1.587","0.82","1.738","3.65","-1.062","0.663","0.5","1.38","1.269","0.892","0.957","1.1","1.26","1.703","3.15","2.52","2.905","5.545","15.25","2.905","2.905","5.083","2.44","2.179","3.813","5.545","3.05","3.588","4.286"
"Intangible Assets out of Total Assets","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0002","0.0002","0.0003","0.0003","0.0003","0.0006","0.0006","0.0006","0.0014","0.0014","0.0015","0.0015","0.0015","0.0016","0.0016","0.0016","0.0017","0.0018","0.0019","0.0019","0.0019","0.0021","0.0021","0.0021","0.0021","0.0022","0.0021","0.0021","0.0021","0.0022","0.0023","0.0023"
"Selling, General and Administrative Expense of Revenue","0.053","0.0629","0.0575","0.0526","0.0563","0.0579","0.0551","0.0516","0.0527","0.0582","0.051","0.0559","0.0603","0.0466","0.053","0.0661","0.0653","0.0653","0.0661","0.073","0.0759","0.0765","0.0947","0.0807","0.0992","0.0929","0.0979","0.0744","0.0771","0.0727","0.0821","0.0755","0.076","0.0715","0.0746","0.077","0.0789","0.0791","0.0876"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","11532890000.0","11558460000.0","11603252000.0","6879706000.0","6867774000.0","6826314000.0","6846174000.0","6885734000.0","6841806000.0","6797361000.0","6819457000.0","6780693000.0","6779015000.0","6781557000.0","6837819000.0","3024151000.0","2830111000.0","2770902000.0","2746962000.0","2771729000.0","2594982000.0","2523304000.0","2526362000.0","2407921000.0","2309415000.0","2197641000.0","2171942000.0","2185745000.0","1993938000.0","1951885000.0","1982720000.0","1907766000.0","1900028000.0","1935709000.0","1917849000.0","1970929000.0","1837257000.0","1795778000.0","1779716000.0"
