"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40632.0","40543.0","40451.0","40359.0","40267.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","-0.41","-0.837","-0.908","-0.297","-0.352","-0.377","-0.401","-0.462","-0.135","2.2","2.594","3.218","1.924","1.577","1.566","1.328","0.998","0.791","0.902","1.308","1.201","1.565","1.473","3.54","3.672","3.703","3.861","6.987","6.822","7.018","7.321","8.04","7.91","7.538","7.838","10.417","10.932","10.946","10.914"
"Tangible Book Value per Share","14.203","12.956","12.644","13.255","13.007","16.626","13.864","13.726","13.982","15.54","17.476","14.967","14.517","13.544","13.74","14.036","14.064","13.288","13.526","13.811","15.906","15.841","14.561","15.56","16.065","15.59","15.308","16.382","16.256","16.459","16.087","16.375","16.181","15.611","16.152","17.869","18.327","18.168","18.021"
"FCF per Share","0.761","0.693","0.286","0.527","0.517","0.545","0.229","0.561","0.501","0.329","0.048","0.488","0.558","0.281","0.339","0.499","0.401","0.292","0.26","0.154","0.02","0.207","-0.031","0.159","0.145","0.039","0.237","0.293","0.243","0.192","0.749","0.44","0.417","0.072","0.575","0.239","0.431","0.409","0.949"
"Interest Debt per Share","9.6567","9.3625","9.1286","9.0729","9.0039","12.8649","10.1257","9.9549","9.8534","11.226","9.611","9.6058","9.6145","9.6155","9.5998","9.5982","10.1663","10.172","10.1596","10.1624","12.2459","12.2476","11.2493","11.2601","11.427","11.4377","11.431","11.4421","11.4413","11.6116","11.0498","11.0663","11.0771","11.0709","11.0753","11.3222","11.269","11.2778","11.0846"
"Cash per Share","3.1062","2.151","3.0155","3.1525","2.8731","6.5133","4.3629","3.7186","3.7314","4.5144","3.8708","3.5966","3.3516","2.5421","3.4259","2.8324","3.427","2.8943","2.9123","3.2652","5.189","5.0043","4.6283","4.4985","4.4987","4.2026","4.7838","4.2873","3.8584","3.8408","3.9348","3.338","2.5772","2.2615","2.8563","2.8611","2.3583","1.7274","2.5"
"Debt to Equity Ratio","-23.542","-11.1903","-10.057","-30.5714","-25.6068","-34.0952","-25.237","-21.5346","-72.8723","5.1027","3.7056","2.9852","4.9971","6.0979","6.1306","7.2278","10.191","12.8617","11.2671","7.7709","10.1935","7.8283","7.6376","3.1807","3.1118","3.089","2.961","1.6375","1.6772","1.6545","1.5093","1.3764","1.4004","1.4686","1.413","1.0869","1.0309","1.0303","1.0157"
"Total Debt To Total Assets","0.5619","0.5836","0.5834","0.5576","0.5627","0.6555","0.6015","0.5979","0.5836","0.5254","0.475","0.4644","0.4743","0.4981","0.4926","0.4853","0.5137","0.535","0.5277","0.5172","0.5636","0.5646","0.5516","0.4907","0.4861","0.4967","0.5034","0.4433","0.4465","0.4486","0.4325","0.4157","0.4195","0.4294","0.4203","0.3832","0.3742","0.3777","0.3748"
"Interest Coverage","2.5817","5.7209","4.8372","6.0","3.7586","3.9821","3.7593","4.4815","4.3934","2.8571","3.0714","3.2456","4.0893","2.4107","1.7544","3.5345","2.95","2.1167","0.1667","1.5","0.3529","1.625","-9.4375","1.6349","1.7188","0.4762","-12.4444","1.4127","1.1045","1.1897","-3.7143","1.9643","1.8246","-0.1429","-9.375","3.1186","3.7544","1.75","-0.9016"
"Current Ratio","1.954","2.077","2.01","2.066","1.873","1.523","1.385","2.269","2.258","1.894","1.637","1.657","1.537","1.987","2.057","1.851","1.704","1.738","1.728","1.655","1.564","1.64","1.451","1.493","2.128","2.211","2.33","2.396","2.273","2.401","1.938","1.891","1.816","1.772","2.133","2.019","2.036","2.033","1.996"
