"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42369.0","42280.0","42189.0","42098.0","42004.0","41909.0","41818.0","41727.0","41639.0","41545.0","41454.0","41363.0","41274.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40543.0","40453.0","40362.0","40271.0","40178.0","40082.0","39991.0","39900.0","39813.0","39718.0","39627.0","39536.0","39447.0"
"Book Value per Share","86.731","81.623","77.888","76.401","72.562","69.612","65.675","64.251","62.899","57.817","60.599","62.73","64.046","61.655","61.37","59.586","56.565","53.668","53.917","52.093","50.393","51.107","49.694","49.721","51.16","49.703","47.689","47.884","44.892","45.556","46.76","46.977","45.3","43.244","46.108","48.912","73.723","72.38","69.051"
"Tangible Book Value per Share","111.59","102.391","96.025","97.258","95.244","94.65","90.709","92.878","94.728","83.159","82.012","86.279","87.307","84.721","81.805","83.213","83.112","76.374","63.259","63.424","62.862","64.025","61.481","61.868","62.391","60.719","59.072","59.655","57.997","61.367","61.283","62.032","60.545","60.193","61.386","65.608","71.527","72.077","69.102"
"FCF per Share","0.321","-0.477","1.773","3.391","3.734","0.149","1.398","3.596","2.655","-2.13","2.312","1.148","0.567","-2.654","1.199","1.428","0.967","-1.474","3.127","2.256","1.386","-1.274","1.011","0.58","0.528","-1.751","0.574","1.2","1.623","-1.014","3.241","1.823","3.007","0.158","1.997","2.058","3.173","-1.991","3.129"
"Interest Debt per Share","39.4004","35.4424","33.8639","36.5972","39.8835","43.9302","43.186","43.1711","47.4431","33.05","30.9088","32.8052","33.321","33.9097","31.0906","32.331","34.9937","33.2471","20.0461","22.0974","23.5952","24.6831","23.0802","23.4346","23.396","23.7338","24.1043","24.1225","24.1228","27.0692","27.0917","27.1021","27.1651","28.9497","28.5783","30.0589","31.9728","34.6735","33.4717"
"Cash per Share","1.7522","2.5392","1.6405","1.5118","1.5117","1.3289","1.1053","1.4979","2.3352","1.4666","1.3425","1.4488","0.9617","0.9987","0.7438","0.8761","2.3305","16.1466","6.924","5.5186","4.631","4.4259","4.5383","4.0163","4.152","3.7311","5.5709","5.3334","4.9963","6.6012","7.764","4.4721","3.3097","1.9954","1.3672","0.9067","0.9362","1.0719","1.3144"
"Debt to Equity Ratio","0.4543","0.4342","0.4348","0.479","0.5496","0.6311","0.6576","0.6719","0.7543","0.5716","0.5101","0.523","0.5203","0.55","0.5066","0.5426","0.6186","0.6195","0.3718","0.4242","0.4682","0.483","0.4644","0.4713","0.4573","0.4775","0.5054","0.5038","0.5373","0.5942","0.5794","0.5769","0.5997","0.6695","0.6198","0.6145","0.4337","0.479","0.4847"
"Total Debt To Total Assets","0.2527","0.2452","0.2455","0.2604","0.2867","0.3157","0.3213","0.3171","0.3419","0.2912","0.272","0.2747","0.2732","0.2841","0.2661","0.274","0.2978","0.3176","0.2194","0.242","0.2598","0.2656","0.2556","0.2567","0.2517","0.2601","0.2711","0.2672","0.2756","0.2935","0.2902","0.2859","0.2926","0.3151","0.3032","0.2949","0.2441","0.2629","0.2629"
"Interest Coverage","41.9106","33.7861","36.2642","39.6938","34.3516","19.6467","12.8393","14.6844","15.0021","2.7174","9.5122","6.2115","10.8053","5.6966","5.9698","6.7769","5.2593","4.1962","6.1352","5.7673","5.693","3.2521","2.6967","3.0639","3.8864","2.0682","2.8828","2.9506","2.2623","1.6934","1.3136","2.1252","2.6432","-4.9198","-3.7254","-42.7407","4.4106","3.5993","4.9807"
"Current Ratio","1.245","1.321","1.277","1.199","1.124","1.044","0.997","1.06","1.202","1.108","1.531","1.84","1.805","1.77","2.336","2.302","2.431","3.927","3.077","3.171","3.206","3.268","2.177","2.012","1.999","2.952","2.144","2.028","1.969","1.732","2.668","2.537","2.423","2.305","2.562","2.251","2.043","1.996","2.022"
"Income Quality","0.9513","0.8271","1.4668","1.613","1.6179","0.8853","1.3308","1.8121","1.7007","-2.2217","2.3066","1.4911","1.1056","-0.8757","2.0939","1.7894","1.8074","-0.7712","4.3538","2.887","1.9135","-1.1014","3.7922","2.3496","1.5763","-2.8757","2.389","2.3763","1.9854","-2.2491","13.1192","4.1683","5.007","-0.3581","-1.5602","-0.1282","3.006","-1.2262","0.7348"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2843","0.2917","0.3039","0.3079","0.3154","0.3197","0.3251","0.3179","0.3173","0.2674","0.2784","0.2775","0.2841","0.2901","0.2999","0.2948","0.2928","0.2704","0.3077","0.3055","0.3078","0.311","0.3191","0.3224","0.3287","0.3346","0.3356","0.3392","0.3375","0.3345","0.3437","0.3455","0.348","0.3449","0.3486","0.3563","0.4539","0.4535","0.4573"
"Selling, General and Administrative Expense of Revenue","0.1726","0.1826","0.1767","0.1518","0.1753","0.1814","0.1867","0.1733","0.176","0.2489","0.1719","0.1722","0.1721","0.1934","0.188","0.1738","0.1927","0.1952","0.1905","0.1825","0.191","0.204","0.1953","0.1845","0.1898","0.2125","0.2028","0.1984","0.2036","0.2135","0.2189","0.218","0.2082","0.2479","0.2188","0.1822","0.1831","0.193","0.1709"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
