"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","66.782","64.632","65.401","65.488","63.172","61.452","61.971","63.607","63.954","64.39","64.567","65.188","33.726","32.577","33.249","31.575","30.396","29.803","30.707","31.191","30.098","29.73","30.834","31.653","30.956","30.564","31.293","31.077","30.259","29.346","30.386","29.381","28.327","29.626","24.656","25.981","24.6","23.116","22.621"
"Tangible Book Value per Share","77.199","74.998","73.147","74.033","72.245","68.636","66.882","70.797","69.458","66.961","67.603","70.004","58.035","55.941","56.095","57.768","55.63","54.073","54.299","56.169","55.819","54.93","54.195","54.745","54.605","56.268","53.361","54.342","53.975","57.309","57.925","58.168","57.566","62.486","57.828","58.854","59.09","52.504","50.21"
"FCF per Share","0.661","-0.445","2.572","2.14","0.397","-0.404","2.259","1.615","0.297","-0.311","1.282","1.154","0.343","-0.654","1.955","1.402","0.038","-0.072","1.21","1.192","0.071","-0.915","0.38","1.935","0.16","-0.205","0.907","1.644","0.344","0.046","1.002","2.066","0.392","0.584","0.886","2.019","-0.585","-0.211","1.358"
"Interest Debt per Share","28.4097","29.2951","26.6376","27.8137","28.1175","27.3194","24.1177","25.4492","24.5401","23.3799","23.5284","24.1224","23.3819","23.0583","22.3435","24.3015","23.7013","23.432","22.8113","23.9618","25.0671","24.8558","23.1935","22.8821","23.7993","25.6366","22.6753","22.6492","23.3044","27.5642","27.8511","28.3506","28.8111","31.9726","32.8102","32.9081","34.9575","29.0643","27.0373"
"Cash per Share","0.5842","0.8793","0.7905","0.9564","0.4501","0.4246","2.5723","6.5304","0.6556","0.8362","1.6123","1.0971","0.7399","0.773","0.9175","1.2378","0.9476","0.8095","0.5528","0.7724","0.9042","0.9829","0.5693","1.244","0.572","3.8792","1.5438","1.3289","0.706","4.8688","5.8667","4.3439","2.9937","5.3031","0.912","0.3358","0.3183","0.3286","0.4792"
"Debt to Equity Ratio","0.4254","0.4533","0.4073","0.4247","0.4451","0.4446","0.3892","0.4001","0.3837","0.3631","0.3644","0.37","0.6933","0.7078","0.672","0.7696","0.7798","0.7862","0.7429","0.7682","0.8328","0.836","0.7522","0.7229","0.7688","0.8388","0.7246","0.7288","0.7702","0.9393","0.9166","0.9649","1.0171","1.0792","1.3307","1.2666","1.4211","1.2573","1.1952"
"Total Debt To Total Assets","0.2376","0.2497","0.231","0.2394","0.247","0.2483","0.2269","0.2327","0.2277","0.2196","0.2196","0.2205","0.3232","0.3281","0.317","0.3368","0.3384","0.3419","0.3315","0.3388","0.3557","0.3572","0.3368","0.331","0.3449","0.3642","0.3359","0.3309","0.3422","0.3857","0.3863","0.3913","0.4002","0.4114","0.4483","0.4445","0.4704","0.4351","0.4213"
"Interest Coverage","9.0792","3.7271","7.5651","12.1993","9.6472","4.2297","7.464","9.7196","7.3324","1.2749","5.7022","5.9398","7.4437","-1.4623","4.932","8.0092","5.1417","-1.685","2.9803","6.7942","4.4176","-2.4557","2.0519","5.7235","4.6162","-0.2951","2.1302","4.8617","5.2767","-0.6555","0.6767","4.8954","3.9166","0.5715","2.9259","5.744","5.6695","2.7514","6.4497"
"Current Ratio","2.329","1.779","1.988","1.97","1.865","2.029","2.95","2.637","4.212","3.049","2.633","2.775","3.582","3.913","3.588","3.735","4.189","4.243","4.041","3.616","3.819","3.787","3.787","3.881","2.836","5.293","1.806","1.715","1.709","2.162","2.294","2.14","2.062","2.566","1.908","1.587","1.403","1.14","1.236"
"Income Quality","1.0933","1.7491","2.6764","1.3212","1.1596","1.5182","3.0483","1.6378","1.1221","5.7338","2.8149","2.4425","1.0711","-0.3059","3.9771","1.6311","0.7238","-0.6672","4.6738","1.4999","0.8704","0.1176","5.3393","2.5062","0.9875","-1.2246","4.5394","2.2377","1.0874","-1.1216","-26.5683","2.1245","1.3356","-11.2342","2.8182","2.23","0.7809","3.6767","2.2068"
"Payout Ratio","0.186","0.627","0.269","0.168","0.209","0.571","0.317","0.229","0.325","5.714","0.392","0.5","0.313","-0.851","0.513","0.258","0.449","-0.656","0.87","0.294","0.5","-0.494","1.25","0.374","0.513","-1.026","1.25","0.354","0.339","-0.741","-5.0","0.325","0.465","-2.857","0.667","0.253","0.224","0.68","0.264"
"Intangible Assets out of Total Assets","0.3544","0.3607","0.3658","0.3629","0.3655","0.3761","0.3706","0.3526","0.3555","0.3711","0.369","0.3601","0.1977","0.2041","0.2041","0.1995","0.2058","0.2111","0.2109","0.2058","0.208","0.2105","0.2131","0.2081","0.2088","0.2006","0.2095","0.206","0.2075","0.1982","0.1966","0.1971","0.2003","0.1959","0.2098","0.205","0.2049","0.214","0.2176"
"Selling, General and Administrative Expense of Revenue","0.0643","0.0824","0.0741","0.051","0.0612","0.074","0.0676","0.0507","0.0616","0.0715","0.0584","0.0482","0.0546","0.0799","0.0687","0.0558","0.0679","0.0989","0.0057","0.0542","0.0816","0.1496","0.1113","0.0667","0.0708","0.0903","0.1117","0.0613","0.0665","0.0985","0.1272","0.0675","0.079","0.0992","0.0722","0.063","0.0703","0.0835","0.0686"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.0005","0.0002","0.0","0.0","-0.0014","0.0001","0.0004","0.0004","0.0003","0.0002","0.0002","0.0004","0.0006"
"Working Capital","709972000.0","491684000.0","539797000.0","586616000.0","520325000.0","506184000.0","714977000.0","940946000.0","1166821000.0","702807000.0","647530000.0","775800000.0","631976000.0","564456000.0","544817000.0","619237000.0","613952000.0","547043000.0","527066000.0","567998000.0","561265000.0","516573000.0","484138000.0","569670000.0","482670000.0","681599000.0","310718000.0","305281000.0","293840000.0","459365000.0","483307000.0","450181000.0","413059000.0","544287000.0","316392000.0","249105000.0","198329000.0","76372000.0","119394000.0"
"Tangible Asset Value","4852561000.0","4726664000.0","4630256000.0","4697546000.0","4589846000.0","4403577000.0","4378824000.0","4731379000.0","4679571000.0","4513894000.0","4555750000.0","4696316000.0","2692526000.0","2590893000.0","2594614000.0","2671436000.0","2566148000.0","2488877000.0","2494289000.0","2575888000.0","2555446000.0","2512164000.0","2477018000.0","2501308000.0","2491538000.0","2564913000.0","2430668000.0","2473996000.0","2453884000.0","2601815000.0","2602590000.0","2595570000.0","2564802000.0","2615844000.0","2396315000.0","2435659000.0","2442361000.0","2169560000.0","2099712000.0"
"Net Current Asset Value","-2071032000.0","-2194595000.0","-2071930000.0","-2023278000.0","-2094876000.0","-2114336000.0","-1815799000.0","-1540049000.0","-1419842000.0","-1789307000.0","-1822828000.0","-1750447000.0","-912343000.0","-952750000.0","-929541000.0","-992553000.0","-983967000.0","-1028985000.0","-1010226000.0","-988076000.0","-1049398000.0","-1081891000.0","-1041108000.0","-905591000.0","-952752000.0","-933499000.0","-910273000.0","-926439000.0","-971129000.0","-1017296000.0","-976012000.0","-1035739000.0","-1103527000.0","-1076973000.0","-1300211000.0","-1269765000.0","-1318984000.0","-1140327000.0","-1111804000.0"
"Invested Capital","6067289000.0","5885982000.0","5719819000.0","5796788000.0","5746006000.0","5636961000.0","5422766000.0","5420862000.0","5925439000.0","5690569000.0","5636029000.0","5803996000.0","3498273000.0","3429278000.0","3375105000.0","3511561000.0","3423222000.0","3361454000.0","3343419000.0","3422248000.0","3462586000.0","3418600000.0","3337368000.0","3292207000.0","3288456000.0","3397941000.0","3007734000.0","3017791000.0","3066651000.0","3236842000.0","3216794000.0","3272010000.0","3326008000.0","3384656000.0","3369503000.0","3359109000.0","3381584000.0","2812470000.0","2703731000.0"
"Average Receivables","552538500.0","463631500.0","434415500.0","571924500.0","515963500.0","414718500.0","415961000.0","550676000.0","420626000.0","311988000.0","333211000.0","427479000.0","315652500.0","222368500.0","234735500.0","313988500.0","281468500.0","207101000.0","213899000.0","278843500.0","273062500.0","207647000.0","193554500.0","255176500.0","264235000.0","202671500.0","173088000.0","245566500.0","254050500.0","223249000.0","187205500.0","271645000.0","286686000.0","242713000.0","229756000.0","307973500.0","310747000.0","246917000.0","246418000.0"
"Average Payables","192480000.0","181398500.0","171658000.0","209787500.0","199484000.0","179232000.0","183597000.0","228521500.0","170338500.0","141420500.0","153038000.0","170736000.0","119701000.0","87927500.0","93568500.0","105447000.0","106634000.0","88581000.0","87873500.0","92975000.0","99361500.0","87498000.0","76271500.0","81657500.0","82826500.0","71097500.0","56220000.0","69367000.0","77720500.0","72155000.0","57514000.0","79494000.0","88120000.0","84826000.0","74894500.0","94699000.0","96694000.0","91778000.0","86052500.0"
"Average Inventory","527371000.0","511183500.0","495382500.0","486362000.0","492366500.0","495207000.0","477030000.0","469909000.0","414012000.0","429882500.0","416113000.0","412865500.0","348520500.0","351179500.0","339809000.0","342765000.0","340428500.0","340564000.0","327459000.0","336411000.0","334174500.0","332583000.0","327250500.0","330775000.0","328103500.0","326853000.0","332231500.0","326800500.0","326864500.0","323488000.0","325293500.0","317665500.0","315629000.0","310707500.0","302451500.0","295401000.0","297585500.0","288966500.0","271586000.0"
