"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","6.649","6.176","5.854","5.95","5.295","8.199","7.898","7.567","9.144","2.881","3.012","2.762","2.505","2.202","1.977","1.912","1.714","1.412","1.272","1.694","2.247","2.035","1.875","1.767","1.79","1.6","1.556","1.437","1.276","1.2","1.099","1.037","1.012","0.894","0.795","0.928","0.82","0.807","0.757"
"Tangible Book Value per Share","4.084","3.473","3.145","3.278","2.774","6.858","6.345","6.32","7.676","3.953","3.717","3.577","3.397","3.052","2.7","2.883","2.52","2.194","1.952","2.411","2.934","2.71","2.516","2.218","2.236","2.037","2.072","1.857","1.741","1.63","1.44","1.423","1.392","1.297","1.336","1.109","1.033","0.999","0.933"
"FCF per Share","0.562","0.305","0.427","0.216","0.213","0.167","0.254","0.295","0.088","0.193","0.355","0.287","0.234","0.253","0.094","0.331","0.098","0.075","0.1","0.191","0.125","0.041","0.181","0.191","0.176","0.029","0.099","0.072","0.1","0.119","0.057","0.156","0.049","-0.014","0.114","0.108","0.082","0.045","0.079"
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0019","0.0024","0.003","0.0","0.0005","0.0003","0.0003","0.0004","0.0007","0.0014","0.0021","0.0017","0.0012","0.0006","0.0008","0.0012"
"Cash per Share","1.3693","1.0083","0.6638","0.598","0.7211","4.1524","3.5726","2.0169","3.1948","0.7119","0.7362","0.8133","0.7442","0.6231","0.4212","0.5713","0.5684","0.4884","0.4394","0.5391","0.793","0.7463","0.688","0.544","0.7878","0.5538","0.6663","0.9612","0.7712","0.7092","0.6168","0.5872","0.5211","0.5144","0.4677","0.4629","0.3282","0.0914","0.0223"
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0011","0.0013","0.0019","0.0","0.0003","0.0002","0.0003","0.0004","0.0007","0.0014","0.0024","0.0022","0.0013","0.0007","0.001","0.0016"
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0008","0.001","0.0014","0.0","0.0002","0.0001","0.0002","0.0003","0.0005","0.001","0.0016","0.0013","0.0011","0.0005","0.0008","0.0012"
"Interest Coverage","0.0","0.0","-377.9954","280.0145","0.0","0.0","-71.992","86.6859","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","3.35","3.441","3.044","3.279","2.599","7.015","8.773","7.433","7.973","3.353","4.647","4.364","3.674","3.563","3.744","2.917","3.16","2.84","2.894","3.561","4.717","4.458","4.445","6.26","6.513","6.157","4.973","6.028","4.84","5.154","6.993","5.463","5.679","4.892","2.996","5.401","4.125","3.966","3.259"
