"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","6.429","6.321","6.548","1.507","1.605","1.402","1.469","1.472","1.413","1.286","1.525","2.165","2.212","2.065","2.059","1.986","1.775","1.776","1.564","1.902","2.1","1.809","1.79","2.134","2.213","2.607","2.487","2.471","2.171","2.049","1.964","1.796","1.617","1.345","1.373","2.028","1.878","2.233","8.974"
"Tangible Book Value per Share","13.575","14.781","14.67","7.988","7.152","8.557","7.215","7.488","7.396","8.573","8.673","8.441","8.023","9.122","8.813","9.336","8.562","9.334","8.926","8.747","8.495","10.045","9.472","9.62","9.339","10.181","9.632","9.508","8.616","9.946","9.345","9.047","9.035","10.409","11.696","8.52","8.464","10.777","25.932"
"FCF per Share","-0.401","1.357","0.118","1.224","-0.859","1.375","0.843","1.418","-0.662","1.244","0.787","1.132","-0.704","1.053","0.737","1.182","-0.622","0.82","0.848","1.066","-0.956","0.89","0.48","0.99","-0.769","0.979","0.476","0.664","-0.855","0.963","0.644","0.875","-0.956","0.968","0.419","1.283","-1.156","1.936","0.881"
"Interest Debt per Share","7.1892","7.1588","7.1175","7.1029","6.5615","6.563","6.5523","6.59","7.0784","7.0588","7.434","7.0549","7.0442","7.0211","7.2584","7.4216","7.4049","6.905","6.853","6.8269","6.7273","6.6917","6.6567","6.6086","6.5387","5.8289","5.8405","5.8513","5.8505","5.8447","5.7716","5.7735","6.2158","6.616","3.6275","0.4297","1.2844","0.951","2.2499"
"Cash per Share","1.1674","2.6957","2.3428","1.1761","0.4186","1.9485","1.2083","0.9726","0.571","1.8656","1.6803","1.1299","0.6006","1.8165","1.5875","2.1009","1.28","1.8782","1.432","1.0753","0.7509","2.0316","1.5901","1.4692","0.986","1.6405","1.1083","0.8158","0.4101","1.5813","0.9029","0.4973","0.2631","1.8672","3.842","0.4442","0.1982","2.2829","2.2988"
"Debt to Equity Ratio","1.1183","1.1325","1.087","4.714","4.0882","4.6812","4.4608","4.4756","5.009","5.488","4.8749","3.2587","3.1838","3.4002","3.5244","3.7367","4.1722","3.8885","4.3807","3.5898","3.2036","3.6987","3.7198","3.0975","2.9545","2.2362","2.3486","2.3678","2.695","2.8525","2.9393","3.2139","3.8445","4.9208","2.6429","0.2118","0.6838","0.4259","0.2507"
"Total Debt To Total Assets","0.3176","0.3007","0.3022","0.4214","0.4098","0.3772","0.4084","0.4038","0.4368","0.4063","0.4262","0.4106","0.4204","0.3952","0.4164","0.4138","0.4319","0.3854","0.3928","0.3961","0.3962","0.362","0.3725","0.3679","0.3716","0.316","0.326","0.3286","0.3457","0.32","0.3261","0.3333","0.3587","0.3536","0.2746","0.0428","0.129","0.0776","0.0821"
"Interest Coverage","17.435","12.676","90.2386","10.6425","14.1927","10.41","10.4808","12.1659","12.5538","8.4737","10.0047","10.9249","9.4565","12.8039","3.7961","8.8736","8.4394","9.2261","7.8062","4.6986","7.1638","7.3788","4.3675","7.116","4.932","6.2122","6.0758","7.0323","5.6586","5.4634","4.7951","5.4229","6.5958","3.8601","8.0071","55.32","82.7222","-175.1875","166.0667"
"Current Ratio","0.826","0.919","0.984","0.929","0.835","0.87","0.695","0.839","0.74","0.813","0.896","0.769","0.887","0.92","0.934","0.905","0.829","0.749","0.765","0.935","0.846","0.899","0.931","0.942","1.039","0.886","0.874","0.867","0.838","0.779","0.722","0.698","0.7","0.841","1.551","0.594","0.517","0.778","1.219"
