"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42369.0","42280.0","42189.0","42098.0","42004.0","41909.0","41818.0","41727.0","41639.0","41545.0","41454.0","41363.0","41274.0","41181.0","41090.0","40999.0","40908.0","40817.0","40726.0","40635.0","40543.0","40453.0","40362.0","40271.0","40178.0","40089.0","39998.0","39907.0","39813.0","39718.0","39627.0","39536.0","39447.0"
"Book Value per Share","-6.058","-6.395","-5.828","-3.963","-4.008","-0.842","-0.6","-1.541","8.726","9.689","11.938","13.037","16.315","14.628","14.188","10.206","10.356","11.282","11.657","13.677","13.242","13.122","16.127","18.181","19.751","18.702","32.425","31.251","30.406","30.06","29.637","29.862","29.06","28.47","29.259","45.286","47.038","47.08","47.369"
"Tangible Book Value per Share","40.944","39.738","41.802","48.238","45.782","48.476","44.83","38.469","42.005","41.965","43.824","47.958","45.27","39.685","44.552","40.24","39.547","40.408","39.875","37.407","37.037","35.377","38.667","39.72","41.524","44.846","71.933","69.359","66.078","67.805","69.397","67.656","67.995","70.417","77.038","88.872","90.898","91.853","92.956"
"FCF per Share","0.736","0.451","2.769","1.816","1.425","-0.218","2.098","1.265","0.49","0.576","-2.916","-0.743","0.52","0.114","2.842","0.458","0.241","-0.281","2.017","0.505","0.723","0.071","-0.241","1.363","-0.237","1.174","-1.775","1.652","0.628","1.43","2.656","1.86","0.265","-3.321","-1.163","0.432","0.26","-1.393","1.162"
"Interest Debt per Share","27.3881","27.1498","26.578","30.3608","29.2787","28.808","24.5984","22.0382","16.3317","15.7733","14.8407","13.8246","9.6571","9.7048","9.5425","9.3898","9.1132","8.9399","6.6512","6.5842","6.4178","4.9149","4.7479","6.3894","6.313","7.9964","8.0518","10.1646","10.3336","11.8017","11.8273","11.9477","12.0201","12.0969","12.8767","12.9039","12.734","13.175","13.2566"
"Cash per Share","4.9356","5.0487","6.2273","10.1443","8.9878","11.1175","11.1991","11.0442","14.9615","15.5736","17.2588","11.551","11.3362","12.3613","12.5048","6.5637","5.4063","5.3552","5.241","6.284","6.0977","5.5252","5.8181","5.322","6.4566","8.1921","12.535","11.5175","8.6955","9.6372","8.6984","9.2842","8.7916","10.0219","9.4298","9.1875","8.5296","8.3522","8.4391"
"Debt to Equity Ratio","-4.5213","-4.2457","-4.5602","-7.6616","-7.3048","-34.1973","-41.0283","-14.2997","1.8716","1.628","1.2431","1.0604","0.5919","0.6634","0.6726","0.92","0.88","0.7924","0.5706","0.4814","0.4847","0.3745","0.2944","0.3514","0.3196","0.4276","0.2483","0.3253","0.3399","0.3926","0.3991","0.4001","0.4136","0.4249","0.4401","0.2849","0.2707","0.2798","0.2799"
"Total Debt To Total Assets","0.5385","0.5477","0.5194","0.5858","0.5944","0.5555","0.5211","0.5429","0.3709","0.3603","0.3262","0.2792","0.2064","0.2123","0.2077","0.2042","0.202","0.1948","0.1469","0.1551","0.153","0.123","0.1102","0.1451","0.1381","0.1629","0.1057","0.131","0.1386","0.1546","0.1524","0.1567","0.1569","0.153","0.1501","0.1261","0.122","0.1245","0.1242"
"Interest Coverage","5.0","3.3333","8.5208","6.4074","4.0741","1.449","8.4118","5.3256","6.2821","3.85","-8.0488","8.4516","30.1034","6.24","13.6786","11.2069","7.2188","9.2","15.05","21.25","16.3125","18.2857","19.2667","12.7222","18.2381","16.4","12.3438","11.7931","9.1143","3.4848","28.95","0.7347","1.8","-9.7714","55.625","34.3333","-4.1","-129.5","-1.0"
"Current Ratio","1.332","1.288","1.3","1.76","1.734","1.969","2.106","2.359","2.857","2.976","3.057","2.37","2.417","2.241","2.18","2.317","2.448","2.55","2.219","2.327","2.416","2.059","2.298","2.33","2.486","2.215","1.969","1.995","2.03","2.019","1.941","2.016","1.92","1.735","1.635","1.673","1.747","1.739","1.778"
"Income Quality","1.3206","1.8442","2.1111","1.8125","2.7196","0.7647","1.4839","2.6174","1.0563","2.1081","-3.0846","-0.9592","0.21","0.3622","2.1667","0.4919","0.3217","-0.1615","1.6786","0.8835","1.3901","0.4522","0.0272","3.8906","-0.1461","0.8491","-1.7637","5.3545","1.5185","7.0","6.162","51.3333","5.7692","4.3896","0.1001","-0.4534","51.0","1.768","4.7"
"Payout Ratio","0.588","1.0","0.324","0.357","0.661","4.1","0.281","0.586","0.5","1.0","0.37","0.567","0.095","0.62","0.237","0.265","0.271","0.371","0.22","0.356","0.349","0.44","0.379","0.579","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.031","-0.278","-0.556","1.25",""
"Intangible Assets out of Total Assets","0.1949","0.1984","0.183","0.0693","0.0705","0.0652","0.0503","0.0523","0.0462","0.0414","0.0367","0.0314","0.0323","0.1318","0.0305","0.125","0.1235","0.1195","0.1191","0.119","0.1173","0.1149","0.1025","0.0981","0.0916","0.0863","0.0559","0.1062","0.114","0.112","0.106","0.1127","0.1124","0.1095","0.1018","0.1314","0.1292","0.1323","0.1292"
"Selling, General and Administrative Expense of Revenue","0.1617","0.1811","0.1476","0.1612","0.1678","0.1961","0.1498","0.1821","0.1857","0.2093","0.1547","0.1999","0.2211","0.25","0.1904","0.2109","0.2265","0.2331","1.5","0.2253","0.2309","0.2413","0.2165","0.2259","0.2429","0.2514","0.2383","0.2395","0.2433","0.2609","0.0917","0.1656","0.1495","0.1618","0.2716","0.1396","0.138","0.1588","0.132"
"Research and Development Expense of Revenue","0.0922","0.1054","0.0754","0.0894","0.0965","0.1132","0.0904","0.1076","0.114","0.13","0.0905","0.1156","0.1263","0.1417","0.1079","0.1206","0.1303","0.1328","0.4167","0.1217","0.1252","0.1299","0.1157","0.1295","0.131","0.1303","0.1251","0.1373","0.1389","0.1483","0.1492","0.1432","0.141","0.1577","0.142","0.1336","0.1297","0.1415","0.1137"
