"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","17.938","16.962","16.402","18.977","18.473","20.175","20.97","21.285","23.497","23.693","24.907","29.547","31.22","31.447","31.225","28.427","26.929","26.41","26.646","25.878","24.785","25.592","24.489","25.8","26.202","24.434","23.184","22.777","21.386","21.086","21.092","19.312","17.551","15.48","14.693","15.081","15.918","15.917","16.178"
"Tangible Book Value per Share","62.135","60.143","57.446","59.514","56.455","54.624","50.497","54.119","55.481","50.773","50.267","53.832","54.047","53.295","52.847","52.917","52.184","49.816","46.784","48.368","47.682","48.881","51.236","54.136","55.629","53.93","52.403","40.787","35.773","34.501","34.777","34.234","33.611","32.904","33.382","35.706","34.93","33.903","31.656"
"FCF per Share","4.29","2.182","3.027","4.424","3.997","1.013","4.045","3.825","3.157","1.426","3.911","3.589","3.021","0.896","2.777","3.443","2.433","0.155","2.593","2.693","2.13","0.075","2.173","1.896","2.073","-0.34","0.836","2.029","1.953","1.009","0.618","1.987","1.855","0.722","1.142","1.769","1.834","0.377","1.079"
"Interest Debt per Share","37.6442","37.1619","33.7144","32.1435","26.8187","25.9643","21.3008","22.6077","22.572","18.633","15.6435","16.8812","16.0507","15.8609","13.7924","13.4445","15.3273","14.5174","12.5217","13.4743","14.6735","15.0221","15.8323","18.3152","19.8134","21.691","20.4686","10.1057","8.799","8.7873","8.7067","9.7672","12.0056","14.1937","13.2577","15.3495","14.0178","13.9965","11.0391"
"Cash per Share","5.6826","6.3586","5.9837","5.5405","4.305","4.1066","3.5724","4.4758","5.3624","2.6804","2.9512","4.3962","3.8182","3.9429","3.7359","3.0928","3.9913","3.0762","3.276","3.4161","4.3101","4.9535","7.3861","8.2642","10.2745","12.019","13.4486","4.3075","3.3275","2.5441","2.522","3.3783","3.5537","3.8884","2.2795","3.2797","2.481","2.2974","2.2605"
"Debt to Equity Ratio","2.0986","2.1909","2.0555","1.6939","1.4518","1.287","1.0158","1.0621","0.9606","0.7864","0.6281","0.5713","0.5141","0.5044","0.4417","0.4729","0.5692","0.5497","0.4699","0.5207","0.592","0.587","0.6465","0.7099","0.7562","0.8878","0.8829","0.4437","0.4114","0.4167","0.4128","0.5057","0.684","0.9169","0.9023","1.0178","0.8806","0.8793","0.6824"
"Total Debt To Total Assets","0.4312","0.4373","0.4126","0.3817","0.3464","0.3436","0.3009","0.3033","0.2997","0.2652","0.225","0.2302","0.2177","0.2182","0.1919","0.187","0.2164","0.2124","0.1922","0.2016","0.2232","0.2241","0.2292","0.2534","0.2708","0.3047","0.2984","0.1757","0.169","0.1729","0.1708","0.196","0.244","0.2943","0.2729","0.298","0.2763","0.2828","0.2363"
"Interest Coverage","16.524","15.7071","25.4747","19.6025","16.0134","14.1327","24.9069","17.6344","15.6999","13.3365","24.0194","19.6673","17.3529","14.4811","24.3302","18.5987","17.3942","13.803","24.9919","18.1704","15.3228","12.9025","20.8152","15.7731","15.2897","12.08","21.7719","17.0396","15.7285","10.74","16.4399","9.1603","6.6194","7.6844","13.778","10.7131","11.9514","9.2693","15.3684"
"Current Ratio","1.552","1.627","1.526","1.524","1.523","1.591","1.425","1.463","1.575","1.278","1.251","1.341","1.384","1.748","1.62","1.575","1.72","1.733","1.538","1.51","1.646","1.724","1.671","1.706","1.94","2.13","2.112","1.298","1.306","1.302","1.306","1.528","1.672","1.808","1.579","1.55","1.601","1.66","1.526"
"Income Quality","1.3563","0.7311","1.11","1.371","1.5187","0.632","1.111","1.4184","1.3563","0.9293","1.1609","1.4973","1.4608","0.7381","0.985","1.652","1.3171","0.4505","1.0678","1.4398","1.4789","0.3974","1.0948","1.2334","1.446","0.1393","0.7793","1.3855","1.4561","1.175","0.6355","1.9155","2.6693","1.0293","0.9936","1.4527","1.5532","0.213","0.9266"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2882","0.2923","0.297","0.2932","0.2708","0.2772","0.2866","0.274","0.2633","0.2775","0.2772","0.2661","0.2669","0.2669","0.2649","0.264","0.2633","0.271","0.2818","0.2762","0.2747","0.2707","0.2583","0.251","0.2397","0.2425","0.2361","0.2908","0.3128","0.3211","0.3178","0.313","0.3169","0.3177","0.3129","0.3067","0.3114","0.3151","0.3222"
"Selling, General and Administrative Expense of Revenue","0.2961","0.3098","0.2652","0.2885","0.3087","0.313","0.2634","0.2906","0.3003","0.323","0.2678","0.2965","0.3007","0.3127","0.2628","0.2931","0.2997","0.3166","0.2668","0.2956","0.2981","0.3131","0.2844","0.3091","0.3066","0.3236","0.278","0.2964","0.3065","0.324","0.2716","0.2977","0.3006","0.3048","0.2717","0.286","0.3047","0.3158","0.2802"
"Research and Development Expense of Revenue","0.0503","0.0528","0.0425","0.0463","0.0505","0.0537","0.0462","0.0492","0.0512","0.0531","0.0449","0.0482","0.0528","0.0536","0.0447","0.0491","0.0501","0.0528","0.0426","0.0482","0.049","0.0535","0.0464","0.05","0.0528","0.0528","0.0446","0.051","0.0493","0.0539","0.0464","0.0512","0.0542","0.0577","0.0486","0.0522","0.0518","0.0553","0.0486"
"Working Capital","324944000.0","351703000.0","309269000.0","325253000.0","309152000.0","321907000.0","237120000.0","274900000.0","333124000.0","177147000.0","170540000.0","222028000.0","246007000.0","380910000.0","349799000.0","309900000.0","366350000.0","350643000.0","302243000.0","283125000.0","337974000.0","380163000.0","409019000.0","435863000.0","532174000.0","592784000.0","602709000.0","180705000.0","161890000.0","150848000.0","151432000.0","224094000.0","258625000.0","291255000.0","245993000.0","259840000.0","272500000.0","282343000.0","235436000.0"
"Tangible Asset Value","1600059000.0","1559636000.0","1523344000.0","1569719000.0","1503467000.0","1471100000.0","1397799000.0","1490849000.0","1544811000.0","1427485000.0","1452241000.0","1546702000.0","1571404000.0","1565276000.0","1582559000.0","1577905000.0","1571775000.0","1509408000.0","1452373000.0","1491958000.0","1490907000.0","1541311000.0","1634321000.0","1719372000.0","1779994000.0","1741442000.0","1743992000.0","1352944000.0","1199699000.0","1164671000.0","1172553000.0","1154692000.0","1132361000.0","1106613000.0","1143335000.0","1208898000.0","1204088000.0","1190635000.0","1137427000.0"
"Net Current Asset Value","-872278000.0","-851047000.0","-835050000.0","-774361000.0","-669525000.0","-625241000.0","-583546000.0","-598879000.0","-530034000.0","-494687000.0","-440085000.0","-385603000.0","-349318000.0","-321428000.0","-303780000.0","-447499000.0","-446959000.0","-441446000.0","-330832000.0","-424798000.0","-419676000.0","-400888000.0","-403474000.0","-422882000.0","-404705000.0","-392672000.0","-366584000.0","-365355000.0","-337739000.0","-353818000.0","-361542000.0","-380795000.0","-422726000.0","-449274000.0","-489944000.0","-501015000.0","-473921000.0","-469389000.0","-413719000.0"
"Invested Capital","1834305000.0","1797268000.0","1671185000.0","1650538000.0","1511921000.0","1514966000.0","1330326000.0","1396927000.0","1444456000.0","1238295000.0","1140042000.0","1254539000.0","1286681000.0","1406114000.0","1319524000.0","1347598000.0","1404190000.0","1377776000.0","1177408000.0","1246976000.0","1291944000.0","1333375000.0","1293891000.0","1421313000.0","1519221000.0","1529343000.0","1435432000.0","939252000.0","854219000.0","876503000.0","886405000.0","945759000.0","1032135000.0","1092552000.0","1094470000.0","1145225000.0","1148344000.0","1173872000.0","1005074000.0"
"Average Receivables","428035000.0","413354500.0","433204000.0","402573500.0","405188000.0","384840500.0","423534000.0","400720000.0","414949500.0","403773000.0","451175500.0","406804000.0","422763000.0","417905500.0","452046500.0","404639000.0","407634500.0","399884000.0","431268500.0","402486000.0","389663500.0","377348000.0","397041500.0","365178000.0","346080000.0","334849500.0","340967000.0","308459500.0","298183500.0","296507000.0","330806000.0","312723000.0","317285000.0","315880000.0","351605000.0","320193500.0","324518000.0","316769000.0","330737500.0"
"Average Payables","137747500.0","129181500.0","144334000.0","133107500.0","135238500.0","126101500.0","143985500.0","132868500.0","139347000.0","125397500.0","145944500.0","124918500.0","131430000.0","117903000.0","144177500.0","125323500.0","126371500.0","124331000.0","155235500.0","148950500.0","140743500.0","133120500.0","153107000.0","144629000.0","131235000.0","117592000.0","120632500.0","106674500.0","97762000.0","89451500.0","107301000.0","99534500.0","95891000.0","92075500.0","119275500.0","101500500.0","100082500.0","98245000.0","111540000.0"
"Average Inventory","243870000.0","234849000.0","218215000.0","232763500.0","228640500.0","222993000.0","209457000.0","222628000.0","223861500.0","221541500.0","207472500.0","219446000.0","213868000.0","211997000.0","204676500.0","217035500.0","210259500.0","218875000.0","220180000.0","240122000.0","242692500.0","242683000.0","229262500.0","240333500.0","226663500.0","212118500.0","192573000.0","190038500.0","171511000.0","167629500.0","169327500.0","179516000.0","181165500.0","179042000.0","172169000.0","182782500.0","183749000.0","180231000.0","161048500.0"
