"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","23.987","21.807","20.805","22.588","20.48","20.975","19.919","20.007","19.522","21.706","8.692","9.055","8.919","8.526","7.809","8.415","7.683","7.303","8.212","8.88","7.579","8.814","8.186","8.165","8.93","8.93","9.672","11.408","9.602","10.315","10.239","10.02","9.496","8.595","9.056","9.785","10.285","10.375","12.407"
"Tangible Book Value per Share","19.632","19.66","20.675","21.566","30.312","20.006","19.718","18.966","21.946","24.491","25.158","22.573","23.525","22.919","22.396","19.762","18.048","16.094","15.221","14.228","13.426","13.449","12.775","12.507","13.394","13.057","14.598","17.05","17.265","17.091","16.631","16.313","15.195","15.06","15.746","16.632","16.355","16.319","16.472"
"FCF per Share","0.966","0.738","0.372","2.067","0.689","0.059","1.013","1.813","0.083","0.524","0.034","1.009","0.277","0.526","0.921","0.79","0.299","0.088","0.358","1.028","0.57","-0.334","0.423","0.535","0.274","-0.199","0.263","1.098","0.276","0.718","-0.042","0.59","0.616","0.313","0.236","0.185","-0.637","0.937","0.094"
"Interest Debt per Share","28.1456","28.1126","29.0835","30.2089","26.7316","15.2605","15.0426","13.0767","17.3232","20.4091","22.7002","21.6006","22.0016","22.0371","21.3164","16.5031","16.3176","15.9267","14.0959","13.191","13.492","12.7529","12.422","12.5315","13.0492","12.6705","14.5895","17.3561","16.8918","16.9778","16.9357","17.3727","16.8429","16.7781","17.1912","18.0594","17.4601","17.5032","19.1826"
"Cash per Share","1.1454","1.3542","1.8694","2.3999","12.6128","2.4488","2.5214","1.1967","0.8972","0.6632","0.602","0.5335","0.5187","0.6527","0.7733","0.955","0.7276","0.7488","0.8603","0.8211","0.7513","0.6244","0.8793","1.2246","1.0597","1.4456","1.8422","2.0512","2.7753","1.8576","1.4012","2.1218","1.5919","1.6189","1.9619","2.3009","1.704","2.4083","1.7652"
"Debt to Equity Ratio","1.1734","1.2891","1.3979","1.3374","1.3053","0.7276","0.7552","0.6536","0.8874","0.9402","2.6117","2.3855","2.4668","2.5846","2.7296","1.9612","2.124","2.1809","1.7165","1.4855","1.7803","1.4469","1.5175","1.5348","1.4613","1.4189","1.5084","1.5214","1.7592","1.6459","1.654","1.7339","1.7738","1.9521","1.8984","1.8457","1.6976","1.6871","1.5461"
"Total Debt To Total Assets","0.4241","0.4384","0.4475","0.4329","0.4676","0.3301","0.3311","0.3009","0.3725","0.3856","0.5375","0.5325","0.5271","0.5343","0.525","0.4888","0.5094","0.5269","0.4806","0.458","0.4887","0.4566","0.4569","0.4806","0.4709","0.4663","0.4709","0.4708","0.4925","0.4816","0.4794","0.4928","0.5015","0.5164","0.5029","0.4987","0.4619","0.459","0.4635"
"Interest Coverage","3.3822","1.5181","2.5013","-1.2528","3.2492","1.2703","4.079","5.7855","2.9233","1.7711","4.3061","5.9142","2.6123","2.8259","3.4171","3.636","3.6736","2.7769","3.5581","4.4716","3.503","2.9163","2.584","3.233","3.392","2.5418","0.9672","2.4983","2.2785","2.7167","0.5605","0.7877","2.5229","2.6883","0.2756","6.0589","0.8868","-3.7576","-8.7275"
"Current Ratio","1.347","1.562","1.492","0.834","3.229","1.674","1.57","1.761","1.47","1.404","1.214","1.3","1.721","1.639","1.509","1.696","1.811","1.731","1.779","1.729","1.734","1.771","1.392","1.52","1.491","1.57","1.967","2.011","2.227","2.046","1.912","2.06","2.126","2.173","2.055","1.876","1.65","1.57","1.528"
