"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41274.0","",""
"Book Value per Share","12.643","12.623","12.668","11.968","11.425","11.254","10.919","10.523","10.312","10.269","10.365","10.014","9.528","13.098","12.988","10.63","",""
"Tangible Book Value per Share","427.486","405.626","412.555","402.029","396.509","385.472","372.461","371.604","366.598","360.108","360.452","337.287","337.922","365.459","366.634","379.857","",""
"FCF per Share","0.982","1.211","0.832","1.106","1.332","1.009","1.26","1.095","1.459","1.254","0.121","1.21","1.315","1.307","1.309","1.096","0.966","1.173"
"Interest Debt per Share","409.6286","386.6644","392.8151","384.4419","378.9037","369.5664","355.8743","355.3089","349.9685","342.7638","344.516","322.0795","322.8318","346.1429","346.6429","361.8845","",""
"Cash per Share","16.9357","17.5917","16.6199","17.5484","15.4969","14.708","14.8939","15.1789","14.6037","14.6985","13.2568","13.5542","12.4384","17.6487","20.3687","18.7206","",""
"Debt to Equity Ratio","32.4","30.6321","31.0089","32.1232","33.1631","32.8396","32.5922","33.7649","33.9369","33.379","33.237","32.1615","33.8809","26.4264","26.6885","34.0429","",""
"Total Debt To Total Assets","0.953","0.9479","0.9469","0.951","0.9504","0.9536","0.9504","0.9524","0.9509","0.9482","0.9534","0.9524","0.9529","0.9446","0.943","0.9503","",""
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Income Quality","2.4554","3.9773","1.6644","1.4913","3.432","1.8895","1.652","1.7046","3.0549","1.7089","0.1944","1.3983","1.8197","2.6075","2.1515","1.8745","0.79","1.5513"
"Payout Ratio","0.4","0.516","0.32","0.216","0.41","0.302","0.211","0.25","0.333","0.219","0.242","0.172","0.208","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.0055","0.0056","0.0055","0.0055","0.0054","0.0053","0.0053","0.004","0.0039","0.0038","0.0025","0.0026","0.0026","0.0027","0.0027","0.0025","",""
"Selling, General and Administrative Expense of Revenue","0.3039","0.3377","0.2415","0.1977","0.2805","0.2467","0.183","0.1735","0.2083","0.174","0.1781","0.1412","0.1503","0.1891","0.1837","0.1936","0.1193","0.1555"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tangible Asset Value","119696000000.0","117226000000.0","120466000000.0","124629000000.0","127676000000.0","130675000000.0","133341000000.0","137122000000.0","139674000000.0","143323000000.0","145983000000.0","139974000000.0","142603000000.0","156051000000.0","159119000000.0","180812000000.0","",""
"Invested Capital","229650000000.0","223888000000.0","230315000000.0","238366000000.0","244693000000.0","250972000000.0","255412000000.0","262630000000.0","267448000000.0","273893000000.0","280143000000.0","268012000000.0","273589000000.0","296318000000.0","300722000000.0","344158000000.0","",""
"Average Receivables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
"Average Payables","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
