"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","33.757","32.096","32.869","34.777","34.751","34.762","34.152","32.83","33.899","32.838","34.551","36.252","36.357","36.824","36.903","36.185","35.357","31.386","31.576","30.769","29.178","29.714","28.085","28.163","29.15","28.527","23.847","24.996","22.488","23.265","23.366","24.415","22.219","21.003","21.409","23.782","23.614","33.171","19.407"
"Tangible Book Value per Share","38.268","38.01","36.495","35.43","37.03","36.421","27.442","25.857","27.435","29.006","26.577","27.718","27.744","26.224","23.9","23.223","21.243","13.641","13.017","11.918","12.933","12.29","41.664","36.447","40.215","62.167","47.315","17.927","18.589","19.59","20.33","28.337","27.151","32.368","33.352","15.654","14.297","19.118","15.969"
"FCF per Share","1.465","1.247","1.332","0.163","0.887","1.416","1.023","0.201","0.83","1.226","1.062","-0.018","0.967","0.897","1.205","0.281","0.489","0.779","1.261","0.096","1.088","0.531","1.106","-0.119","1.387","0.914","0.874","0.109","1.104","-0.128","1.616","-0.059","0.628","0.332","1.943","-2.106","0.2","1.1","0.454"
"Interest Debt per Share","21.504","21.7155","21.8095","22.4171","22.6788","15.651","14.3939","14.4143","13.5276","13.6589","13.6999","13.8974","14.1091","14.8382","15.7182","16.2431","16.7979","11.8664","11.9803","11.9","11.7392","11.5753","33.0853","28.7219","32.6532","50.77","29.1237","9.7973","9.8538","9.8895","9.9113","10.3038","11.4532","12.153","12.6076","12.7857","8.2311","11.819","1.0409"
"Cash per Share","2.2642","2.7827","2.5302","1.6681","2.2247","2.1478","2.1737","1.8232","2.0223","2.0553","2.839","1.855","2.0683","2.7622","2.8763","2.2769","2.7806","4.0681","3.5286","3.1098","3.0995","3.2471","3.0478","3.3545","3.6055","2.8322","1.8954","1.919","2.6747","2.7384","2.9563","2.2985","2.825","2.3375","2.5725","3.6909","3.7059","5.293","11.6474"
"Debt to Equity Ratio","0.637","0.6766","0.6635","0.6446","0.6526","0.4502","0.4215","0.4391","0.3991","0.4159","0.3965","0.3834","0.3881","0.4029","0.4259","0.4489","0.4751","0.3781","0.3794","0.3868","0.4023","0.3896","1.1781","1.0199","1.1202","1.7797","1.2213","0.3919","0.4382","0.4251","0.4242","0.422","0.5155","0.5786","0.5889","0.5376","0.3486","0.3563","0.0536"
"Total Debt To Total Assets","0.2423","0.2499","0.2546","0.2505","0.2471","0.187","0.1993","0.2069","0.1885","0.1884","0.1903","0.1848","0.1836","0.1937","0.2094","0.2177","0.233","0.214","0.2164","0.2226","0.2236","0.2225","0.416","0.3866","0.4058","0.4952","0.3555","0.1918","0.2071","0.1988","0.1951","0.1693","0.1985","0.1971","0.1979","0.2501","0.1833","0.1869","0.0398"
"Interest Coverage","6.9167","6.8649","-9.9459","6.3784","5.5625","7.9643","8.8214","8.3571","8.1481","1.5","4.3448","7.1724","6.4","6.2","8.8333","6.3438","6.1923","3.4583","7.4167","6.5833","6.25","6.75","5.6154","6.7","5.2581","5.7813","6.7692","6.76","6.6538","4.6","3.08","4.2692","5.6","6.2593","3.1765","4.3103","7.125","20.5","2.8115"
"Current Ratio","0.987","1.012","1.117","1.072","1.067","1.066","1.116","1.108","1.095","1.072","1.141","1.114","1.086","0.984","1.13","1.135","1.08","1.443","1.466","1.651","1.429","1.637","1.09","1.14","1.086","1.039","1.034","1.217","1.237","1.253","1.181","1.124","1.107","1.069","1.069","1.318","1.356","1.368","4.091"
