"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","55.409","54.539","52.089","51.602","50.236","49.755","49.063","49.148","47.897","45.749","45.721","44.06","42.453","41.892","41.934","41.078","39.358","38.485","38.257","37.887","38.043","36.922","35.895","35.666","35.754","35.111","34.938","34.439","33.086","32.726","31.899","31.429","30.329","29.826","29.13","28.806","26.548","26.845","26.952"
"Tangible Book Value per Share","198.525","195.091","192.581","189.648","185.172","183.794","179.263","176.091","173.291","169.408","171.27","166.152","164.916","162.24","161.102","158.485","154.616","151.646","153.426","147.982","145.518","143.602","137.372","135.565","130.864","128.083","128.036","128.338","125.236","125.011","119.208","116.403","114.947","112.612","111.773","113.581","109.437","103.558","100.736"
"FCF per Share","1.735","-1.022","0.259","2.271","1.394","0.608","1.167","1.189","1.823","0.803","1.584","2.536","0.931","-0.288","2.106","0.96","1.219","0.71","-0.64","0.611","-0.378","-0.956","-0.903","-0.831","0.079","0.414","0.894","0.871","0.267","0.123","0.873","0.918","1.013","0.967","0.958","-0.794","0.37","1.674","0.537"
"Interest Debt per Share","73.785","72.4364","65.9961","68.3725","70.0369","70.3757","64.5229","66.6461","66.8328","66.6199","65.8884","67.7169","68.9933","68.0854","66.0762","67.7442","66.9322","66.3278","65.1405","62.8428","59.8795","58.1373","55.1693","53.8356","51.4584","51.1159","50.3068","49.8126","49.3837","50.3387","46.4674","44.0484","43.2153","42.354","42.6085","42.5425","36.6683","35.1741","34.3912"
"Cash per Share","1.3721","1.2834","2.7648","1.4699","1.5825","1.3637","1.241","2.6007","1.2368","1.0604","1.3246","1.1162","1.4328","1.1257","1.0181","1.3167","0.9744","0.5107","0.7833","0.5867","0.7108","0.667","0.9056","1.5333","0.6884","1.0221","0.7296","1.925","2.0274","2.9816","0.5855","0.4048","0.6837","0.6861","1.3342","3.976","1.0605","1.5109","0.7281"
"Debt to Equity Ratio","1.3316","1.3282","1.267","1.325","1.3941","1.4145","1.3151","1.356","1.3954","1.4562","1.4411","1.5369","1.6252","1.6253","1.5757","1.6491","1.7006","1.7235","1.7027","1.6587","1.574","1.5746","1.537","1.5094","1.4392","1.4559","1.4399","1.4464","1.4926","1.5382","1.4567","1.4015","1.4249","1.42","1.4627","1.4769","1.3812","1.3102","1.276"
"Total Debt To Total Assets","0.3717","0.3713","0.3427","0.3605","0.3782","0.3829","0.3599","0.3785","0.3857","0.3933","0.3847","0.4076","0.4184","0.4197","0.4102","0.4274","0.4329","0.4374","0.4246","0.4247","0.4115","0.4049","0.4016","0.3971","0.3932","0.3991","0.3929","0.3881","0.3943","0.4027","0.3898","0.3784","0.376","0.3761","0.3812","0.3746","0.3351","0.3397","0.3414"
"Interest Coverage","3.5163","7.2722","-2.7984","4.1734","2.2608","2.7583","3.5217","5.1801","4.5357","3.9159","5.1651","3.9715","3.5705","2.8276","2.5236","4.4549","4.0865","2.5294","3.3374","3.1969","4.1481","3.3321","4.55","3.1321","3.8398","1.9291","2.0648","4.8866","3.0","4.2353","2.8486","4.5049","3.0512","2.8152","3.3843","6.5911","1.8205","2.402","2.1048"
"Current Ratio","0.664","0.597","0.679","0.645","0.574","0.67","0.672","0.642","0.674","0.671","0.719","0.588","0.629","0.597","0.636","0.594","0.534","0.461","0.59","0.563","0.635","0.636","0.725","0.843","0.753","0.671","0.762","0.804","0.744","0.714","0.673","0.637","0.732","0.776","0.701","0.742","0.657","0.728","0.656"
