"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","7.215","6.906","6.236","5.896","5.638","5.413","5.199","5.077","4.778","4.507","4.399","4.095","3.833","3.531","3.203","2.911","2.714","2.075","1.915","1.844","1.771","1.709","1.714","1.055","0.909","0.747","0.788","0.526","0.481","0.396","0.532","0.591","0.801","0.842","0.842","0.768","0.901","0.809","0.943"
"Tangible Book Value per Share","7.626","5.349","6.017","4.75","5.838","6.408","6.977","7.799","8.236","8.399","4.98","5.08","5.216","5.009","3.879","3.663","3.523","3.561","2.812","2.846","2.848","2.83","2.939","1.864","1.759","1.697","1.685","1.402","1.378","1.305","1.425","0.902","1.131","1.192","1.208","1.089","1.2","1.002","1.208"
"FCF per Share","-1.408","-0.979","-1.482","-1.181","-0.595","-0.608","-0.651","-0.582","-0.538","-0.386","-0.183","-0.176","0.036","0.019","0.007","0.02","0.029","-0.116","-0.138","-0.057","0.021","0.002","0.084","0.04","0.16","0.211","0.134","0.014","0.083","0.092","0.051","0.065","0.065","0.037","0.124","0.062","0.032","0.011","0.047"
"Interest Debt per Share","11.2113","7.8157","7.8286","5.5345","5.5383","5.5411","5.5446","5.6223","5.6425","5.6654","2.0979","2.1368","2.143","2.1494","1.2008","1.2084","1.2275","1.7866","1.0285","1.0288","1.0291","1.0304","1.0663","0.6377","0.6403","0.6382","0.5433","0.6485","0.6455","0.6416","0.6353","0.0974","0.0952","0.0945","0.0949","0.0931","0.0916","0.0","0.08"
"Cash per Share","4.4478","2.5031","3.415","2.2594","3.2462","3.7495","4.2305","4.9557","5.393","5.7947","2.6373","2.8092","2.8912","2.7643","1.4529","1.0611","0.91","1.067","0.7464","0.9524","1.0349","1.0201","1.3543","0.4326","0.477","0.4073","0.5284","0.3099","0.2921","0.2156","0.3583","0.1418","0.2159","0.28","0.3393","0.2637","0.3336","0.3846","0.3892"
"Debt to Equity Ratio","1.5539","1.1317","1.2554","0.9387","0.9823","1.0237","1.0665","1.1074","1.1811","1.2571","0.4769","0.5218","0.5591","0.6088","0.3749","0.4152","0.4522","0.8611","0.5371","0.558","0.5812","0.603","0.6223","0.6042","0.7041","0.8549","0.6893","1.2329","1.3426","1.6194","1.195","0.1649","0.1189","0.1122","0.1127","0.1212","0.1017","0.0","0.0849"
"Total Debt To Total Assets","0.2928","0.2344","0.2476","0.1923","0.2047","0.2106","0.2324","0.242","0.2486","0.2597","0.1258","0.1328","0.1423","0.1488","0.0924","0.102","0.1116","0.1604","0.1008","0.105","0.115","0.1149","0.1303","0.1196","0.1497","0.2162","0.2037","0.3073","0.3417","0.3665","0.3501","0.0778","0.0652","0.0618","0.0636","0.0675","0.0613","0.0","0.0537"
"Interest Coverage","1.2516","5.7878","3.0711","3.2267","2.445","2.1222","1.5851","2.1954","2.1497","2.4372","4.4087","8.2325","9.8064","9.8484","10.9494","7.6556","7.1967","1.138","3.9713","3.394","3.1284","-0.4123","12.5004","20.0484","21.8984","21.1932","16.4303","14.2273","15.9949","11.9615","12.5181","75.8828","79.5964","56.8373","57.2718","52.5997","53.7518","54.3026","85.4339"
"Current Ratio","1.308","1.153","1.247","1.177","1.33","1.409","1.539","1.667","1.739","1.841","1.475","1.5","1.571","1.585","1.42","1.472","1.539","1.514","1.337","1.392","1.426","1.423","1.495","1.229","1.334","1.472","1.64","1.577","1.709","1.559","1.807","1.154","1.622","1.609","1.662","1.45","1.749","1.437","2.07"
