"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","43.695","43.114","42.505","42.228","41.5","40.989","40.821","40.244","39.616","39.55","40.098","40.189","39.003","37.754","36.545","32.999","32.334","32.145","30.882","30.568","30.016","29.73","29.488","29.488","30.086","29.769","29.361","29.269","29.079","28.578","28.141","27.38","26.861","26.497","25.945","26.775","26.592","25.903","25.119"
"Tangible Book Value per Share","120.511","120.959","119.517","117.977","116.096","113.297","114.342","111.242","109.267","106.616","107.29","107.284","106.702","105.581","105.153","100.544","97.131","97.289","96.006","93.391","89.608","88.977","84.908","81.406","80.625","77.864","77.604","76.128","74.672","75.016","74.394","73.646","72.562","72.439","71.019","71.208","70.296","70.323","67.514"
"FCF per Share","1.07","1.525","0.623","1.891","0.159","1.653","0.375","-0.574","1.286","0.83","-0.404","1.176","1.431","0.739","0.673","1.132","1.038","1.154","0.047","0.911","0.411","1.745","-0.744","1.636","1.735","0.615","0.107","1.27","0.897","1.358","0.348","1.123","-0.022","0.306","0.597","1.591","0.386","0.805","0.245"
"Interest Debt per Share","34.0704","34.8266","34.9795","34.4235","34.1485","31.8513","33.8045","31.5077","30.8021","29.049","29.0361","28.8225","29.8631","30.2019","30.5849","28.6774","26.9036","26.9779","27.4709","26.5401","24.5546","24.2835","22.4334","19.6593","19.7782","18.5814","19.3328","18.8136","18.0756","19.0096","19.4431","19.2173","19.295","18.9243","18.0053","17.2468","17.2692","17.2534","16.4446"
"Cash per Share","2.2155","3.2868","3.2746","3.3521","2.9283","1.9752","3.6876","1.4367","2.9162","1.7046","3.1444","4.6266","5.3836","4.9142","4.6713","3.1543","1.863","2.1366","2.0662","2.1689","1.0928","2.511","0.8212","0.6959","1.9195","0.6627","2.2759","3.0628","2.3105","3.1408","2.7073","2.7174","1.9671","2.4123","1.669","1.4845","1.2082","0.9672","0.532"
"Debt to Equity Ratio","0.7797","0.8078","0.823","0.8152","0.8229","0.7771","0.8281","0.7829","0.7775","0.7345","0.7241","0.7172","0.7657","0.8","0.8369","0.869","0.8321","0.8393","0.8895","0.8682","0.8181","0.8168","0.7608","0.6667","0.6574","0.6242","0.6584","0.6428","0.6216","0.6652","0.6909","0.7019","0.7183","0.7142","0.694","0.6441","0.6494","0.6661","0.6547"
"Total Debt To Total Assets","0.2827","0.2879","0.2927","0.2918","0.2941","0.2811","0.2956","0.2832","0.2819","0.2725","0.2706","0.2687","0.2799","0.2861","0.2909","0.2852","0.277","0.2773","0.2861","0.2842","0.274","0.2729","0.2642","0.2415","0.2453","0.2386","0.2491","0.2471","0.2421","0.2534","0.2614","0.2609","0.2659","0.2612","0.2535","0.2422","0.2457","0.2453","0.2436"
"Interest Coverage","6.5714","5.6127","5.5141","5.8958","5.6087","5.3165","4.6901","6.2847","6.2164","4.75","7.124","7.4638","7.4604","4.9856","6.7153","6.7099","6.7578","6.4031","5.814","6.1613","7.9098","6.45","7.2328","8.7544","8.0442","5.5982","5.887","7.3186","6.5217","4.8319","4.9244","5.0763","4.4602","3.4188","7.4196","8.4054","7.5446","5.367","6.6667"
"Current Ratio","0.826","0.953","0.979","1.038","1.063","1.074","1.126","0.846","1.095","1.006","1.561","1.447","1.379","1.349","1.334","1.069","1.145","1.22","1.077","1.206","1.062","1.207","1.029","0.943","1.321","1.169","1.187","1.347","1.202","1.207","1.255","1.197","1.114","1.087","0.95","0.904","0.952","0.914","0.86"
"Income Quality","1.4688","1.9538","1.7356","1.913","1.3654","2.2713","1.9391","1.5642","2.0092","2.0355","1.1135","1.6261","1.5107","1.5978","1.3138","1.8631","1.6839","1.6067","1.4262","2.0224","1.1985","2.5244","0.9646","1.9206","1.8815","2.0062","1.4577","1.6764","1.5918","2.9494","1.5798","2.4158","1.17","2.0","1.4159","1.9558","1.0022","2.0756","1.3083"
"Payout Ratio","0.355","0.409","0.413","0.378","0.431","0.454","0.492","0.393","0.413","0.584","0.348","0.317","0.298","0.458","0.315","0.335","0.34","0.35","0.385","0.397","0.29","0.379","0.301","0.267","0.253","0.44","0.324","0.298","0.321","0.493","0.415","0.415","0.507","0.708","0.262","0.23","0.242","0.377","0.255"
"Intangible Assets out of Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Selling, General and Administrative Expense of Revenue","0.2666","0.2885","0.2659","0.2738","0.2718","0.2988","0.2788","0.2588","0.2669","0.305","0.2488","0.2408","0.235","0.2752","0.2641","0.2603","0.2591","0.2849","0.2705","0.2688","0.2519","0.2818","0.2624","0.2548","0.2579","0.292","0.2755","0.2769","0.2757","0.3123","0.2911","0.2899","0.2967","0.3289","0.2434","0.2446","0.2394","0.282","0.2539"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-407000000.0","-116000000.0","-48000000.0","85000000.0","132000000.0","135000000.0","281000000.0","-365000000.0","210000000.0","12000000.0","998000000.0","930000000.0","898000000.0","809000000.0","770000000.0","162000000.0","263000000.0","419000000.0","161000000.0","375000000.0","110000000.0","400000000.0","50000000.0","-111000000.0","562000000.0","265000000.0","389000000.0","678000000.0","391000000.0","453000000.0","457000000.0","367000000.0","198000000.0","176000000.0","-106000000.0","-221000000.0","-102000000.0","-191000000.0","-273000000.0"
"Tangible Asset Value","34922000000.0","35145000000.0","34892000000.0","34632000000.0","34334000000.0","33785000000.0","34139000000.0","33527000000.0","33310000000.0","32775000000.0","33200000000.0","33206000000.0","33040000000.0","32700000000.0","32483000000.0","31365000000.0","30605000000.0","30599000000.0","30342000000.0","29840000000.0","29191000000.0","29375000000.0","28538000000.0","28311000000.0","28478000000.0","27728000000.0","28199000000.0","28062000000.0","27633000000.0","27730000000.0","27369000000.0","27075000000.0","26633000000.0","26546000000.0","26297000000.0","26717000000.0","26414000000.0","26465000000.0","26144000000.0"
"Net Current Asset Value","-20324000000.0","-20291000000.0","-20192000000.0","-19919000000.0","-19822000000.0","-19596000000.0","-19439000000.0","-19396000000.0","-18820000000.0","-18502000000.0","-18014000000.0","-17755000000.0","-17697000000.0","-17877000000.0","-18119000000.0","-18577000000.0","-18339000000.0","-18166000000.0","-18340000000.0","-17874000000.0","-17529000000.0","-17228000000.0","-16876000000.0","-16231000000.0","-15536000000.0","-15295000000.0","-15059000000.0","-14640000000.0","-14544000000.0","-14520000000.0","-14770000000.0","-14776000000.0","-14838000000.0","-14642000000.0","-14691000000.0","-14589000000.0","-14396000000.0","-14681000000.0","-14742000000.0"
"Invested Capital","41810000000.0","41866000000.0","41809000000.0","41521000000.0","41460000000.0","40863000000.0","40900000000.0","40223000000.0","39608000000.0","39078000000.0","39432000000.0","38613000000.0","38252000000.0","38211000000.0","38183000000.0","36995000000.0","36680000000.0","36508000000.0","36290000000.0","35803000000.0","35060000000.0","34631000000.0","34101000000.0","32970000000.0","33033000000.0","32542000000.0","32315000000.0","31913000000.0","31530000000.0","31403000000.0","31737000000.0","31275000000.0","31255000000.0","30579000000.0","30241000000.0","30328000000.0","30321000000.0","30367000000.0","30358000000.0"
"Average Receivables","955500000.0","979500000.0","945500000.0","1031500000.0","1020000000.0","996500000.0","1000500000.0","1103000000.0","1088500000.0","1070500000.0","1039500000.0","1093000000.0","1097000000.0","1133500000.0","1066500000.0","1080500000.0","1079000000.0","1107000000.0","1065500000.0","1053500000.0","1038500000.0","995000000.0","914500000.0","968500000.0","941500000.0","900500000.0","786500000.0","881500000.0","846000000.0","849000000.0","818000000.0","965500000.0","942000000.0","978000000.0","906000000.0","1044500000.0","1042500000.0","1058000000.0","967000000.0"
"Average Payables","1154000000.0","1165000000.0","1153000000.0","1145500000.0","1114500000.0","1106500000.0","1162000000.0","1273500000.0","1194500000.0","1144000000.0","1249000000.0","1327000000.0","1212500000.0","1191000000.0","1313500000.0","1263500000.0","1153000000.0","1215500000.0","1227000000.0","1294500000.0","1190000000.0","1168000000.0","1136500000.0","1230000000.0","1159000000.0","1040000000.0","1077500000.0","1055500000.0","1004500000.0","969500000.0","1057000000.0","1102500000.0","1029500000.0","1144500000.0","1139500000.0","1176000000.0","1136000000.0","1210500000.0","1160000000.0"
"Average Inventory","297500000.0","298000000.0","264000000.0","294500000.0","291500000.0","291500000.0","253500000.0","268500000.0","264000000.0","254000000.0","229500000.0","236500000.0","239500000.0","243000000.0","219500000.0","230000000.0","235000000.0","237000000.0","212500000.0","224000000.0","221500000.0","209000000.0","189000000.0","195500000.0","190000000.0","185000000.0","166500000.0","175500000.0","183500000.0","185500000.0","179000000.0","191000000.0","195500000.0","192500000.0","185000000.0","191500000.0","188500000.0","177500000.0","163500000.0"
