"","42978.0","42886.0","42794.0","42704.0","42613.0","42521.0","42429.0","42338.0","42247.0","42155.0","42063.0","41973.0","41882.0","41790.0","41698.0","41608.0","41517.0","41425.0","41333.0","41243.0","41152.0","41060.0","40968.0","40877.0","40786.0","40694.0","40602.0","40512.0","40421.0","40329.0","40237.0","40147.0","40056.0","39964.0","39872.0","39782.0","39691.0","39599.0","39507.0","39416.0"
"Book Value per Share","13.465","13.041","12.324","11.808","11.516","11.406","10.968","10.834","10.91","11.164","10.958","10.764","10.639","10.478","9.944","9.606","9.449","9.536","9.155","8.97","8.903","8.828","8.563","8.316","8.078","7.852","7.241","6.822","6.388","6.135","5.678","5.495","5.219","5.023","4.611","4.451","4.623","4.473","4.043","3.765"
"Tangible Book Value per Share","20.065","20.404","18.283","17.921","20.098","17.522","15.629","15.738","16.126","16.153","13.134","13.076","14.472","12.176","11.273","11.124","11.182","10.216","9.86","9.876","9.019","9.155","8.605","8.682","8.765","8.709","7.498","7.5","7.01","6.341","5.803","5.619","5.439","4.265","3.717","3.533","4.045","4.056","3.542","3.182"
"FCF per Share","1.466","0.954","0.55","0.08","1.354","0.871","0.748","0.076","1.259","0.902","0.432","0.189","1.466","0.962","0.641","0.225","1.332","0.936","0.65","0.122","1.137","0.776","0.573","0.223","1.039","0.734","0.52","0.163","0.736","0.486","0.343","0.121","0.735","0.394","0.433","0.131","0.566","0.436","0.373","0.104"
"Interest Debt per Share","12.8227","14.0215","13.1402","13.2376","13.1236","10.5777","9.5901","9.8938","9.7406","9.6256","7.3495","7.348","7.3168","5.386","5.381","5.3288","5.2318","3.95","4.1715","4.1229","3.0349","3.3288","2.9513","2.9316","2.9216","3.1429","2.9171","3.3773","3.39","2.9193","3.1342","2.9445","2.9395","2.0496","2.2454","2.1919","2.1811","2.1826","1.2117","1.2172"
"Cash per Share","5.1302","5.2746","4.8084","4.5302","6.9468","4.8606","3.7262","4.1073","3.8775","4.9819","3.1217","3.657","5.4323","3.9716","3.7438","3.2842","4.2674","3.1211","3.4004","3.3205","3.219","3.0218","2.7523","2.6356","2.6002","3.1905","2.3461","2.0658","2.3912","1.9749","1.8606","2.9778","3.2138","1.8008","1.6406","1.4342","1.6601","1.6049","1.6334","1.3138"
"Debt to Equity Ratio","0.9523","1.0752","1.0662","1.121","1.1396","0.9274","0.8743","0.9132","0.8928","0.8622","0.6707","0.6827","0.6877","0.514","0.5411","0.5547","0.5537","0.4142","0.4557","0.4596","0.3409","0.3771","0.3447","0.3525","0.3617","0.4003","0.4029","0.495","0.5307","0.4758","0.552","0.5358","0.5632","0.4081","0.487","0.4924","0.4718","0.488","0.2997","0.3233"
"Total Debt To Total Assets","0.3989","0.429","0.4304","0.4395","0.4387","0.3909","0.3823","0.3939","0.3833","0.3783","0.3264","0.3302","0.3266","0.267","0.2795","0.2835","0.279","0.2261","0.2486","0.248","0.1929","0.2103","0.1987","0.2027","0.2002","0.2165","0.218","0.2533","0.2611","0.238","0.2647","0.274","0.2778","0.2159","0.25","0.2508","0.2378","0.2377","0.1672","0.175"
"Interest Coverage","6.5117","8.8191","6.9956","6.9534","6.7043","11.3094","8.5889","8.1914","7.1765","12.3405","12.5385","12.5922","11.4138","20.1167","15.25","14.9261","13.2719","24.0909","16.0732","17.8205","15.3723","23.8281","17.5684","16.4167","13.8698","22.3846","14.7206","13.3645","10.1582","16.2985","9.5054","11.7606","9.7263","18.327","12.7532","12.6306","10.0818","23.7984","23.8902","21.3933"
"Current Ratio","3.626","3.082","4.181","3.96","4.917","3.737","4.826","4.262","4.036","4.112","3.719","4.342","4.35","3.345","3.392","3.375","3.129","3.239","3.414","3.331","2.735","2.601","3.227","3.476","3.003","2.76","2.877","2.454","2.193","1.838","1.683","2.957","2.669","2.031","1.958","1.901","1.93","1.805","2.303","2.07"
