"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","39.507","35.577","33.941","34.707","33.971","37.184","35.295","35.05","36.807","36.164","38.728","44.215","44.713","43.258","42.183","40.802","38.448","36.264","35.7","34.402","32.416","36.961","34.142","32.357","33.198","33.864","31.694","30.37","27.124","28.667","28.328","27.922","26.591","27.813","28.431","28.3","31.354","30.38","28.398"
"Tangible Book Value per Share","57.031","56.104","60.486","60.927","60.948","60.398","57.843","58.158","60.018","59.121","56.951","57.434","59.855","58.521","56.834","55.12","53.781","54.492","45.57","45.935","47.33","45.503","42.013","40.639","41.313","44.536","40.471","41.036","37.097","35.871","34.793","35.49","35.381","34.335","37.196","38.896","39.159","36.984","35.192"
"FCF per Share","3.46","2.361","1.888","0.642","3.507","2.31","2.284","-0.108","3.737","1.52","1.505","1.404","3.525","1.501","1.394","1.535","2.821","2.063","1.986","-0.502","3.072","2.586","1.367","1.749","2.014","2.16","1.508","0.449","2.154","1.268","1.968","1.46","2.315","1.463","0.398","1.292","2.233","1.919","0.918"
"Interest Debt per Share","44.0773","45.2483","24.251","24.2639","22.3805","24.0678","24.2621","24.2457","21.2516","23.7974","19.964","14.6813","15.6091","17.3505","18.2551","19.0515","18.9599","20.2719","13.5355","11.8866","11.45","11.8561","11.5026","11.2675","10.8917","11.4711","11.4283","13.2595","11.0342","11.8321","12.0965","13.4541","14.4612","16.1648","18.0252","15.2528","12.349","10.7472","11.9873"
"Cash per Share","6.6441","6.1486","11.4","10.4096","9.0707","7.6606","7.7033","7.0386","8.5132","7.1392","7.2341","7.3398","10.8339","14.0549","14.3365","13.0422","11.9357","11.2452","3.3358","2.9184","5.5499","5.1255","3.23","2.7367","4.0541","6.8442","5.0129","5.7318","3.5739","2.3667","1.4556","1.1827","1.1688","1.0366","1.6257","3.629","1.9439","1.0809","1.1749"
"Debt to Equity Ratio","1.1157","1.2719","0.7145","0.6991","0.6588","0.6473","0.6874","0.6918","0.5774","0.658","0.5155","0.332","0.3491","0.4011","0.4328","0.4669","0.4931","0.559","0.3791","0.3455","0.3532","0.3208","0.3369","0.3482","0.3281","0.3387","0.3606","0.4366","0.4068","0.4127","0.427","0.4818","0.5438","0.5812","0.634","0.539","0.3939","0.3538","0.4221"
"Total Debt To Total Assets","0.379","0.3936","0.2758","0.2714","0.2505","0.2694","0.2807","0.2796","0.24","0.2748","0.2361","0.1714","0.1751","0.1975","0.2118","0.2222","0.2256","0.2386","0.1762","0.1595","0.1548","0.1643","0.1683","0.1693","0.1622","0.1632","0.1736","0.1995","0.1793","0.193","0.1985","0.2173","0.2355","0.2715","0.2872","0.2523","0.1994","0.1885","0.2188"
"Interest Coverage","8.5882","8.4872","10.587","9.555","11.2733","9.0882","7.6981","8.707","9.7318","12.0919","13.4139","19.9186","21.2195","16.9939","24.7495","16.4636","18.9909","15.6863","11.839","15.2861","19.0952","18.9363","15.1937","18.6756","16.2663","16.7463","12.8845","14.5795","11.8295","8.9333","6.6661","5.4144","3.5447","3.2025","7.529","13.6968","15.1819","15.0092","12.3841"
"Current Ratio","1.408","1.515","2.164","2.118","2.201","2.182","2.175","2.089","2.316","2.09","2.449","2.035","1.867","1.767","1.739","1.644","1.571","1.491","1.646","1.775","1.809","1.807","1.907","1.789","1.801","2.004","2.084","1.817","1.628","1.619","1.596","1.707","1.557","1.436","1.379","1.635","1.876","1.557","1.451"
"Income Quality","1.7496","1.6136","1.2028","0.5422","2.0935","1.8276","1.8729","0.1023","3.1885","0.8851","1.0388","0.9314","1.8949","1.1442","1.0163","1.1571","1.7411","1.4479","1.9579","-0.0291","1.735","1.4197","1.0546","1.042","1.256","1.4013","1.2394","0.4971","1.6989","1.5283","3.3114","3.5385","8.3427","5.0837","0.8827","1.2285","1.793","1.5274","0.9662"
"Payout Ratio","0.3","0.369","0.348","0.401","0.35","0.453","0.467","0.444","0.481","0.306","0.342","0.255","0.238","0.294","0.265","0.274","0.247","0.25","0.339","0.255","0.204","0.188","0.233","0.19","0.202","0.186","0.204","0.176","0.188","0.26","0.385","0.543","0.781","0.758","0.258","0.164","0.14","0.138","0.167"
"Intangible Assets out of Total Assets","0.5096","0.512","0.3122","0.3185","0.3179","0.3239","0.3308","0.3292","0.3222","0.3173","0.3264","0.3295","0.3284","0.3339","0.3407","0.357","0.3599","0.3586","0.4069","0.3835","0.36","0.3694","0.3854","0.3895","0.3846","0.3663","0.3851","0.3824","0.3972","0.4149","0.4292","0.4267","0.4238","0.4234","0.4074","0.3565","0.3676","0.3515","0.3577"
