"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","28.012","27.892","28.391","28.067","28.032","27.914","28.003","27.948","28.102","28.433","27.884","26.918","27.192","27.213","27.517","27.617","28.392","27.089","28.385","29.303","29.284","29.873","36.87","30.404","46.639","12.967","31.242","15.644","15.746","19.504","16.337","20.127","19.759","29.167","25.771","23.099","20.623","20.466","20.987"
"Tangible Book Value per Share","56.883","56.391","57.289","58.579","58.581","59.854","59.937","60.015","60.37","49.533","51.427","48.212","48.349","49.439","49.314","49.779","49.457","52.171","59.316","62.112","61.789","62.865","74.822","62.381","94.668","29.136","62.036","33.453","33.17","46.476","38.018","47.294","47.38","69.887","74.815","75.326","81.65","78.662","73.754"
"FCF per Share","-0.251","-0.287","-0.473","-0.471","-0.414","-0.343","-0.814","-0.431","-0.635","-0.714","-0.271","-0.911","-0.228","-0.582","-0.677","-0.595","-0.773","-0.22","-0.948","-0.119","-0.335","-0.333","0.061","-0.577","-0.946","-0.845","-0.38","-0.114","-1.065","0.262","-8.611","1.32","0.251","0.934","-1.867","-0.795","-1.776","-0.617","-1.569"
"Interest Debt per Share","20.9077","20.7424","20.0905","21.3489","21.2243","22.295","22.1971","22.796","23.1554","16.8114","18.6294","17.6709","17.0893","17.7877","18.0845","18.3123","17.3184","19.6636","25.6088","27.3389","27.0367","26.9618","30.7189","26.5076","39.3817","13.4514","27.0828","14.4023","14.07","22.2896","17.8511","21.8259","22.3116","32.6815","40.8848","38.6851","42.4345","46.0226","35.492"
"Cash per Share","0.512","0.7487","1.5289","0.7114","0.633","0.7053","0.5042","0.593","0.6706","0.3736","0.6997","0.6246","0.5358","0.3983","0.9856","0.3297","0.8478","1.8072","0.6032","0.7188","0.9672","0.9488","0.6695","0.6428","1.0699","0.9238","0.2694","0.9655","1.1309","1.1794","1.1451","1.3809","1.4406","2.8539","2.5742","3.1863","3.899","3.2991","2.5431"
"Debt to Equity Ratio","0.7464","0.7437","0.7076","0.7607","0.7572","0.7987","0.7927","0.8157","0.824","0.5913","0.6681","0.6565","0.6285","0.6536","0.6572","0.6631","0.61","0.7259","0.9022","0.933","0.9233","0.9026","0.8332","0.8718","0.8444","1.0373","0.8669","0.9206","0.8936","1.1428","1.0927","1.0844","1.1292","1.1205","1.5865","1.6748","2.0577","2.2487","1.6912"
"Total Debt To Total Assets","0.3676","0.3678","0.3507","0.3644","0.3623","0.3725","0.3703","0.3798","0.3836","0.3394","0.3622","0.3665","0.3535","0.3598","0.3667","0.3679","0.3502","0.3769","0.4317","0.4402","0.4376","0.4289","0.4106","0.4249","0.416","0.4617","0.4366","0.4305","0.4242","0.4796","0.4695","0.4615","0.4709","0.4676","0.5465","0.5136","0.5197","0.5851","0.4812"
"Interest Coverage","4.7609","3.9423","7.5208","4.9416","4.6913","3.7875","2.476","4.3933","3.1301","6.0722","6.5328","2.6595","1.9012","1.16","1.9494","1.0801","1.2471","3.937","-0.7649","0.5424","1.0784","2.6918","0.6592","1.4638","-0.2168","0.6258","-9.4092","0.9898","0.5204","0.9954","1.2061","3.4416","1.7696","-2.6098","-4.9081","1.8453","3.1083","2.4331","4.328"
"Income Quality","1.4698","1.7357","0.9534","1.5001","1.2702","1.3645","3.0395","1.5471","1.9563","0.2362","1.0858","1.0637","3.2129","15.4829","2.5863","-17.0799","-49.0626","0.4866","-0.3941","-4.5833","-10.92","0.3529","-2.2464","2.1799","0.1219","-0.055","-0.0139","-8.097","-1.4107","-15.7556","-2.9888","1.3873","3.4555","-0.5042","-0.3109","4.7385","0.8999","1.6019","0.2586"
