"","42917.0","42826.0","42735.0","42644.0","42553.0","42462.0","42369.0","42273.0","42182.0","42091.0","42000.0","41909.0","41818.0","41727.0","41636.0","41545.0","41454.0","",""
"Book Value per Share","42.437","42.31","41.487","52.216","63.187","67.915","69.75","73.356","73.134","68.08","71.278","65.099","65.024","64.014","86.132","-0.177","24.762","",""
"Tangible Book Value per Share","29.07","45.049","43.937","51.684","57.666","64.604","64.234","27.735","67.429","43.947","46.531","26.932","26.343","24.571","32.765","0.139","32.05","",""
"FCF per Share","0.528","1.203","-0.489","1.336","0.76","0.446","0.177","0.105","0.427","1.053","1.88","1.22","1.351","1.034","0.806","0.668","1.413","1.344",""
"Interest Debt per Share","25.6441","40.4066","40.3712","41.1933","44.7668","45.764","41.6294","36.7396","36.9118","33.571","35.2289","23.8409","23.985","24.4368","33.4377","0.0","20.9554","",""
"Cash per Share","5.3091","21.463","4.3336","2.5311","4.4818","4.1124","2.8834","3.4621","5.3698","24.3636","26.3837","6.658","5.9798","4.558","5.2796","0.0","8.2792","",""
"Debt to Equity Ratio","0.6043","0.955","0.9731","0.7889","0.7085","0.6738","0.5968","0.5008","0.5047","0.4931","0.4942","0.3662","0.3689","0.3817","0.3882","0.0","0.8463","",""
"Total Debt To Total Assets","0.3116","0.4145","0.418","0.3715","0.3505","0.3361","0.3117","0.2728","0.2756","0.2921","0.2917","0.2316","0.2315","0.2377","0.2407","0.0","0.3689","",""
"Interest Coverage","-0.6918","2.7974","-56.4757","-33.8352","-13.1498","-8.5723","-1.6516","7.7926","2.3181","0.7644","3.75","5.1931","8.5076","3.3931","-2.8047","8.3505","9.6774","10.9441","10.5098"
"Current Ratio","1.731","2.058","1.528","1.733","1.47","1.356","1.094","1.734","1.847","3.995","4.048","2.588","2.374","2.418","2.377","0.355","2.985","",""
"Income Quality","-1.3046","2.7165","0.0186","-0.1377","-0.2456","-0.1861","-0.9258","0.207","-5.3874","-8.1171","3.8832","2.026","1.4567","3.7526","-1.414","0.886","1.4671","1.345",""
"Payout Ratio","-0.327","0.32","-0.008","-0.013","-0.038","-0.038","-0.271","0.073","-0.867","-0.813","0.192","0.139","0.074","0.278","-0.103","0.076","0.071","0.076","0.08"
"Intangible Assets out of Total Assets","0.6467","0.5379","0.5451","0.5338","0.5485","0.5256","0.519","0.7941","0.4965","0.6176","0.6147","0.7383","0.7458","0.7609","0.7642","0.0","0.4358","",""
"Selling, General and Administrative Expense of Revenue","0.205","0.2181","0.2765","0.2061","0.2058","0.214","0.265","0.2287","0.2231","0.1321","0.1204","0.1386","0.1561","0.133","0.206","0.1382","0.1248","0.1214","0.117"
"Research and Development Expense of Revenue","0.0344","0.0333","0.0391","0.0398","0.0351","0.0336","0.0362","0.0327","0.0442","0.0366","0.0496","0.0385","0.0381","0.0445","0.0383","0.0346","0.0321","0.031","0.032"
"Working Capital","1191600000.0","2628200000.0","969000000.0","1109200000.0","967600000.0","792200000.0","239400000.0","1219600000.0","1480500000.0","3845800000.0","4039200000.0","1616100000.0","1476200000.0","1351400000.0","1324200000.0","-8596551.0","1487500000.0","",""
"Tangible Asset Value","4165800000.0","6460000000.0","6309400000.0","7406300000.0","8257800000.0","9251300000.0","9307500000.0","4057700000.0","9864800000.0","6187700000.0","6342200000.0","3606200000.0","3522000000.0","3285200000.0","3233900000.0","13134086.0","3019100000.0","",""
"Net Current Asset Value","-2889700000.0","-2798700000.0","-5107200000.0","-5783500000.0","-6215000000.0","-6759700000.0","-6451200000.0","-6090300000.0","-5663400000.0","-1467100000.0","-1381300000.0","-2430300000.0","-2608200000.0","-2879600000.0","-2925600000.0","-25106937.0","-781300000.0","",""
"Invested Capital","5450100000.0","6691300000.0","9648100000.0","11433800000.0","11966400000.0","12993400000.0","12369600000.0","7265000000.0","12730900000.0","6199900000.0","6222800000.0","4889100000.0","4854600000.0","4990000000.0","5051300000.0","-190674.0","3463800000.0","",""
"Average Receivables","1130000000.0","1119100000.0","1182500000.0","1178150000.0","1201750000.0","1034850000.0","1056850000.0","1050800000.0","1072250000.0","837400000.0","847250000.0","434700000.0","793500000.0","","","","","",""
"Average Payables","494950000.0","516750000.0","513750000.0","522050000.0","609200000.0","440200000.0","429250000.0","425100000.0","536800000.0","324250000.0","304700000.0","161162312.5","373150000.0","","","","","",""
"Average Inventory","856350000.0","852650000.0","846850000.0","886300000.0","915150000.0","771050000.0","770250000.0","772400000.0","783650000.0","665250000.0","672050000.0","328400000.0","667750000.0","","","","","",""
