"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40724.0","40633.0","40543.0","40451.0","40359.0","40268.0","40178.0","40086.0","39994.0","39903.0","39813.0","39721.0","39629.0","39538.0","39447.0"
"Book Value per Share","52.644","54.011","54.343","52.335","50.482","52.312","53.048","52.973","53.753","53.779","54.982","53.756","53.896","52.198","51.183","51.123","50.902","50.894","47.368","48.662","47.729","48.863","48.728","49.407","50.464","51.487","51.277","51.31","50.937","51.497","53.019","52.883","52.35","51.943","51.76","53.109","53.419","53.359","51.725"
"Tangible Book Value per Share","58.516","56.957","57.263","55.764","56.525","56.955","55.34","54.649","54.559","55.36","55.616","54.499","56.427","54.972","56.06","52.02","51.795","51.88","50.238","53.22","52.591","53.99","51.282","52.284","53.476","54.484","54.835","55.8","55.359","56.58","56.964","56.989","56.364","55.861","57.706","59.27","59.612","59.325","60.766"
"FCF per Share","2.217","2.098","2.115","2.519","2.484","2.09","2.053","2.257","2.306","1.805","2.128","2.135","2.054","1.699","2.128","1.884","1.794","1.597","1.846","1.923","1.757","1.551","1.643","1.811","1.645","1.47","1.523","1.544","1.521","1.326","1.558","1.605","1.513","1.48","1.658","1.359","1.249","1.238","1.382"
"Interest Debt per Share","2.4238","2.2834","2.2561","2.4892","2.5238","1.9463","1.8454","0.3225","0.3399","0.34","0.3733","0.4156","2.3043","2.6767","4.8848","0.583","0.6508","0.8307","2.7438","2.0398","2.1627","2.19","2.3418","2.4678","2.6522","2.7279","3.3592","3.488","3.5146","3.0635","3.0813","3.0983","3.1152","3.1325","3.8264","3.8425","4.1085","4.0508","6.3154"
"Cash per Share","2.0637","0.6971","1.0606","0.3305","1.5029","1.7673","0.6032","0.2064","0.1173","0.8857","1.0886","0.57","2.252","0.5882","0.1116","0.3317","2.3942","2.3229","0.1009","3.1408","2.5718","3.6409","0.8173","0.947","0.8525","0.857","2.6964","3.0381","2.81","4.2735","4.5356","3.9848","3.4741","2.9315","4.0456","4.8052","4.723","4.4223","1.4488"
"Debt to Equity Ratio","0.046","0.0423","0.0415","0.0476","0.05","0.0372","0.0348","0.0061","0.0063","0.0063","0.0068","0.0077","0.0428","0.0513","0.0954","0.0114","0.0128","0.0163","0.0579","0.0419","0.0453","0.0448","0.0481","0.0499","0.0526","0.053","0.0655","0.068","0.069","0.0595","0.0581","0.0586","0.0595","0.0603","0.0739","0.0724","0.0769","0.0759","0.1221"
"Total Debt To Total Assets","0.0406","0.0393","0.0386","0.0437","0.0437","0.0335","0.0326","0.0058","0.0061","0.006","0.0066","0.0074","0.0399","0.0475","0.085","0.0109","0.0123","0.0156","0.0533","0.0375","0.0402","0.0397","0.0446","0.0461","0.0485","0.049","0.0599","0.0611","0.062","0.053","0.0529","0.0532","0.054","0.0548","0.0648","0.0634","0.0673","0.0666","0.1005"
"Interest Coverage","317.9373","327.7576","460.71","301.8231","259.8237","445.2658","596.8852","0.0","0.0","0.0","0.0","238.0428","135.19","66.2862","163.7711","595.5565","403.5703","61.4012","61.4929","54.5713","40.1046","39.5924","41.4466","33.6064","35.7959","30.5115","24.6403","31.5376","18.1803","17.8907","26.1197","33.5571","28.3288","27.6981","18.3221","16.093","14.9374","32.0755","12.2683"
"Income Quality","1.8297","1.633","1.3188","1.668","1.8653","1.8273","1.4405","1.7264","1.732","1.799","1.5861","1.8424","1.8105","1.9001","1.6028","1.5867","1.7489","1.9103","1.5744","1.7286","2.4655","2.2298","1.7943","2.7667","2.4153","1.7886","2.2365","1.6251","4.8078","6.7109","2.3434","1.702","2.0842","1.6293","2.2027","4.1712","3.9943","0.5388","2.8968"
