"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","","",""
"Book Value per Share","43.199","42.872","42.715","43.546","43.241","42.856","43.07","42.923","41.11","39.694","38.934","38.867","38.019","36.615","36.662","35.39","34.976","34.149","33.054","32.621","30.147","39.692","37.067","","",""
"Tangible Book Value per Share","92.063","90.559","90.609","87.635","87.44","82.879","82.782","83.761","83.947","81.943","80.28","81.424","82.975","80.419","76.839","77.253","74.272","75.324","70.014","76.363","70.807","77.975","62.373","","",""
"FCF per Share","2.717","-1.953","-0.279","0.422","1.013","-0.925","-1.829","0.824","0.393","0.494","-0.458","-1.939","0.475","1.414","0.458","2.531","0.972","2.929","0.686","2.504","1.852","-0.923","3.773","0.76","4.477",""
"Interest Debt per Share","19.2454","19.5726","19.3409","16.8406","16.7762","16.6153","16.5699","16.565","16.4611","16.3243","15.5717","11.1047","10.9792","10.6446","10.2804","10.1095","10.4483","11.1531","11.0959","12.65","12.7062","9.8434","0.623","","",""
"Cash per Share","4.1735","2.9004","5.1719","4.443","4.2253","3.2403","5.7315","8.9237","9.3442","9.8322","9.3899","5.555","8.7593","9.119","9.0194","9.758","6.8159","7.6044","5.5273","7.0243","4.9387","9.6395","0.0","","",""
"Debt to Equity Ratio","0.4455","0.4565","0.4528","0.3867","0.388","0.3877","0.3847","0.3859","0.4004","0.4113","0.4","0.2857","0.2888","0.2907","0.2804","0.2857","0.2987","0.3266","0.3357","0.3878","0.4215","0.248","0.0168","","",""
"Total Debt To Total Assets","0.1923","0.1986","0.1963","0.1763","0.176","0.1831","0.1829","0.1811","0.1798","0.1823","0.1773","0.1251","0.1222","0.1223","0.1236","0.1207","0.1296","0.1363","0.1451","0.1527","0.1644","0.1166","0.009","","",""
"Interest Coverage","8.6355","8.3238","1.3523","10.7284","9.4337","7.7791","12.027","34.0282","19.3797","17.0233","19.4932","29.6333","21.4545","30.3824","18.9706","12.9559","22.2319","30.5714","16.6579","34.0676","23.8072","83.0769","389.0","388.0","543.3333","274.5"
"Current Ratio","1.404","1.394","1.34","1.185","1.216","1.512","1.627","1.696","1.641","1.637","1.505","1.321","1.363","1.389","1.488","1.436","1.466","1.416","1.439","1.335","1.289","1.572","1.126","","",""
