"","42911.0","42820.0","42729.0","42638.0","42547.0","42456.0","42365.0","42274.0","42183.0","42092.0","42001.0","41910.0","41819.0","41728.0","41637.0","41546.0","41455.0","41364.0","41273.0","41182.0","41084.0","40993.0","40902.0","40811.0","40720.0","40629.0","40538.0","40447.0","40356.0","40265.0","40174.0","40083.0","39992.0","39901.0","39810.0","39719.0","39628.0","39537.0","39446.0"
"Book Value per Share","21.173","21.221","21.12","21.544","20.834","19.936","20.134","20.168","20.648","23.002","23.373","23.398","23.048","22.662","21.935","21.228","21.759","21.841","20.675","19.685","18.999","18.776","16.913","16.023","15.703","15.095","14.009","12.955","12.207","12.467","12.771","12.202","11.299","10.365","10.367","10.875","10.348","9.571","9.547"
"Tangible Book Value per Share","36.52","30.804","29.325","29.275","28.185","27.241","26.959","26.685","28.377","24.5","25.007","24.795","24.696","24.259","23.448","22.934","23.233","23.745","22.286","21.231","20.266","20.567","18.343","17.771","17.219","18.279","16.506","16.188","15.276","14.393","14.516","13.747","12.719","11.786","11.422","12.176","11.117","10.286","10.305"
"FCF per Share","-0.064","0.469","0.846","1.312","1.158","0.412","1.738","1.033","1.188","-0.519","1.271","0.83","1.516","0.727","1.523","1.338","1.021","1.119","1.036","0.681","0.305","0.949","0.843","0.967","0.625","1.021","-0.033","0.609","0.512","0.412","0.688","0.707","0.566","0.623","1.976","0.35","0.114","0.4","0.461"
"Interest Debt per Share","14.816","8.0819","7.9053","7.9708","8.0034","8.0309","7.2903","7.0404","6.7867","0.6663","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5644","0.6119","0.5511","0.591","0.6527","0.6651","0.671","0.6745","0.6513","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cash per Share","10.0873","4.8233","4.6583","4.0312","4.0007","3.8837","4.6025","4.8524","6.2108","3.3386","3.8079","4.7234","4.7201","3.7541","4.9123","3.6129","1.4667","2.3769","2.512","2.2355","1.9895","3.5324","2.9477","3.2473","3.4345","3.8495","2.9026","2.2031","1.5599","1.5361","2.189","1.6318","2.247","2.3574","2.3146","1.1152","1.8266","1.7335","1.8153"
"Debt to Equity Ratio","0.6998","0.3808","0.3743","0.37","0.3841","0.4028","0.3621","0.3491","0.3287","0.029","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0297","0.0326","0.0326","0.0369","0.0416","0.0441","0.0479","0.0521","0.0534","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Total Debt To Total Assets","0.3401","0.2129","0.2231","0.2245","0.2318","0.2386","0.218","0.2159","0.2087","0.0232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0228","0.025","0.0247","0.0273","0.0311","0.0325","0.0348","0.0355","0.0361","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Interest Coverage","7.4586","9.0093","10.6778","26.7895","23.5867","21.4167","24.1351","18.8857","44.7188","1541.0","2300.0","451.4","0.0","0.0","0.0","80.2174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Current Ratio","2.949","1.667","1.974","3.143","3.066","2.869","3.127","3.623","4.262","3.362","3.554","3.727","3.722","3.56","3.874","3.751","3.177","3.376","3.417","2.951","2.969","3.449","2.81","2.702","2.875","3.387","3.127","2.219","2.238","3.799","4.604","4.469","4.946","4.977","5.288","4.866","4.292","4.098","4.298"
